taxId	organismName	commonName	assemblyAccession	assemblyName	bioProjectAccession	biosampleAccession	lastUpdated	submitter	totalSequenceLength (bp)	totalUngappedLength (bp)	numberOfSequence	L50	N50 (kb)
64960	Drosophila mercatorum mercatorum	NA	CNA0042486	Drosophila mercatorum	CNP0000670	CNS0515350	################	朱红亮	164000000	161000000	6611	14	3476
7224	Drosophila hydei	NA	CNA0042483	Drosophila hydei	CNP0000670	CNS0515347	################	朱红亮	166000000	162000000	8115	20	2316
7245	Drosophila yakuba	NA	CNA0042498	Drosophila yakuba	CNP0000670	CNS0515362	################	朱红亮	166000000	164000000	8123	4	21769
125945	Drosophila biarmipes	NA	CNA0042478	Drosophila biarmipes	CNP0000670	CNS0515342	################	朱红亮	169000000	169000000	5523	15	3386
30023	Drosophila elegans	NA	CNA0042479	Drosophila elegans	CNP0000670	CNS0515343	################	朱红亮	171000000	171000000	5429	29	1714
7274	Drosophila serrata	NA	CNA0017754	Drosophila serrata	CNP0000670	CNS0130152	################	朱红亮	174000000	172000000	45452	72	549
7250	Drosophila immigrans	NA	CNA0017746	Drosophila immigrans	CNP0000670	CNS0130089	################	朱红亮	174000000	172000000	65451	8	4762
30033	Drosophila kikkawai	NA	CNA0017749	Drosophila kikkawai	CNP0000670	CNS0130104	################	朱红亮	175000000	173000000	50919	15	3548
42026	Drosophila bipectinata	NA	CNA0017743	Drosophila bipectinata	CNP0000670	CNS0130065	################	朱红亮	175000000	173000000	29005	26	1228
111875	Drosophila jambulina	NA	CNA0017748	Drosophila jambulina	CNP0000670	CNS0130099	################	朱红亮	176000000	174000000	13977	7	9692
7234	Drosophila persimilis	NA	CNA0042489	Drosophila persimilis	CNP0000670	CNS0515353	################	朱红亮	188000000	179000000	12838	21	1868
377586	Drosophila mojavensis mojavensis	NA	CNA0042488	Drosophila mojavensis	CNP0000670	CNS0515352	################	朱红亮	194000000	181000000	6841	4	24769
29030	Drosophila takahashii	NA	CNA0042495	Drosophila takahashii	CNP0000670	CNS0515359	################	朱红亮	182000000	182000000	5733	131	387
169138	Drosophila aldrichi	NA	CNA0042477	Drosophila aldrichi	CNP0000670	CNS0515341	################	朱红亮	191000000	182000000	2620	53	1029
1867034	Drosophila pandora	NA	CNA0017750	Drosophila pandora	CNP0000670	CNS0130112	################	朱红亮	188000000	185000000	63106	22	1836
193234	Drosophila pseudotakahashii	NA	CNA0017752	Drosophila pseudotakahashii	CNP0000670	CNS0130129	################	朱红亮	188000000	185000000	32479	14	2293
7222	Drosophila grimshawi	NA	CNA0042484	Drosophila grimshawi	CNP0000670	CNS0515348	################	朱红亮	200000000	186000000	17440	7	8399
65964	Drosophila pseudoananassae	NA	CNA0017751	Drosophila pseudoananassae	CNP0000670	CNS0130119	################	朱红亮	191000000	188000000	53572	67	595
7244	Drosophila virilis	NA	CNA0042496	Drosophila virilis	CNP0000670	CNS0515360	################	朱红亮	206000000	191000000	13530	6	10165
1041015	Drosophila rhopaloa	NA	CNA0042491	Drosophila rhopaloa	CNP0000670	CNS0515355	################	朱红亮	198000000	196000000	22819	655	45
3760	Prunus persica	peach	CNA0019231	124Pan.genome.v1.0	CNP0001551	CNS0316156	################	zhangaidi	206000000	206000000	15	4	26342
28584	Drosophila suzukii	NA	CNA0042494	Drosophila suzukii	CNP0000670	CNS0515358	################	朱红亮	233000000	211000000	8680	70	387
3735	Moringa oleifera	horseradish tree	CNA0000022	Moolei_1.1	CNP0000096	CNS0003506	################	liu min	217000000	214000000	22329	56	957
36596	Prunus armeniaca	apricot	CNA0007247	apricot-genome	CNP0000755	CNS0138241	################	Fengchao Jiang	222000000	222000000	182	4	25125
32239	Dasiphora fruticosa	NA	CNA0051926	contig version	CNP0002342	CNS0533694	################	刘敏(liu min)	223000000	223000000	123	20	3535
32239	Dasiphora fruticosa	NA	CNA0051927	chromosome version	CNP0002342	CNS0533694	################	刘敏(liu min)	223000000	223000000	89	4	29396
7260	Drosophila willistoni	NA	CNA0042497	Drosophila willistoni	CNP0000670	CNS0515361	################	朱红亮	235000000	226000000	14838	15	4511
7291	Drosophila albomicans	NA	CNA0042476	Drosophila albomicans	CNP0000670	CNS0515340	################	朱红亮	253000000	243000000	26354	1474	23
41882	Mesostigma viride	NA	CNA0002352	Mesostigma_viride	CNP0000228	CNS0021438	################	Hongli Wang	281000000	245000000	6924	730	113
522413	Baylisascaris schroederi	giant panda roundworm	CNA0017735	Baylisascaris schroederi genome	CNP0001242	CNS0326339	################	tianming lan	254000000	253000000	75	7	12324
85180	Celastrus	NA	CNA0050681	Denovo assembly of LC22-R1	CNP0003054	CNS0552458	################	陈晓丽(Xiaoli Chen)	274000000	258000000	17551	38	2294
2029240	Calliergonella curvifolia	NA	CNA0030131	Hypnum curvifolium chromosome-scale genome assembly	CNP0002064	CNS0399857	################	余进(Jin Yu)	262000000	259000000	3292	5	20658
97321	Prunus serrulata	NA	CNA0013968	Cerusus serrulata. v1	CNP0001014	CNS0209407	################	垒 吴	265000000	265000000	67	4	31119
6313	Angiostrongylus cantonensis	rat lungworm	CNA0002643	A.cantonensis_GZ_Illumina	CNP0000467	CNS0094979	################	山 黛	293000000	274000000	26577	92	860
6313	Angiostrongylus cantonensis	rat lungworm	CNA0002644	A.cantonensis_GZ_PacBio	CNP0000467	CNS0094979	################	山 黛	283000000	281000000	426	47	1815
230680	unclassified Pseudoatta species	NA	CNA0007344	Parg_2.1	CNP0000905	CNS0196705	################	xupeng bi	282000000	274000000	12930	24	3483
43891	Swietenia macrophylla	NA	CNA0002532	TKP_SwMacr_genome	CNP0000405	CNS0064403	################	燕南 范	295000000	277000000	23737	18	5758
141003	Gillenia trifoliata	mountain indian-physic	CNA0019283	Gtr	CNP0001531	CNS0315929	################	静一(Yi Jing)	282000000	281000000	921	4	30093
319808	Ficus	NA	CNA0050682	Denovo assembly of LC21-R1	CNP0003054	CNS0552443	################	陈晓丽(Xiaoli Chen)	296000000	282000000	27998	641	107
159037	Clausena lansium	NA	CNA0002509	TKP_ClLans_genome	CNP0000870	CNS0064408	################	燕南 范	311000000	283000000	38459	28	2237
519335	Momordica charantia subsp. Macroloba	NA	CNA0000005	M. charantia	CNP0000016	CNS0000444	################	weiming he	296000000	285000000	3101	94	611
230685	Acromyrmex heyeri	NA	CNA0007343	Ahey_2.1	CNP0000905	CNS0196704	################	xupeng bi	301000000	287000000	51972	56	1495
3673	Momordica charantia	bitter melon	CNA0000004	M. charantia Dali-11	CNP0000016	CNS0000443	################	weiming he	294000000	287000000	6764	6	21142
230686	Acromyrmex insinuator	NA	CNA0014142	Ains genome	CNP0000530	CNS0103289	################	Hailin Pan	295000000	290000000	915	68	1153
4182	Sesamum indicum	gingelly	CNA0002461	newzhongzhi13	CNP0000352	CNS0048735	################	Maosheng Chen	292000000	292000000	597	6	20523
64782	unclassified Acromyrmex species	NA	CNA0007342	Acha_2.1	CNP0000905	CNS0196703	################	xupeng bi	300000000	294000000	30758	38	1847
41396	Tectona grandis	NA	CNA0022728	Tectona_grandis_hic	CNP0001861	CNS0382108	################	刘敏(liu min)	307000000	297000000	10590	10	14293
41396	Tectona grandis	NA	CNA0022727	Tectona_grandis_stLRF	CNP0001861	CNS0382108	################	刘敏(liu min)	306000000	297000000	13404	17	5835
41396	Tectona grandis	NA	CNA0002534	TKP_TeGran_genome	CNP0000405	CNS0064409	################	燕南 范	327000000	306000000	32782	56	1634
132429	Amphicarpaea edgeworthii	Chinese hog-peanut	CNA0014149	Genome of Amphicarpaea edgeworthii Benth	CNP0001124	CNS0238766	################	kai han	299000000	299000000	24	6	27224
1406276	Begonia peltatifolia	NA	CNA0013976	Denovo assembly of Begonia peltatifolia	CNP0001056	CNS0227982	################	dongming fang	310000000	303000000	3948	7	20506
103372	Acromyrmex echinatior	Panamanian leafcutter ant	CNA0049981	Acromyrmex_echinatior_PacBio_genome.fasta.gz	CNP0003055	CNS0552504	################	子军 熊	315000000	315000000	436	17	5923
66386	Ficus pumila	creeping rubber plant	CNA0019284	Fpum	CNP0000674	CNS0327487	################	静一(Yi Jing)	316000000	316000000	480	6	22360
150944	Wiebesia pumilae	NA	CNA0019285	Wpum	CNP0000674	CNS0327486	################	静一(Yi Jing)	318000000	318000000	47	3	59419
289766	Sclerocarya birrea	NA	CNA0000020	Scbirr_1.1	CNP0000096	CNS0003503	################	liu min	331000000	323000000	40280	214	335
427660	Gelsemium elegans	NA	CNA0047363	Genome assembly for S-morph	CNP0002809	CNS0528058	################	赵中涛(Zhongtao Zhao)	326000000	326000000	381	5	30648
587579	Khaya senegalensis	NA	CNA0002520	TKP_KhSene_genome	CNP0000405	CNS0064402	################	燕南 范	385000000	339000000	59982	36	2440
105143	Entodon seductrix	NA	CNA0030130	Entodon seductrix chromosome-scale genome assembly	CNP0002064	CNS0399856	################	余进(Jin Yu)	348000000	346000000	2173	5	30002
49212	Salvia hispanica	NA	CNA0047366	Chia pacbio v1	CNP0002868	CNS0533720	################	Wang Le	348000000	348000000	171	3	57928
1820603	Pao palembangensis	humpback puffer	CNA0013971	The humpback puffer assembly	CNP0001025	CNS0224034	################	mengjun yu	362000000	360000000	5366	8	15808
3656	Cucumis melo	muskmelon	CNA0013979	melon genome	CNP0000863	CNS0196038	################	jinmin lian	366000000	366000000	101	6	29735
52822	Alstonia scholaris	milky pine	CNA0052015	Alstonia_scholaris.chr.fa.gz	CNP0002381	CNS0492390	################	陈海霞(Haixia Chen)	409000000	367000000	20	9	20435
52822	Alstonia scholaris	milky pine	CNA0052014	Alstonia_scholaris.contig.fa.gz	CNP0002381	CNS0492390	################	陈海霞(Haixia Chen)	519000000	474000000	79280	99	1015
52822	Alstonia scholaris	milky pine	CNA0002505	TKP_AlScho_geonme	CNP0000405	CNS0064419	################	燕南 范	519000000	474000000	79280	99	1015
205464	Maytenus hookeri	NA	CNA0002523	TKP_MaHook_genome	CNP0000405	CNS0064397	################	燕南 范	421000000	377000000	311879	6659	7
3995	unclassified Jatropha species	NA	CNA0002605	newJc	CNP0000449	CNS0094477	################	Maosheng Chen	379000000	379000000	1196	6	30651
158456	Betta splendens	Siamese fighting fish	CNA0020807	Betta_splendens_f1	CNP0001745	CNS0357846	################	Le Wang	425000000	380000000	2105	10	19278
35936	Lablab purpureus	frijol caballero	CNA0000021	Lapurp_1.1	CNP0000096	CNS0003507	################	liu min	395000000	385000000	118976	138	621
2779804	Pseudanomodon attenuatus	NA	CNA0003261	Anomodon attenuatus	CNP0000476	CNS0095785	################	li linzhou	396000000	386000000	44675	264	416
1536645	Populus adenopoda	NA	CNA0022759	genome assembly for Populus adenopoda	CNP0001919	CNS0383861	################	王兆山(Zhaoshan Wang)	387000000	387000000	401	8	19005
309541	Takifugu obscurus	mefugu	CNA0013723	Takifugu obscurus genome	CNP0000961	CNS0203365	################	Jieming Chen	393000000	393000000	790	10	17148
4555	Setaria italica	foxtail millet	CNA0013967	Foxtail_millet	CNP0000993	CNS0209392	################	李世明(Shiming Li)	408000000	408000000	213	4	46281
94443	Climacium americanum	NA	CNA0003258	Climacium americanum	CNP0000476	CNS0095784	################	li linzhou	416000000	410000000	45402	516	225
340444	Dipterocarpus turbinatus	gurjan	CNA0002512	TKP_DiTurb_genome	CNP0000405	CNS0064405	################	燕南 范	449000000	417000000	99450	276	231
340444	Dipterocarpus turbinatus	gurjan	CNA0029373	Dipterocarpus turbinatus-HIC	CNP0002018	CNS0391197	################	平 红 梁(hongping liang)	421000000	421000000	11	5	37048
340444	Dipterocarpus turbinatus	gurjan	CNA0029371	Dipterocarpus turbinatus	CNP0002018	CNS0391197	################	平 红 梁(hongping liang)	421000000	421000000	83	6	29439
28974	Averrhoa carambola	NA	CNA0002506	TKP_AvCara_genome	CNP0000887	CNS0064407	################	燕南 范	471000000	431000000	69402	35	2757
210356	Hopea hainanensis	NA	CNA0029374	Hopea hainanensis-HIC	CNP0002018	CNS0391198	################	平 红 梁(hongping liang)	432000000	432000000	7	3	69706
210356	Hopea hainanensis	NA	CNA0029372	Hopea hainanensis	CNP0002018	CNS0391198	################	平 红 梁(hongping liang)	434000000	434000000	287	14	9083
210356	Hopea hainanensis	NA	CNA0002519	TKP_HoHain_genome	CNP0000405	CNS0064404	################	燕南 范	491000000	446000000	263811	7324	9
4621	Thaumatococcus daniellii	katemfe	CNA0002535	TKP_ThDani_genome	CNP0000405	CNS0064432	################	燕南 范	447000000	440000000	96339	1037	88
151069	Litchi chinensis	litchi	CNA0019327	Haplotype_Yunnan (HY)	CNP0001024	CNS0230298	################	瑞 夏	450000000	448000000	15	7	30257
151069	Litchi chinensis	litchi	CNA0019328	Haplotype_Hainan (HH)	CNP0001024	CNS0230298	################	瑞 夏	455000000	453000000	15	7	29728
151069	Litchi chinensis	litchi	CNA0014086	Lchinesis_genome.Chr	CNP0001024	CNS0230298	################	瑞 夏	470000000	469000000	15	7	30902
151069	Litchi chinensis	litchi	CNA0014087	Lchinesis_genome.Chr.HY	CNP0001024	CNS0230298	################	瑞 夏	470000000	469000000	15	7	30903
151069	Litchi chinensis	litchi	CNA0014088	Lchinesis_genome.Chr.HH	CNP0001024	CNS0230298	################	瑞 夏	470000000	469000000	15	7	30904
151069	Litchi chinensis	litchi	CNA0002521	TKP_LiChin_genome	CNP0000405	CNS0064399	################	燕南 范	704000000	676000000	418000	29426	5
241443	Beaufortia kweichowensis kweichowensis	NA	CNA0019676	Genome of the butterfly hillstream	CNP0001711	CNS0353555	################	杨连东(Liandong Yang)	449000000	449000000	247	12	17950
216257	Chrysomallon squamiferum	scaly-foot gastropod	CNA0007314	chromosome_Chrysomallon_squamiferum.fa.gz	CNP0000854	CNS0187571	################	lingfeng meng	455000000	455000000	4876	7	20709
216257	Chrysomallon squamiferum	scaly-foot gastropod	CNA0007313	contig_Chrysomallon_squamiferum.fa	CNP0000854	CNS0187571	################	lingfeng meng	455000000	455000000	6444	208	545
489316	Entada phaseoloides	NA	CNA0029377	SCUEC_EPha_v1	CNP0001900	CNS0383647	################	林敏(Min Lin)	456000000	455000000	149	7	30889
82927	Avicennia marina	NA	CNA0030132	Avicennia marina	CNP0002097	CNS0403848	################	马东娜(Dongna Ma)	465000000	465000000	478	15	14202
714469	Fibraurea recisa	NA	CNA0002517	TKP_FiReci_genome	CNP0000405	CNS0064421	################	燕南 范	490000000	465000000	79479	701	179
4558	Sorghum bicolor	sorghum	CNA0036151	PI525695	CNP0001440	CNS0314260	################	滕飞(TengFei)	469000000	467000000	1748	5	40754
4558	Sorghum bicolor	sorghum	CNA0036155	S369-1	CNP0001440	CNS0314264	################	滕飞(TengFei)	549000000	548000000	2883	9	24030
4558	Sorghum bicolor	sorghum	CNA0036148	IS8525	CNP0001440	CNS0314258	################	滕飞(TengFei)	569000000	569000000	384	5	54182
4558	Sorghum bicolor	sorghum	CNA0036152	PI532566	CNP0001440	CNS0314261	################	滕飞(TengFei)	587000000	576000000	3526	6	48793
4558	Sorghum bicolor	sorghum	CNA0036149	IS929	CNP0001440	CNS0314255	################	滕飞(TengFei)	580000000	580000000	598	5	56127
4558	Sorghum bicolor	sorghum	CNA0036154	R931945-2-2	CNP0001440	CNS0314263	################	滕飞(TengFei)	600000000	593000000	559	5	55386
4558	Sorghum bicolor	sorghum	CNA0036146	IS19953	CNP0001440	CNS0314257	################	滕飞(TengFei)	600000000	600000000	835	5	57260
4558	Sorghum bicolor	sorghum	CNA0036145	IS12661	CNP0001440	CNS0314253	################	滕飞(TengFei)	622000000	617000000	714	5	56710
4558	Sorghum bicolor	sorghum	CNA0036147	IS3614-3	CNP0001440	CNS0314254	################	滕飞(TengFei)	631000000	628000000	427	5	57067
4558	Sorghum bicolor	sorghum	CNA0036156	AusTRCF317961	CNP0001440	CNS0314256	################	滕飞(TengFei)	644000000	637000000	1710	6	51387
4558	Sorghum bicolor	sorghum	CNA0036153	PI536008	CNP0001440	CNS0314262	################	滕飞(TengFei)	674000000	668000000	2870	5	60995
4558	Sorghum bicolor	sorghum	CNA0036150	Ji2731	CNP0001440	CNS0314259	################	滕飞(TengFei)	704000000	704000000	570	5	64965
4558	Sorghum bicolor	sorghum	CNA0036144	353	CNP0001440	CNS0314252	################	滕飞(TengFei)	737000000	737000000	1010	5	66905
227904	Scurrula parasitica var. graciliflora	NA	CNA0050685	Denovo assembly of stLFRxiaohonghua	CNP0003054	CNS0552496	################	陈晓丽(Xiaoli Chen)	506000000	478000000	27987	159	674
67435	Fontinalis antipyretica	NA	CNA0007312	Fontinalis_antipyretica_WGS	CNP0000847	CNS0186336	################	Jin Yu	486000000	483000000	130576	3971	38
74654	Rosa roxburghii	chinquapin rose	CNA0050838	Rrox.genomic	CNP0003167	CNS0571759	################	潘靖	485000000	485000000	7	4	66039
85283	Tacca chantrieri	jian gen shu	CNA0002533	TKP_TaChan_genome	CNP0000405	CNS0064392	################	燕南 范	493000000	486000000	348053	24461	3
52838	Musa balbisiana	Balbis banana	CNA0002546	BananaB.chr_V1	CNP0000292	CNS0043938	################	晓明 姚	493000000	491000000	2590	6	41415
7108	Spodoptera frugiperda	fall armyworm	CNA0003277	Sf_20190612ynFM_v2	CNP0000513	CNS0099236	################	tianming lan	532000000	496000000	27258	17	13967
7108	Spodoptera frugiperda	fall armyworm	CNA0003276	Sf_20190612ynM_v2	CNP0000513	CNS0099235	################	tianming lan	544000000	506000000	21840	16	14162
86250	Oxyeleotris marmorata	marble goby	CNA0004140	assembly_sample3	CNP0000691	CNS0130052	################	云 小 黄	502000000	500000000	13361	15	13130
660624	Jasminum sambac	Arabian jasmine	CNA0020889	Jsambac	CNP0001807	CNS0362187	################	Fei Shen(Fei Shen)	506000000	505000000	14	6	40025
105901	Nymphoides indica	NA	CNA0051888	Nymphoides indica pin	CNP0003206	CNS0576463	################	珊杨(京)	506000000	506000000	1072	5	49170
105901	Nymphoides indica	NA	CNA0046512	Nymphoides indica genome	CNP0002767	CNS0525745	################	钱志豪(Qian Zhihao)	524000000	524000000	182	5	49182
105901	Nymphoides indica	NA	CNA0051889	Nymphoides indica thrum monoploid genome	CNP0003206	CNS0576464	################	珊杨(京)	671000000	670000000	1052	6	56288
105901	Nymphoides indica	NA	CNA0051911	haplotype-resolved genome assembly of Nymphoides indica (thrum)	CNP0003206	CNS0576462	################	珊杨(京)	1160000000	1160000000	1350	10	53532
210380	Mesua ferrea	NA	CNA0022718	Mesua_ferrea_10x	CNP0001860	CNS0382077	################	刘敏(liu min)	553000000	509000000	59754	156	760
210380	Mesua ferrea	NA	CNA0022719	Mesua_ferrea_hic	CNP0001860	CNS0382077	################	刘敏(liu min)	551000000	509000000	58321	12	20662
210380	Mesua ferrea	NA	CNA0002524	TKP_MeFerr_genome	CNP0000405	CNS0064417	################	燕南 范	554000000	510000000	61053	157	746
115715	Vigna subterranea	Bambara groundnut	CNA0000023	Visubt_1.1	CNP0000096	CNS0003504	################	liu min	535000000	513000000	65586	220	640
290630	Trachidermus fasciatus	roughskin sculpin	CNA0020890	Tfagenome.fq.gz	CNP0001805	CNS0361785	################	薛东秀(Xue Dong-Xiu)	521000000	521000000	334	9	24060
75042	Siganus canaliculatus	pearl-spotted spinefoot	CNA0013735	Siganus_canaliculatus.genome	CNP0000961	CNS0203372	################	Jieming Chen	536000000	523000000	14662	91	1597
283121	Flueggea virosa	NA	CNA0002518	TKP_FlViro_genome	CNP0000405	CNS0064395	################	燕南 范	566000000	529000000	153123	1240	45
94286	Platycodon grandiflorus	jie geng	CNA0051902	Platycodon grandiflorus genome assembly	CNP0002983	CNS0543077	################	杨子江(Zijiang Yang)	532000000	530000000	2947	4	58751
3827	Cicer arietinum	chickpea	CNA0019286	Cicer_phase1	CNP0001603	CNS0327576	################	孙帅(Shuai Sun)	584000000	534000000	28470	6	39989
34305	Lotus japonicus	NA	CNA0050696	lotus japonicus Genome	CNP0003152	CNS0567752	################	孙占敏(Sun zhanmin)	540000000	540000000	416	3	97494
188477	Elysia chlorotica	eastern emerald elysia	CNA0002355	ElyChl2.0	CNP0000110	CNS0005670	################	Ji Li	557000000	541000000	9989	386	441
82366	Verasper variegatus	spotted halibut	CNA0007304	Halibut	CNP0000817	CNS0178281	################	浩冰 郭	557000000	541000000	6253	11	23832
324559	Stachyphrynium placentarium	NA	CNA0002531	TKP_StPlac_genome	CNP0000405	CNS0064427	################	燕南 范	590000000	548000000	128267	235	610
2874248	Balanophora subcupularis	NA	CNA0050683	Denovo assembly of LC0003-F	CNP0003054	CNS0552499	################	陈晓丽(Xiaoli Chen)	557000000	548000000	51641	117	696
27457	Bactrocera dorsalis	Philippines fruit fly	CNA0050866	not determined	CNP0003192	CNS0572595	################	杨扬(Yang Yang)	549000000	549000000	370	3	94633
138955	Vigna unguiculata subsp. sesquipedalis	yard-long-bean	CNA0002361	The Genome assembly of asparagus bean	CNP0000264	CNS0037948	################	秋菊 夏	635000000	550000000	20329	6	52067
167917	Duranta erecta	golden dewdrops	CNA0002513	TKP_DuErec_genome	CNP0000405	CNS0064415	################	燕南 范	613000000	562000000	225040	3424	17
141264	Rachycentron canadum	cobia	CNA0050897	female_genome	CNP0003282	CNS0581761	################	胡杰(Hujie)	584000000	567000000	6295	12	22506
141264	Rachycentron canadum	cobia	CNA0050896	male_genome	CNP0003282	CNS0581759	################	胡杰(Hujie)	587000000	567000000	5368	12	24262
3743	Synsepalum dulcificum	miracle fruit	CNA0036282	Genome of Synsepalum dulcificum	CNP0002330	CNS0466273	################	丁元昊	569000000	569000000	63	6	44852
175774	Bagarius yarrelli	goonch	CNA0002411	Genomic assembly of Bagarius yarrelli	CNP0000344	CNS0047952	################	云云 吕	571000000	570000000	541	50	3129
3716	Brassica oleracea var. capitata	cabbage	CNA0003257	Brassica oleracea var. capitata genome v3.1	CNP0000469	CNS0095591	################	Jialei Ji	575000000	575000000	682	5	57729
29159	Crassostrea gigas	Pacific oyster	CNA0019199	vN1	CNP0001443	CNS0302335	################	亓海刚(H Qi)	587000000	587000000	10	5	60957
1333648	Datnioides undecimradiatus	northeastern Siamese tigerfish	CNA0004141	assembly_sample4	CNP0000691	CNS0130053	################	云 小 黄	595000000	593000000	4442	18	9689
443222	Toona sinensis	NA	CNA0019196	T. sinensis genome	CNP0000958	CNS0203218	################	Chang-Qing Qu	597000000	596000000	156	13	21547
298176	Crassostrea hongkongensis	Hong Kong oyster	CNA0003280	CHK	CNP0000529	CNS0103277	################	Jinxia Peng	610000000	610000000	660	6	55627
190855	Crateva formosensis	NA	CNA0002510	TKP_CrForm_genome	CNP0000405	CNS0064416	################	燕南 范	652000000	612000000	199409	4140	28
3869	unclassified Lupinus species	NA	CNA0013965	Tanjil lupin	CNP0001034	CNS0223689	################	Penghao Wang	616000000	616000000	123	9	30794
3869	unclassified Lupinus species	NA	CNA0013966	Lupin Tanjil Assembly Repeat Corrected	CNP0001034	CNS0223692	################	Penghao Wang	772000000	772000000	114	8	42753
188791	Channa maculata	blotched snakehead	CNA0013727	Channa_maculata_genome	CNP0000961	CNS0203362	################	Jieming Chen	627000000	620000000	56632	160	1059
243708	Helostoma temminkii	kissing gourami	CNA0004143	assembly_sample7	CNP0000691	CNS0130056	################	云 小 黄	634000000	620000000	13874	187	911
106549	Malus baccata	shan jing zi	CNA0002537	Malus_baccata_v1.0	CNP0000421	CNS0086617	################	xilong chen	675000000	625000000	47506	390	481
106549	Malus baccata	shan jing zi	CNA0002550	Malus_baccata_v1.0_Scaffold	CNP0000421	CNS0086617	################	xilong chen	719000000	666000000	296545	437	452
109905	Chelmon rostratus	copperband butterflyfish	CNA0003582	zuanzuiyu_genome.FINAL.from_draft.fasta	CNP0000597	CNS0105722	################	Yue Song	639000000	633000000	6384	12	25929
48193	Mugil cephalus	Formosan gray mullet	CNA0038245	Mugil cephalus	CNP0002462	CNS0489575	################	郭浩冰(Haobing Guo)	661000000	634000000	19699	27	6381
107308	Dalbergia sissoo	Indian rosewood	CNA0002511	TKP_DaSiss_genome	CNP0000405	CNS0064412	################	燕南 范	664000000	636000000	102172	23	7165
499988	Dalbergia odorifera	fragrant rosewood	CNA0003278	JXHT_v01	CNP0000528	CNS0103276	################	永超 牛	638000000	638000000	384	5	56159
