projectGoldId	projectName	legacyGoldId	studyGoldId	biosampleGoldId	organismGoldId	itsProposalId	itsSpid	itsSampleId	pmoProjectId	gptsProposalId	ncbiBioProjectAccession	ncbiBioSampleAccession	projectStatus	sequencingStatus	jgiFundingProgram	jgiFundingYear	hmpId	modDate	addDate	sequencingStrategy	sequencingCenters	seqMethod	genomePublications	otherPublications	sraExperimentIds	ncbiTaxId
Gp0036390	Macroventuria anomochaeta CBS 525.71	Gi0042346	Gs0000001		Go0036391	662	1019665			300789	PRJNA234398	SAMN05660957	Permanent Draft	Complete	CSP	2012		2023-02-17	2013-03-11	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX2110147', 'SRX2110148']	301207
Gp0036392	Lizonia empirigonia CBS 542.76	Gi0042348	Gs0000001		Go0036393	662	1019757			300789	PRJNA245629	SAMN02744855	Permanent Draft	Complete	CSP	2012		2022-12-30	2013-03-11	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500', 'PacBio RS II']	[]	[]	['SRX2050831', 'SRX2050832', 'SRX2050833', 'SRX2050822', 'SRX2050823', 'SRX2050834', 'SRX2050830', 'SRX2050828', 'SRX2050829', 'SRX2050824', 'SRX2050825', 'SRX2050826', 'SRX2050827', 'SRX6433207']	1496277
Gp0036418	Byssothecium circinans CBS 675.92	Gi0042358	Gs0000001		Go0036418	662	1019709			300789	PRJNA239485	SAMN02744863	Permanent Draft	Complete	CSP	2012		2022-12-29	2013-03-11	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX712271', 'SRX712272']	147558
Gp0036641	Erythrobasidium hasegawianum ATCC 9536 (P36)	Gi0042474	Gs0000001		Go0036642	662	1019585			300789	PRJNA218035	SAMN02744706	Permanent Draft	Complete	CSP	2012		2022-12-27	2013-03-18	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX1726453', 'SRX1726454', 'SRX1726455']	1397323
Gp0036706	Sclerogaster hysterangioides SCL2.BST	Gi0042762	Gs0000001		Go0036278	662	1019437			300789	PRJNA256708	SAMN02950573	Permanent Draft	Complete	CSP	2012		2023-01-10	2013-03-26	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500', 'PacBio RS II']	[]	[]	['SRX2050842', 'SRX2050864', 'SRX2050843', 'SRX2050844', 'SRX2050845', 'SRX2050860', 'SRX2050861', 'SRX2050862', 'SRX2050840', 'SRX2050841', 'SRX2050863', 'SRX2050846', 'SRX2050847', 'SRX2050848', 'SRX2050849', 'SRX2050853', 'SRX2050854', 'SRX2050855', 'SRX2050856', 'SRX2050850', 'SRX2050851', 'SRX2050852', 'SRX2050839', 'SRX2050857', 'SRX2050858', 'SRX2050859']	1529657
Gp0036339	Tritirachium sp. CBS 265.96	Gi0042328	Gs0000001		Go0036366	662	1019617			300789	PRJNA218036	SAMN02744850	Permanent Draft	Complete	CSP	2012		2022-12-27	2013-03-11	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX712125', 'SRX712124']	1055551
Gp0036589	Phyllozyma linderae CBS 7893 (P93)	Gi0042818	Gs0000001		Go0036589	662	1019573			300789	PRJNA218037	SAMN02744686	Permanent Draft	Complete	CSP	2012		2022-12-27	2013-03-26	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX711975', 'SRX711976']	1397324
Gp0036367	Amylostereum chailletii DWAch2	Gi0042456	Gs0000001		Go0036367	662	1019545			300789	PRJNA265560	SAMN03159466	incomplete	Complete	CSP	2012		2022-12-27	2013-03-18	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[]	[]	['SRX3538766']	55340
Gp0091359	Meira miltonrushii MCA 3882	Gi0072499	Gs0000001		Go0091359	662	1036216			300789	PRJNA247836	SAMN02787052	Permanent Draft	Complete	CSP	2012		2022-12-27	2014-03-31	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[{'pubmedId': 29771364, 'journalName': 'Molecular biology and evolution', 'volume': '35', 'issue': '8', 'page': '1840-1854', 'title': 'Broad Genomic Sampling Reveals a Smut Pathogenic Ancestry of the Fungal Clade Ustilaginomycotina.', 'publicationDate': '2018-02-01', 'doi': '10.1093/molbev/msy072'}]	[]	['SRX2064632', 'SRX2064633']	1280837
Gp0110633	Mrakia frigida ATCC 22029 Standard Draft		Gs0000001		Go0110162	662	1040531			300789	PRJNA334195	SAMN05446639	Permanent Draft	Complete	CSP	2012		2022-12-27	2015-02-25	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina NextSeq-MO', 'Illumina HiSeq 2500-1TB']	[]	[]	['SRX4341710', 'SRX2112563', 'SRX2112562']	29902
Gp0114090	Piptocephalis cylindrospora RSA2659 Single Cell Genome MiSeq		Gs0000001		Go0036396	662	1023045			300789	PRJNA346298	SAMN05920848	incomplete	Complete	CSP	2012		2023-02-17	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[]	[]	[]	1907219
Gp0113649	Delitschia sp. FL0756 Minimal Draft		Gs0000001		Go0111620	662	1033457			300789	PRJNA346896	SAMN05920945	incomplete	Complete	CSP	2012		2022-12-27	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[]	[]	['SRX5202906']	1907232
Gp0113651	Dentipellis sp. KUC8613 Standard Draft		Gs0000001		Go0111621	662	1036192			300789	PRJNA333391	SAMN05518932	Permanent Draft	Complete	CSP	2012		2022-12-30	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[]	[]	['SRX5203053', 'SRX5203052']	1883078
Gp0113655	Didymocrea sadasivanii CBS 438.65 Standard Draft		Gs0000001		Go0111623	662	1054428			300789	PRJNA346898	SAMN05920832	Permanent Draft	Complete	CSP	2012		2022-12-27	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio RS II']	[]	[]	['SRX2253762', 'SRX2253761', 'SRX2510094', 'SRX2253760', 'SRX2510095', 'SRX2510096', 'SRX2510092', 'SRX2253759', 'SRX2510093', 'SRX2253758', 'SRX2253757']	372059
Gp0113691	Galactomyces candidum Phaff 72-186 Standard Draft		Gs0000001		Go0111640	662	1063597			300789	PRJNA334358	SAMN05446216	incomplete	Complete	CSP	2012		2023-02-14	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[]	[]	['SRX2139638']	1173061
Gp0113726	Jaminaea rosea sp. nov MCA 5214 Standard Draft		Gs0000001		Go0106657	662	1036208			300789	PRJNA334361	SAMN05446219	Permanent Draft	Complete	CSP	2012		2022-12-30	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[{'pubmedId': 29771364, 'journalName': 'Molecular biology and evolution', 'volume': '35', 'issue': '8', 'page': '1840-1854', 'title': 'Broad Genomic Sampling Reveals a Smut Pathogenic Ancestry of the Fungal Clade Ustilaginomycotina.', 'publicationDate': '2018-02-01', 'doi': '10.1093/molbev/msy072'}]	[]	['SRX2063623', 'SRX2063622']	1569628
Gp0113781	Microdiplodia sp. AK1800 Standard Draft		Gs0000001		Go0111686	662	1033469			300789	PRJNA346281	SAMN05920843	incomplete	Complete	CSP	2012		2022-12-27	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio Sequel']	[]	[]	['SRX5202902', 'SRX5202901', 'SRX5202900', 'SRX5202905', 'SRX5202904', 'SRX5202903']	1907216
Gp0113423	Arthroascus fermentans (Saccharomycopsis fermentans) NRRL Y-17710 Standard Draft		Gs0000001		Go0111462	662	1040501			300789	PRJNA334330	SAMN05446040	Permanent Draft	Complete	CSP	2012		2022-12-27	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX2112550', 'SRX2112551']	53486
Gp0113670	Entomophthora muscae HHdFL130914-01 Standard Draft		Gs0000001		Go0111631	662	1060368			300789	PRJNA346904	SAMN05921087	incomplete	In progress	CSP	2012		2022-12-27	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio Sequel', 'PacBio Sequel IIe', 'Illumina HiSeq 2500-1TB']	[]	[]	['SRX3028890', 'SRX2339426', 'SRX2483337', 'SRX3028893', 'SRX3028892', 'SRX3028891', 'SRX2339425', 'SRX3028889', 'SRX3028888']	34485
Gp0114198	Glomus cerebriforme DAOM227022		Gs0000001		Go0112003	662	1052935			300789	PRJNA346304	SAMN05920849	incomplete	Complete	CSP	2012		2022-12-27	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	[]	[]	[]	[]	658196
Gp0114532	Sporidiobolus pararoseus UCDFST 68-350 Standard Draft		Gs0000001		Go0112289	662	1063591			300789	PRJNA332929	SAMN05445919	Permanent Draft	Complete	CSP	2012		2022-12-27	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[]	[]	['SRX2139621']	5003
Gp0110604	Fellomyces polyborus UCDFST 54-35 Standard Draft		Gs0000001		Go0110133	662	1051257			300789	PRJNA334184	SAMN05445848	Permanent Draft	Complete	CSP	2012		2022-12-27	2015-02-25	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[]	[]	['SRX2129151', 'SRX2129150']	5611
Gp0019312	Lentithecium fluviatile CBS 122367	Gi21420	Gs0000001		Go0019312	662	1006093		407841	300789	PRJNA196040	SAMN02745708	Permanent Draft	Complete	CSP	2012		2022-12-27	2012-03-06	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	[]	690899
Gp0113630	Cryptodiaporthe sp. AZ0812 Standard Draft		Gs0000001		Go0111610	662	1033441			300789	PRJNA346888	SAMN05920949	incomplete	Complete	CSP	2012		2022-12-30	2015-04-20	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio Sequel']	[]	[]	['SRX3538802', 'SRX3538803', 'SRX3538806', 'SRX3538807', 'SRX3538804', 'SRX3538805', 'SRX3538808', 'SRX3538809', 'SRX3538810']	1907526
Gp0124156	Thamnidium elegans NRRL 2467 Standard Draft		Gs0000001		Go0118598	662	1085231			300789	PRJNA332251	SAMN05443592	Permanent Draft	Complete	CSP	2012		2023-01-05	2015-11-06	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio RS II']	[]	[]	['SRX2483865', 'SRX2483864', 'SRX2483863', 'SRX2483862']	101142
Gp0191676	Anomoloma myceliosum MJL 4413 Standard Draft		Gs0000001		Go0357132	662	1119251			300789	PRJNA363658	SAMN06265512	incomplete	Complete	CSP	2012		2022-12-29	2016-12-15	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio RS II']	[]	[]	['SRX4638763', 'SRX4638760', 'SRX4638762', 'SRX4638761', 'SRX4638759', 'SRX4638758']	693289
Gp0191677	Botryozyma mucatilis CBS 9042 Standard Draft		Gs0000001		Go0357133	662	1119259			300789	PRJNA363659	SAMN06265015	incomplete	Complete	CSP	2012		2022-12-29	2016-12-15	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio RS II']	[]	[]	['SRX4365269', 'SRX4365268', 'SRX4365267', 'SRX4365274', 'SRX4365273', 'SRX4365272', 'SRX4365271', 'SRX4365270']	280465
Gp0191685	Laxitextum bicolor CBS 258.73 Standard Draft		Gs0000001		Go0357141	662	1119281			300789	PRJNA363667	SAMN06264869	incomplete	Complete	CSP	2012		2022-12-29	2016-12-15	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio RS II']	[]	[]	['SRX4640059', 'SRX4640069', 'SRX4640058', 'SRX4640068', 'SRX4640057', 'SRX4640067', 'SRX4640066', 'SRX4640077', 'SRX4640065', 'SRX4640076', 'SRX4640064', 'SRX4640075', 'SRX4640063', 'SRX4640074', 'SRX4640062', 'SRX4640073', 'SRX4640072', 'SRX4640061', 'SRX4640060', 'SRX4640071', 'SRX4640070']	68771
Gp0191690	Phaeosolenia platensis CBS 268.64 Standard Draft		Gs0000001		Go0357146	662	1119293			300789	PRJNA368366	SAMN06266788	incomplete	Complete	CSP	2012		2022-12-29	2016-12-15	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio RS II']	[]	[]	['SRX4808390', 'SRX4808391', 'SRX4808392', 'SRX4808387', 'SRX4808388', 'SRX4808389', 'SRX4808393', 'SRX4808394']	269161
Gp0230239	Syncephalis pseudoplumigaleata Benny S71-1 - Syn3M3		Gs0000001		Go0036342	662	1019525	101896		300789	PRJNA421594	SAMN08148438	incomplete	Complete	CSP	2012		2017-12-08	2017-08-26	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina MiSeq', 'Illumina HiSeq 2500-1TB']	[]	[]	[]	1712513
Gp0234560	Thamnocephalis sphaerospora RSA 1356 - Nex5hH13		Gs0000001		Go0118503	662	1090758	107207		300789	PRJNA421758	SAMN08153362	incomplete	Complete	CSP	2012		2022-08-14	2017-08-26	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina MiSeq', 'Illumina HiSeq 2500-1TB']	[]	[]	[]	78915
Gp0230241	Syncephalis pseudoplumigaleata Benny S71-1 - Syn4A3		Gs0000001		Go0036342	662	1019525	101900		300789	PRJNA421596	SAMN08148437	incomplete	Complete	CSP	2012		2017-12-08	2017-08-26	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina MiSeq', 'Illumina HiSeq 2500-1TB']	[]	[]	[]	1712513
Gp0230243	Syncephalis pseudoplumigaleata Benny S71-1 - Syn4E 8		Gs0000001		Go0036342	662	1019525	101898		300789	PRJNA421598	SAMN08148435	incomplete	Complete	CSP	2012		2017-12-08	2017-08-26	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina MiSeq', 'Illumina HiSeq 2500-1TB']	[]	[]	[]	1712513
Gp0234571	Thamnocephalis sphaerospora RSA 1356 - Tham5hK04		Gs0000001		Go0118503	662	1090758	101909		300789	PRJNA421751	SAMN08153355	incomplete	Complete	CSP	2012		2022-08-14	2017-08-26	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina MiSeq', 'Illumina HiSeq 2500-1TB']	[]	[]	[]	78915
Gp0568757	Cunninghamella blakesleeana CBS 133.27 Standard Draft		Gs0000001		Go0516964	662	1246610			300789			incomplete	In progress	CSP	2012		2023-01-20	2021-05-28	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio Sequel IIe']	[]	[]	[]	155726
Gp0024399	Suillus brevipes Sb2	Gi21425	Gs0000001		Go0025429	662	1011226			300789	PRJNA218802	SAMN02745872	Permanent Draft	Complete	CSP	2012		2022-12-27	2012-09-25	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX874795', 'SRX874794']	1400700
Gp0110561	Chionosphaera cuniculicola CBS10063 Standard Draft		Gs0000001		Go0110090	662	1051203			300789	PRJNA333795	SAMN05446936	Permanent Draft	Complete	CSP	2012		2022-12-27	2015-02-25	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[]	[]	['SRX2124816', 'SRX2124817']	180810
Gp0110608	Gyromitra esculenta CBS101906 Standard Draft		Gs0000001		Go0110137	662	1051239			300789	PRJNA334187	SAMN05446845	Permanent Draft	Complete	CSP	2012		2022-12-27	2015-02-25	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[]	[]	['SRX2129144', 'SRX2129145']	33161
Gp0110612	Neohortaea acidophila CBS 113389 Standard Draft		Gs0000001		Go0111655	662	1040525			300789	PRJNA334188	SAMN05446851	Permanent Draft	Complete	CSP	2012		2022-12-27	2015-02-25	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[]	[]	['SRX2112552', 'SRX2112553']	245834
Gp0110616	Nigrospora oryzae ATCC 28132		Gs0000001		Go0110145	662	1051221			300789	PRJNA334191	SAMN05446852	Permanent Draft	Complete	CSP	2012		2022-12-27	2015-02-25	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500-1TB']	[]	[]	['SRX2124835', 'SRX2124836']	335854
Gp0033117	Basidiobolus meristosporus CBS 931.73	Gi22570	Gs0000001		Go0033116	662	1015487			300789	PRJNA196075	SAMN02745972	Permanent Draft	Complete	CSP	2012		2022-12-27	2012-11-01	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500', 'Illumina HiSeq 2500-Rapid', 'PacBio RS II']	[]	[]	['SRX1915352', 'SRX1915396', 'SRX1915395', 'SRX1915472', 'SRX1915394', 'SRX1915471', 'SRX1915470', 'SRX1915510', 'SRX1915433', 'SRX1915477', 'SRX1915553', 'SRX1915432', 'SRX1915278', 'SRX1915431', 'SRX1915310', 'SRX1915277', 'SRX1915232', 'SRX1915397', 'SRX1915430', 'SRX1915276', 'SRX1915437', 'SRX1915315', 'SRX1915314', 'SRX1915435', 'SRX1915357', 'SRX1915515', 'SRX1915438', 'SRX1915285', 'SRX1915284', 'SRX1915322', 'SRX1915486', 'SRX1915365', 'SRX1915364', 'SRX1915287', 'SRX1915485', 'SRX1915403', 'SRX1915524', 'SRX1915402', 'SRX1915523', 'SRX1915248', 'SRX1915247', 'SRX1915368', 'SRX1915522', 'SRX1915527', 'SRX1915328', 'SRX1915292', 'SRX1915253', 'SRX1915252', 'SRX1915371', 'SRX1915250', 'SRX1915334', 'SRX1915532', 'SRX1915378', 'SRX1915454', 'SRX1915333', 'SRX1915255', 'SRX1915332', 'SRX1915453', 'SRX1915375', 'SRX1915331', 'SRX1915415', 'SRX1915414', 'SRX1915458', 'SRX1915457', 'SRX1915413', 'SRX1915336', 'SRX1915379', 'SRX1915335', 'SRX1915418', 'SRX1915537', 'SRX1915416', 'SRX1915385', 'SRX1915220', 'SRX1915543', 'SRX1915388', 'SRX1915542', 'SRX1915266', 'SRX1915386', 'SRX1915463', 'SRX1915221', 'SRX1915503', 'SRX1915305', 'SRX1915228', 'SRX1915304', 'SRX1915226', 'SRX1915303', 'SRX1915347', 'SRX1915302', 'SRX1915544', 'SRX1915225', 'SRX1915429', 'SRX1915428', 'SRX1915427', 'SRX1915306', 'SRX1915504', 'SRX1915508']	423460
Gp0033495	Lepidopterella palustris CBS 459.81	Gi38963	Gs0000001		Go0033495	662	1011353			300789	PRJNA196014	SAMN04110470	Permanent Draft	Complete	CSP	2012		2022-12-27	2012-11-13	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[{'pubmedId': 27601008, 'journalName': 'Nature communications', 'volume': '7', 'issue': None, 'page': '12662', 'title': 'Ectomycorrhizal ecology is imprinted in the genome of the dominant symbiotic fungus Cenococcum geophilum.', 'publicationDate': '2016-10-01', 'doi': '10.1038/ncomms12662'}]	[]	[]	741139
Gp0033151	Elmerina caryae L-13461	Gi22475	Gs0000001		Go0033151	662	1009626			300789	PRJNA218032	SAMN02745845	Permanent Draft	Complete	CSP	2012		2022-12-27	2012-10-31	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500', 'PacBio RS II']	[]	[]	['SRX1901169', 'SRX1901168', 'SRX1901167', 'SRX1901162', 'SRX1901170', 'SRX1901166', 'SRX1901165', 'SRX1901164', 'SRX1901163']	1211726
Gp0033212	Diatrype disciformis NRRL 26140	Gi22540	Gs0000001		Go0033212	662	1011251			300789	PRJNA346789	SAMN05920732	incomplete	Complete	CSP	2012		2023-02-17	2012-11-01	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['PacBio Sequel II', 'PacBio Sequel']	[]	[]	[]	42366
Gp0032994	Rhizopogon vinicolor AM-OR11-026	Gi22555	Gs0000001		Go0032994	662	1015507			300789	PRJNA196085	SAMN02745878	Permanent Draft	Complete	CSP	2012		2023-02-17	2012-11-01	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX875108']	1314800
Gp0032998	Melanomma pulvis-pyrius CBS 109.77	Gi38940	Gs0000001		Go0032998	662	1011365			300789	PRJNA196087	SAMN02745879	Permanent Draft	Complete	CSP	2012		2022-12-27	2012-11-01	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	['SRX874812', 'SRX874811']	100047
Gp0019297	Arthrinium arundinis NRRL 25634	Gi38929	Gs0000001		Go0019297	662	1006423		407820	300789	PRJNA346435	SAMN05920551	Permanent Draft	Complete	CSP	2012		2022-12-27	2012-03-06	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	[]	[]	[]	[]	335852
Gp0019330	Cucurbitaria berberidis CBS 394.84	Gi21422	Gs0000001		Go0019409	662	1006069		407839	300789	PRJNA196042	SAMN02691713	Permanent Draft	Complete	CSP	2012		2022-12-27	2012-03-06	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina HiSeq 2500']	[]	[]	[]	45142
Gp0019438	Didymella exigua CBS 183.55	Gi0024724	Gs0000001		Go0019438	662			407831	300789	PRJNA207857	SAMN02745736	Permanent Draft	Complete	CSP	2012		2017-09-01	2012-03-06	Whole Genome Sequencing	['DOE Joint Genome Institute (JGI)']	['Illumina']	[]	[]	[]	1150837
