species	TOLiD	ncbi_taxon_id	Long Read 	Proximity Ligation (HiC/OmniC	RNA Sequencing 	long_list	other_priority	family_representative	contributing_project_lab	sequencing_status	sample_collected	in_progress	insdc_open	published	sample_acquired
Gyrodactylus teuchis	hmGyrTeuc	103805	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Solea solea	fSolSol	90069	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Niphargus schellenbergi	qmNipSche	467509	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Theodoxus fluviatilis	xgTheFluv	120472	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Zostera noltei	laZosNolt	55326	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Ramonda myconi (L.) Rchb.	daRamMyco	48815	in_progress			ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Mediocremonas mediterraneus	uoMedMedi	2766786	in_progress		in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Monolistra pretneri	qmMonPret	638675	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Parastalita stygia	qqParStyg, qqParStyg	2721265	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Troglohyphantes excavatus	qqTroExca	1977180	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Acanthodactylus schreiberi	rAcaSch	714888	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Spongipellis delectans	gfSpoDele	83244	in_progress		in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Spinachia spinachia	fSpiSpi	206126	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Pteromys volans [waiting on fresh sample]	mPteVol	55152				ERGA-PIL	ERGA-PIL		ERGA-PILOT						
Ammodytes marinus	fAmmMar	146480	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Argentina silus	fArgSil	446415	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Mytilus edulis	xbMytEdul	6550	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Bombus lapponicus	iyBomLapp	85664	in_progress	sample_collected	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Aglaophenia octodonta	jhAglOcto	401953	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Mustela lutreola	mMusLut	9666	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Prunus brigantina	drPruBrig	151428	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Acrobeloides nanus	nxAcrNanu	290746	in_progress	in_progress		ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Poikilolaimus oxycerca	nxPoiOxyc	96659	in_progress			ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Megalothorax minimus	qeMegMini	438500	in_progress			ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Camptopoeum friesei	iyCamFrie	2918745	in_progress	in_progress		ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Rhogostoma pseudocylindrica	pcRhoPscy	2691107	in_progress			ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Zygaena transalpina	ilZygTras	287399	in_progress		in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Podarcis cretensis	rPodCre, rPodCre	1330250	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Spermophilus citellus	mSpeCit, mSpeCit	9997	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Buccinum undatum	xgBucUnda	37541	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Vulpes lagopus	mVulLag	494514	in_progress	in_progress		ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Salvelinus alpinus	fSalAlp	8036	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Trifolium Dubium	drTriDubi	97021	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Acanthodactylus beershebensis	rAcaBee	1091104	in_progress			ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Bombus monticola	iyBomMont	103936	in_progress			ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Cryptocephalus barii	icCryBari	1091357	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Primula glaucescens	ddPriGlau	184182	in_progress	in_progress		ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Zygaena transalpina	ilZygTras	287399	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Xylocopa violacea	iyXylViol	135666	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Thunnus thynnus	fThuThy	8237				ERGA-PIL	ERGA-PIL		ERGA-PILOT						
Emplectonema gracile	tnEmpGrac	6230	in_progress	in_progress		ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Astraeus hygrometricus	gfAstHygr	150782	sample_collected			ERGA-PIL	ERGA-PIL		ERGA-PILOT	sample_collected	ERGA-PIL				
Corema album	ddCorAlbu	199168	sample_collected	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Laurus azorica	dmLauAzor	136121	sample_collected	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Oenanthe leucura	bOenLec	391703	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Trechus terceiranus	icTreTerc	2870711	sample_collected	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Nepa anophthalma	ihNepAnop	2873937	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Niphargus dancaui	qmNipDanc	1813177	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Merodon euri	idMerEuri	2218654	in_progress		sample_collected	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Otis tarda	bOtiTar, bOtiTar	73107	in_progress	in_progress		ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Merodon desuturinus	idMerDesu	372778	sample_collected	in_progress		ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Palingenia longicauda	iePalLong	650627	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Tetrao urogallus	bTetUro	100830	in_progress	in_progress		ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Chionomys nivalis	mChiNiv	269649	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Knipowitschia panizzae	fKniPan	85422	in_progress	in_progress	sample_collected	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Bufotes viridis	aBufVir	30338	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Parnassius mnemosyne	ilParMnem	213953	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Stylops ater	ivStyAter	2793624	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Mesoplodon bidens	mMesBid	48745				ERGA-PIL	ERGA-PIL		ERGA-PILOT						
"Perca sp. ""yellow fin Alpine"""	fPerYfa	2874917	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Zingel asper	fZinAsp	880251	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Lasius platythorax	iyLasPlat	488582	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Asellus aquaticus	qmAseAqua	92525	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Botryllus gaiae	kaBotGaia	2040467	in_progress			ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Coenonympha glycerion	ilCoeGlyc	242261	in_progress	in_progress		ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Helleia helle	ilHelHell	2795559	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Parus major	bParMaj	9157	in_progress	sample_collected	sample_collected	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Sus scrofa	mSusScr	9823	in_progress			ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Acipenser sturio	fAciStu	61674	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Raja clavata	sRajCla	7781	in_progress			ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Halichondria panicea	odHalPani	6063	in_progress			ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Acrocephalus paludicola	bAcrPal	68471	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Botryllus schlosseri	kaBotSchl	30301	in_progress	in_progress		ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Debaryomyces hansenii RF-E1	gsDebHans	4959	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
Cardamine caldeirarum Guthn. ex Seub.	ddCarCald	1053332				ERGA-PIL	ERGA-PIL		ERGA-PILOT						
Canis aureus 	mCanAur	68724	in_progress	in_progress	in_progress	ERGA-PIL	ERGA-PIL		ERGA-PILOT	in_progress	ERGA-PIL	ERGA-PIL			ERGA-PIL
