	Species_name	Subspecies	Common Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
61	Accipiter henicogrammus		Moluccan Goshawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
62	Accipiter henstii		Henst's Goshawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
63	Accipiter hiogaster		Variable Goshawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
64	Accipiter imitator		Imitator Goshawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
65	Accipiter luteoschistaceus		Slaty-backed Sparrowhawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
66	Accipiter madagascariensis		Madagascar Sparrowhawk	Accipitridae		B10K	nan	nan	nan	sample_collected	B10K		
67	Accipiter melanochlamys		Black-mantled Goshawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
68	Accipiter melanoleucus		Black Sparrowhawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
69	Accipiter meyerianus		Meyer's Goshawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
70	Accipiter minullus		Little Sparrowhawk	Accipitridae		B10K	nan	nan	nan	sample_collected	B10K		
71	Accipiter nanus		Dwarf Sparrowhawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
72	Accipiter nisus		Eurasian Sparrowhawk	Accipitridae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
73	Accipiter novaehollandiae		Gray Goshawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
74	Accipiter ovampensis		Ovambo Sparrowhawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
75	Accipiter poliocephalus		Grey-headed Goshawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
76	Accipiter poliogaster		Gray-bellied Hawk	Accipitridae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
77	Accipiter princeps		New Britain Goshawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
78	Accipiter rhodogaster		Vinous-breasted Sparrowhawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
79	Accipiter rufitorques		Fiji Goshawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
80	Accipiter rufiventris		Rufous-breasted Sparrowhawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
81	Accipiter soloensis		Chinese Sparrowhawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
82	Accipiter striatus		Sharp-shinned Hawk	Accipitridae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
83	Accipiter superciliosus	superciliosus	Tiny Hawk	Accipitridae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
84	Accipiter tachiro	toussenelii	African Goshawk	Accipitridae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
85	Accipiter trinotatus		Spot-tailed Goshawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
86	Accipiter trivirgatus		Crested Goshawk	Accipitridae		nan	nan	nan	nan	nan	B10K		
87	Accipiter virgatus		Besra	Accipitridae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
88	Aceros nipalensis		Rufous-necked Hornbill	Bucerotidae		nan	nan	nan	nan	nan	B10K		
89	Achaetops pycnopygius	pycnopygius	Rockrunner	Macrosphenidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
90	Acridotheres albocinctus		Collared Myna	Sturnidae		nan	nan	nan	nan	nan	B10K		
91	Acridotheres burmannicus		Vinous-breasted Myna	Sturnidae		nan	nan	nan	nan	nan	B10K		
92	Acridotheres cinereus		Pale-bellied Myna	Sturnidae		nan	nan	nan	nan	nan	B10K		
93	Acridotheres cristatellus		Crested Myna	Sturnidae		nan	nan	nan	nan	nan	B10K		
94	Acridotheres fuscus		Jungle Myna	Sturnidae		nan	nan	nan	nan	nan	B10K		
95	Acridotheres ginginianus		Bank Myna	Sturnidae		nan	nan	nan	nan	nan	B10K		
96	Acridotheres grandis		Great Myna	Sturnidae		nan	nan	nan	nan	nan	B10K		
97	Acridotheres javanicus		Javan Myna	Sturnidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
98	Acridotheres melanopterus		Black-winged Myna	Sturnidae		nan	nan	nan	nan	nan	B10K		
99	Acridotheres tristis		Common Myna	Sturnidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
100	Acritillas indica		Yellow-browed Bulbul	Pycnonotidae		nan	nan	nan	nan	nan	B10K		
101	Acrobatornis fonsecai		Pink-legged Graveteiro	Furnariidae		nan	nan	nan	nan	nan	B10K		
102	Acrocephalus aequinoctialis		Kiritimati Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
103	Acrocephalus agricola		Paddyfield Warbler	Acrocephalidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
104	Acrocephalus arundinaceus		Great Reed Warbler	Acrocephalidae	Phase Family	B10K	B10K	B10K	nan	in_progress	B10K		B10K
105	Acrocephalus arundinaceus		Great Reed Warbler	Acrocephalidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
106	Acrocephalus arundinaceus	zarudnyi	Great Reed Warbler	Acrocephalidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
107	Acrocephalus astrolabii		Gambier Islands Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
108	Acrocephalus atyphus		Tuamotu Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
109	Acrocephalus australis		Australian Reed Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
110	Acrocephalus bistrigiceps		Black-browed Reed Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
111	Acrocephalus brevipennis		Cape Verde Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
112	Acrocephalus caffer		Tahiti Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
113	Acrocephalus concinens		Blunt-winged Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
114	Acrocephalus dumetorum		Blyth's Reed Warbler	Acrocephalidae		B10K	B10K	B10K	B10K	insdc_submitted	B10K		
115	Acrocephalus familiaris		Millerbird	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
116	Acrocephalus gracilirostris		Lesser Swamp Warbler	Acrocephalidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
117	Acrocephalus griseldis		Basra Reed Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
118	Acrocephalus hiwae		Hiwai's Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
119	Acrocephalus kerearako		Cook Islands Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
120	Acrocephalus longirostris		Mo'orea Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
121	Acrocephalus luscinius		Guam Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
122	Acrocephalus melanopogon		Moustached Warbler	Acrocephalidae		B10K	nan	nan	nan	sample_collected	B10K		
123	Acrocephalus mendanae		Southern Marquesan Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
124	Acrocephalus musae		Forster's Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
125	Acrocephalus newtoni		Madagascar Swamp Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
126	Acrocephalus nijoi		Aguijan Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
127	Acrocephalus orientalis		Oriental Reed Warbler	Acrocephalidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
128	Acrocephalus orinus		Large-billed Reed Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
129	Acrocephalus paludicola		Aquatic Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
130	Acrocephalus palustris		Marsh Warbler	Acrocephalidae		B10K	B10K	B10K	nan	in_progress	B10K		
131	Acrocephalus percernis		Northern Marquesan Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
132	Acrocephalus rehsei		Nauru Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
133	Acrocephalus rimitarae		Rimatara Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
134	Acrocephalus rodericanus		Rodrigues Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
135	Acrocephalus rufescens		Greater Swamp Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
136	Acrocephalus schoenobaenus		Sedge Warbler	Acrocephalidae		B10K	B10K	B10K	nan	in_progress	B10K		
137	Acrocephalus scirpaceus	scirpaceus	Common Reed Warbler	Acrocephalidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
138	Acrocephalus scirpaceus	baeticatus	Common Reed Warbler	Acrocephalidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
139	Acrocephalus sechellensis		Seychelles Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
140	Acrocephalus sorghophilus		Streaked Reed Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
141	Acrocephalus stentoreus		Clamorous Reed Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
142	Acrocephalus syrinx		Caroline Islands Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
143	Acrocephalus taiti		Henderson Island Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
144	Acrocephalus tangorum		Manchurian Reed Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
145	Acrocephalus vaughani		Pitcairn Island Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
146	Acrocephalus yamashinae		Pagan Warbler	Acrocephalidae		nan	nan	nan	nan	nan	B10K		
147	Acropternis orthonyx		Ocellated Tapaculo	Rhinocryptidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
148	Acryllium vulturinum		Vulturine Guineafowl	Numididae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
149	Actenoides bougainvillei		Moustached Kingfisher	Alcedinidae		nan	nan	nan	nan	nan	B10K		
150	Actenoides concretus		Rufous-collared Kingfisher	Alcedinidae		B10K	B10K	B10K	nan	in_progress	B10K		
151	Actenoides hombroni		Blue-capped Kingfisher	Alcedinidae		nan	nan	nan	nan	nan	B10K		
152	Actenoides lindsayi	lindsayi	Spotted Kingfisher	Alcedinidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
153	Actenoides monachus		Green-backed Kingfisher	Alcedinidae		nan	nan	nan	nan	nan	B10K		
154	Actenoides princeps		Scaly Kingfisher	Alcedinidae		nan	nan	nan	nan	nan	B10K		
155	Actinodura egertoni		Rusty-fronted Barwing	Leiothrichidae		nan	nan	nan	nan	nan	B10K		
156	Actinodura ramsayi		Spectacled Barwing	Leiothrichidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
157	Actinodura sodangorum		Black-crowned Barwing	Leiothrichidae		nan	nan	nan	nan	nan	B10K		
158	Actitis hypoleucos		Common Sandpiper	Scolopacidae		B10K	B10K	B10K	B10K	insdc_submitted	B10K		
159	Actitis macularius		Spotted Sandpiper	Scolopacidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
160	Actophilornis africanus		African Jacana	Jacanidae		B10K	nan	nan	nan	sample_collected	B10K		
161	Actophilornis albinucha		Madagascar Jacana	Jacanidae		nan	nan	nan	nan	nan	B10K		
162	Adelomyia melanogenys		Speckled Hummingbird	Trochilidae	Phase Genus	nan	nan	nan	nan	nan	B10K	B10K	
163	Aechmophorus clarkii		Clark's Grebe	Podicipedidae		nan	nan	nan	nan	nan	B10K		
164	Aechmophorus occidentalis		Western Grebe	Podicipedidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
165	Aegithalos caudatus		Long-tailed Tit	Aegithalidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
166	Aegithalos concinnus		Black-throated Tit	Aegithalidae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
167	Aegithalos glaucogularis		Silver-throated Tit	Aegithalidae		nan	nan	nan	nan	nan	B10K		
168	Aegithalos iouschistos		Black-browed Tit	Aegithalidae		nan	nan	nan	nan	nan	B10K		
169	Aegithalos leucogenys		White-cheeked Tit	Aegithalidae		nan	nan	nan	nan	nan	B10K		
170	Aegithalos niveogularis		White-throated Tit	Aegithalidae		nan	nan	nan	nan	nan	B10K		
171	Aegithina lafresnayei		Great Iora	Aegithinidae		nan	nan	nan	nan	nan	B10K		
172	Aegithina nigrolutea		Marshall's Iora	Aegithinidae		nan	nan	nan	nan	nan	B10K		
173	Aegithina tiphia		Common Iora	Aegithinidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
174	Aegithina viridissima		Green Iora	Aegithinidae		nan	nan	nan	nan	nan	B10K		
175	Aegolius acadicus		Northern Saw-whet Owl	Strigidae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
176	Aegolius funereus		Tengmalm's Owl	Strigidae		B10K	B10K	B10K	nan	in_progress	B10K		
177	Aegolius harrisii		Buff-fronted Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
178	Aegolius ridgwayi		Unspotted Saw-whet Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
179	Aegotheles affinis		Allied Owlet-nightjar	Aegothelidae		nan	nan	nan	nan	nan	B10K		
180	Aegotheles albertisi		Arfak Owlet-nightjar	Aegothelidae		nan	nan	nan	nan	nan	B10K		
181	Aegotheles archboldi		Archbold's Owlet-nightjar	Aegothelidae		nan	nan	nan	nan	nan	B10K		
182	Aegotheles bennettii		Barred Owlet-nightjar	Aegothelidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
183	Aegotheles crinifrons		Moluccan Owlet-nightjar	Aegothelidae		nan	nan	nan	nan	nan	B10K		
184	Aegotheles cristatus		Australian Owlet-nightjar	Aegothelidae	Phase Genus	nan	nan	nan	nan	nan	B10K	B10K	
185	Aegotheles insignis		Feline Owlet-nightjar	Aegothelidae		nan	nan	nan	nan	nan	B10K		
186	Aegotheles salvadorii		Mountain Owlet-nightjar	Aegothelidae		nan	nan	nan	nan	nan	B10K		
187	Aegotheles savesi		New Caledonian Owlet-nightjar	Aegothelidae		nan	nan	nan	nan	nan	B10K		
188	Aegotheles tatei		Spangled Owlet-nightjar	Aegothelidae		nan	nan	nan	nan	nan	B10K		
189	Aegotheles wallacii		Wallace's Owlet-nightjar	Aegothelidae		nan	nan	nan	nan	nan	B10K		
190	Aegypius monachus		Cinereous Vulture	Accipitridae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
191	Aepypodius arfakianus		Wattled Brush-turkey	Megapodiidae		nan	nan	nan	nan	nan	B10K		
192	Aepypodius bruijnii		Bruijn's Brush-turkey	Megapodiidae		nan	nan	nan	nan	nan	B10K		
193	Aerodramus amelis		Ameline Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
194	Aerodramus bartschi		Mariana Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
195	Aerodramus brevirostris		Himalayan Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
196	Aerodramus elaphrus		Seychelles Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
197	Aerodramus francicus		Mascarene Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
198	Aerodramus fuciphagus		Edible-nest Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
199	Aerodramus hirundinaceus		Mountain Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
200	Aerodramus infuscatus		Moluccan Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
201	Aerodramus inquietus		Caroline Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
202	Aerodramus leucophaeus		Polynesian Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
203	Aerodramus maximus		Black-nest Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
204	Aerodramus mearnsi		Philippine Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
205	Aerodramus nuditarsus		Bare-legged Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
206	Aerodramus ocistus		Marquesan Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
207	Aerodramus orientalis		Mayr's Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
208	Aerodramus papuensis		Papuan Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
209	Aerodramus pelewensis		Palau Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
210	Aerodramus salangana		Mossy-nest Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
211	Aerodramus spodiopygius		White-rumped Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
212	Aerodramus terraereginae		Australian Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
213	Aerodramus unicolor		Indian Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
214	Aerodramus vanikorensis		Uniform Swiftlet	Apodidae		nan	nan	nan	nan	nan	B10K		
215	Aerodramus whiteheadi		Whitehead's Swiftlet	Apodidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
216	Aeronautes andecolus	andecolus	Andean Swift	Apodidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
217	Aeronautes montivagus		White-tipped Swift	Apodidae		nan	nan	nan	nan	nan	B10K		
218	Aeronautes saxatalis	saxatalis	White-throated Swift	Apodidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
219	Aethia cristatella		Crested Auklet	Alcidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
220	Aethia psittacula		Parakeet Auklet	Alcidae		nan	nan	nan	nan	nan	B10K		
221	Aethia pusilla		Least Auklet	Alcidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
222	Aethia pygmaea		Whiskered Auklet	Alcidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
223	Aethopyga bella		Handsome Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
224	Aethopyga boltoni		Apo Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
225	Aethopyga christinae		Fork-tailed Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
226	Aethopyga decorosa		McGregor's Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
227	Aethopyga duyvenbodei		Elegant Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
228	Aethopyga eximia		White-flanked Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
229	Aethopyga flagrans		Flaming Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
230	Aethopyga gouldiae		Mrs. Gould's Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
231	Aethopyga guimarasensis		Ilongo Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
232	Aethopyga ignicauda	flavescens	Fire-tailed Sunbird	Nectariniidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
233	Aethopyga jefferyi		Jeffery's Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
234	Aethopyga linaraborae		Lina's Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
235	Aethopyga magnifica		Magnificent Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
236	Aethopyga mystacalis		Javan Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
237	Aethopyga nipalensis		Green-tailed Sunbird	Nectariniidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
238	Aethopyga primigenia		Grey-hooded Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
239	Aethopyga pulcherrima		Metallic-winged Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
240	Aethopyga saturata		Black-throated Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
241	Aethopyga shelleyi		Lovely Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
242	Aethopyga siparaja		Crimson Sunbird	Nectariniidae		B10K	B10K	B10K	nan	in_progress	B10K		
243	Aethopyga temminckii		Temminck's Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
244	Aethopyga vigorsii		Vigors's Sunbird	Nectariniidae		nan	nan	nan	nan	nan	B10K		
