ncbi_taxon_id	species	subspecies	family	target_list_status	sequencing_status	publication_id	long_list	other_priority	family_representative	translated_status	in_progress	insdc_open	published	sample_acquired	sample_collected
1163345	Diorhabda carinulata		Chrysomelidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
217247	Diorhabda elongata		Chrysomelidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
1163346	Diorhabda sublineata		Chrysomelidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
362088	Diprion similis		Diprionidae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
133082	Eriosoma lanigerum		Aphididae	long_list			AG100PEST								
415140	Eudocima phalonia		Noctuidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
555972	Eurygaster integriceps		Scutelleridae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
756488	Euschistus servus		Pentatomidae	long_list			AG100PEST								
	Euxesta eluta		Ulidiidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
	Euxesta stigmatias		Ulidiidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
223229	Ferrisia gilli		Pseudococcidae	long_list	sample_acquired		AG100PEST			sample_acquired				AG100PEST	AG100PEST
133901	Frankliniella occidentalis		Thripidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
881461	Geocoris pallens		Geocoridae	long_list			AG100PEST								
1553328	Gnatocerus cornutus		Tenebrionidae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
36148	Graphocephala atropunctata		Cicadellidae	long_list			AG100PEST								
13551	Gryllodes sigillatus		Gryllidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
44386	Haemaphysalis longicornis		Ixodidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
7368	Haematobia irritans		Muscidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
286706	Halyomorpha halys		Pentatomidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
7113	Helicoverpa zea		Noctuidae	long_list	publication_available	10.1101/2022.04.12.488070	AG100PEST			published	AG100PEST	AG100PEST	AG100PEST	AG100PEST	AG100PEST
36757	Hypera postica		Curculionidae	long_list			AG100PEST								
57062	Hypothenemus hampei		Curculionidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
295660	Lasioderma serricorne		Anobiidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
466960	Latheticus oryzae		Tenebrionidae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
2029850	Leptoglossus clypealis		Coreidae	long_list			AG100PEST								
1228019	Leptoglossus zonatus		Coreidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
2218122	Leuronota fagarae		Triozidae	long_list	sample_acquired		AG100PEST			sample_acquired				AG100PEST	AG100PEST
130591	Lycorma delicatula		Fulgoridae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
30085	Lygus hesperus		Miridae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
50650	Lygus lineolaris		Miridae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
13131	Macrosiphum euphorbiae		Aphididae	long_list			AG100PEST								
1483170	Mallodon dasystomus		Cerambycidae	long_list	sample_acquired		AG100PEST			sample_acquired				AG100PEST	AG100PEST
7130	Manduca sexta		Sphingidae	long_list			AG100PEST								
1972498	Mayetiola avenae		Cecidomyiidae	long_list			AG100PEST								
39758	Mayetiola destructor		Cecidomyiidae	long_list			AG100PEST								
259533	Mayetiola hordei		Cecidomyiidae	long_list	sample_acquired		AG100PEST			sample_acquired				AG100PEST	AG100PEST
299257	Megacopta cribraria		Plataspidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
742174	Melanaphis sacchari		Aphididae	long_list			AG100PEST								
375433	Microplitis mediator		Braconidae	long_list			AG100PEST								
460024	Murgantia histrionica		Pentatomidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
221902	Musca autumnalis		Muscidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
2872261	Neodiprion fabricii		Diprionidae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
441921	Neodiprion lecontei		Diprionidae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
441929	Neodiprion pinetum		Diprionidae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
441943	Neodiprion virginiana		Diprionidae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
1032906	Nephotettix virescens		Cicadellidae	long_list			AG100PEST								
85310	Nezara viridula		Pentatomidae	long_list	sample_acquired		AG100PEST			sample_acquired				AG100PEST	AG100PEST
307478	Nigronia serricornis		Corydalidae	long_list	sample_acquired		AG100PEST			sample_acquired				AG100PEST	AG100PEST
1661417	Nipponaclerda biwakoensis		Aclerdidae	long_list			AG100PEST								
7536	Oncopeltus fasciatus		Lygaeidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
34597	Ornithodoros turicata		Argasidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
1453431	Ornithodoros verrucosus		Argasidae	long_list			AG100PEST								
72550	Oryctes rhinoceros		Scarabaeidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
1580121	Oryzaephilus mercator		Silvanidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
41112	Oryzaephilus surinamensis		Silvanidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
29057	Ostrinia nubilalis		Crambidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
1149918	Oxycarenus hyalinipennis		Oxycarenidae	long_list	sample_acquired		AG100PEST			sample_acquired				AG100PEST	AG100PEST
7077	Palorus ratzeburgii		Tenebrionidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
13191	Pectinophora gossypiella		Gelechiidae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
222432	Peregrinus maidis		Delphacidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
108790	Phymastichus coffea		Eulophidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
437484	Piezodorus guildinii		Pentatomidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
249562	Planococcus ficus		Pseudococcidae	long_list			AG100PEST								
1588147	Plecia nearctica		Bibionidae	long_list	sample_acquired		AG100PEST			sample_acquired				AG100PEST	AG100PEST
58824	Plodia interpunctella		Pyralidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
139605	Prosapia bicincta		Cercopidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
101470	Prostephanus truncatus		Bostrichidae	long_list	sample_acquired		AG100PEST			sample_acquired				AG100PEST	AG100PEST
13234	Pseudococcus maritimus		Pseudococcidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
2494512	Resseliella maxima		Cecidomyiidae	long_list			AG100PEST								
34679	Rhagoletis completa		Tephritidae	long_list			AG100PEST								
34631	Rhipicephalus appendiculatus		Ixodidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
92692	Rhyzopertha dominica		Bostrichidae	long_list	publication_available	10.3390/genes13030446	AG100PEST			published	AG100PEST	AG100PEST	AG100PEST	AG100PEST	AG100PEST
7010	Schistocerca gregaria		Acrididae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
13262	Schizaphis graminum		Aphididae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
143950	Sipha flava		Aphididae	long_list			AG100PEST								
7046	Sitophilus granarius		Curculionidae	long_list			AG100PEST								
7048	Sitophilus oryzae		Curculionidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
7047	Sitophilus zeamais		Curculionidae	long_list			AG100PEST								
347735	Sitotroga cerealella		Gelechiidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
13686	Solenopsis invicta		Formicidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
30203	Solenopsis richteri		Formicidae	long_list			AG100PEST								
7108	Spodoptera frugiperda		Noctuidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
295656	Stegobium paniceum		Anobiidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
35570	Stomoxys calcitrans		Muscidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
2006637	Strauzia longitudinalis		Tephritidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
28614	Strauzia vittigera		Tephritidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
437490	Striacosta albicosta		Noctuidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
7067	Tenebrio molitor		Tenebrionidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
454641	Tetanops myopaeformis		Ulidiidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
256650	Tetropium fuscum		Cerambycidae	long_list			AG100PEST								
44422	Tribolium brevicornis		Tenebrionidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
7070	Tribolium castaneum		Tenebrionidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
7071	Tribolium confusum		Tenebrionidae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
351093	Trichoferus campestris		Cerambycidae	long_list			AG100PEST								
591392	Trogoderma granarium		Dermestidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
1544428	Trogoderma inclusum		Dermestidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
888089	Trogoderma variabile		Dermestidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
879065	Typhaea stercorea		Mycetophagidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
32260	Venturia canescens		Ichneumonidae	long_list	insdc_submitted		AG100PEST			insdc_open	AG100PEST	AG100PEST		AG100PEST	AG100PEST
7445	Vespa crabro		Vespidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
7446	Vespa mandarinia		Vespidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
30213	Vespula pensylvanica		Vespidae	long_list	in_assembly		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
64793	Wasmannia auropunctata		Formicidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
200915	Xanthogaleruca luteola		Chrysomelidae	long_list	data_generation		AG100PEST			in_progress	AG100PEST			AG100PEST	AG100PEST
