Genus	species	taxid	family	long_list	other_priority	family_representative
Agrimonia	eupatoria		Rosaceae	DTOL		
Agrimonia	procera		Rosaceae	DTOL		
Alchemilla	acutiloba		Rosaceae	DTOL		
Alchemilla	alpina		Rosaceae	DTOL		
Alchemilla	glabra		Rosaceae	DTOL		
Alchemilla	glaucescens		Rosaceae	DTOL		
Alchemilla	glomerulans		Rosaceae	DTOL		
Alchemilla	micans		Rosaceae	DTOL		
Alchemilla	minima	1155247	Rosaceae	DTOL		
Alchemilla	monticola		Rosaceae	DTOL		
Alchemilla	subcrenata		Rosaceae	DTOL		
Alchemilla	wichurae		Rosaceae	DTOL		
Alchemilla	xanthochlora		Rosaceae	DTOL		
Amelanchier	lamarckii		Rosaceae	DTOL		
Aphanes	arvensis	57945	Rosaceae	DTOL		
Aphanes	australis		Rosaceae	DTOL		
Comarum	palustre		Rosaceae	DTOL	DTOL	
Cotoneaster	horizontalis		Rosaceae	DTOL		
Cotoneaster	integrifolius	drCotThym	Rosaceae	DTOL		
Cotoneaster	simonsii		Rosaceae	DTOL		
Crataegus	laevigata		Rosaceae	DTOL	DTOL	
Crataegus	monogyna		Rosaceae	DTOL		
Dasiphora	fruticosa		Rosaceae	DTOL		
Dryas	octopetala		Rosaceae	DTOL		
Filipendula	ulmaria		Rosaceae	DTOL	DTOL	DTOL
Filipendula	vulgaris		Rosaceae	DTOL		
Fragaria	vesca		Rosaceae	DTOL		
Geum	rivale		Rosaceae	DTOL	DTOL	
Geum	urbanum		Rosaceae	DTOL	DTOL	
Malus	sylvestris		Rosaceae	DTOL	DTOL	
Mespilus	germanica		Rosaceae	DTOL		
Potentilla	anglica		Rosaceae	DTOL		
Potentilla	anserina		Rosaceae	DTOL	DTOL	
Potentilla	argentea		Rosaceae	DTOL		
Potentilla	crantzii		Rosaceae	DTOL		
Potentilla	erecta		Rosaceae	DTOL	DTOL	
Potentilla	reptans		Rosaceae	DTOL		
Potentilla	rupestris	637895	Rosaceae	DTOL		
Potentilla	sterilis		Rosaceae	DTOL		
Potentilla	verna		Rosaceae	DTOL		
Poterium	sanguisorba	137456	Rosaceae	DTOL		
Prunus	avium		Rosaceae	DTOL		
Prunus	cerasus		Rosaceae	DTOL		
Prunus	domestica		Rosaceae	DTOL		
Prunus	laurocerasus		Rosaceae	DTOL		
Prunus	lusitanica		Rosaceae	DTOL		
Prunus	padus		Rosaceae	DTOL		
Prunus	serotina		Rosaceae	DTOL		
Prunus	spinosa		Rosaceae	DTOL		
Pyrus	communis		Rosaceae	DTOL		
Pyrus	cordata		Rosaceae	DTOL	DTOL	
Rosa	agrestis		Rosaceae	DTOL		
Rosa	arvensis		Rosaceae	DTOL		
Rosa	canina		Rosaceae	DTOL		
Rosa	micrantha		Rosaceae	DTOL		
Rosa	mollis		Rosaceae	DTOL		
Rosa	rubiginosa		Rosaceae	DTOL		
Rosa	rugosa		Rosaceae	DTOL		
Rosa	sherardii		Rosaceae	DTOL		
Rosa	spinosissima		Rosaceae	DTOL		
Rosa	stylosa		Rosaceae	DTOL		
Rosa	tomentella		Rosaceae	DTOL		
Rosa	tomentosa		Rosaceae	DTOL		
Rubus	arcticus		Rosaceae	DTOL		
Rubus	caesius		Rosaceae	DTOL		
Rubus	chamaemorus		Rosaceae	DTOL		
Rubus	fruticosus	211815	Rosaceae	DTOL		
Rubus	idaeus		Rosaceae	DTOL		
Rubus	saxatilis		Rosaceae	DTOL		
Sanguisorba	officinalis		Rosaceae	DTOL		
Sibbaldia	procumbens		Rosaceae	DTOL		
Sorbus	admonitor		Rosaceae	DTOL		
Sorbus	anglica		Rosaceae	DTOL		
Sorbus	aria		Rosaceae	DTOL		
Sorbus	arranensis		Rosaceae	DTOL		
Sorbus	arvonicola		Rosaceae	DTOL		
Sorbus	aucuparia		Rosaceae	DTOL	DTOL	
Sorbus	bristoliensis		Rosaceae	DTOL		
Sorbus	cambrensis		Rosaceae	DTOL		
Sorbus	cheddarensis		Rosaceae	DTOL		
Sorbus	cuneifolia		Rosaceae	DTOL		
Sorbus	devoniensis		Rosaceae	DTOL		
Sorbus	domestica		Rosaceae	DTOL		
Sorbus	eminens		Rosaceae	DTOL		
Sorbus	eminentiformis		Rosaceae	DTOL		
Sorbus	eminentoides		Rosaceae	DTOL		
Sorbus	evansii		Rosaceae	DTOL		
Sorbus	greenii		Rosaceae	DTOL		
Sorbus	herefordensis		Rosaceae	DTOL		
Sorbus	hibernica		Rosaceae	DTOL		
Sorbus	lancastriensis		Rosaceae	DTOL		
Sorbus	leighensis		Rosaceae	DTOL		
Sorbus	leptophylla		Rosaceae	DTOL		
Sorbus	leyana		Rosaceae	DTOL		
Sorbus	margaretae		Rosaceae	DTOL		
Sorbus	minima		Rosaceae	DTOL		
Sorbus	parviloba		Rosaceae	DTOL		
Sorbus	porrigentiformis		Rosaceae	DTOL		
Sorbus	pseudofennica		Rosaceae	DTOL		
Sorbus	pseudomeinichii		Rosaceae	DTOL		
Sorbus	richii		Rosaceae	DTOL		
Sorbus	rupicola		Rosaceae	DTOL		
Sorbus	rupicoloides		Rosaceae	DTOL		
Sorbus	saxicola		Rosaceae	DTOL		
Sorbus	scannelliana		Rosaceae	DTOL		
Sorbus	spectans		Rosaceae	DTOL		
Sorbus	stenophylla		Rosaceae	DTOL		
Sorbus	stirtoniana		Rosaceae	DTOL		
Sorbus	subcuneata		Rosaceae	DTOL		
Sorbus	torminalis		Rosaceae	DTOL		
Sorbus	vexans		Rosaceae	DTOL		
Sorbus	whiteana		Rosaceae	DTOL		
Sorbus	wilmottiana		Rosaceae	DTOL		
Spiraea	douglasii		Rosaceae	DTOL		
Spiraea	salicifolia		Rosaceae	DTOL		
Hippophae	rhamnoides		Elaeagnaceae	DTOL	DTOL	DTOL
Frangula	alnus		Rhamnaceae	DTOL	DTOL	DTOL
Rhamnus	cathartica		Rhamnaceae	DTOL	DTOL	DTOL
Ulmus	glabra		Ulmaceae	DTOL	DTOL	DTOL
Ulmus	minor		Ulmaceae	DTOL	DTOL	DTOL
Ulmus	plotii		Ulmaceae	DTOL	DTOL	
Ulmus	procera		Ulmaceae	DTOL	DTOL	
Humulus	lupulus		Cannabaceae	DTOL	DTOL	DTOL
Parietaria	judaica		Urticaceae	DTOL	DTOL	DTOL
Urtica	dioica		Urticaceae	DTOL	DTOL	
Urtica	urens		Urticaceae	DTOL	DTOL	DTOL
Castanea	sativa		Fagaceae	DTOL		
Fagus	sylvatica		Fagaceae	DTOL	DTOL	DTOL
Quercus	cerris		Fagaceae	DTOL		
Quercus	ilex		Fagaceae	DTOL		
Quercus	petraea		Fagaceae	DTOL	DTOL	DTOL
Quercus	robur		Fagaceae	DTOL		
Myrica	gale		Myricaceae	DTOL	DTOL	DTOL
Juglans	regia		Juglandaceae	DTOL	DTOL	DTOL
Alnus	glutinosa		Betulaceae	DTOL	DTOL	DTOL
Alnus	incana		Betulaceae	DTOL		
Betula	nana		Betulaceae	DTOL	DTOL	DTOL
Betula	pendula		Betulaceae	DTOL		
Betula	pubescens		Betulaceae	DTOL		
Carpinus	betulus		Betulaceae	DTOL		
Corylus	avellana		Betulaceae	DTOL		
Bryonia	dioica		Cucurbitaceae	DTOL	DTOL	DTOL
Euonymus	europaeus		Celastraceae	DTOL	DTOL	DTOL
Parnassia	palustris		Celastraceae	DTOL	DTOL	DTOL
Oxalis	acetosella		Oxalidaceae	DTOL	DTOL	DTOL
Hypericum	androsaemum		Hypericaceae	DTOL		
Hypericum	elodes		Hypericaceae	DTOL		
Hypericum	hirsutum		Hypericaceae	DTOL		
Hypericum	humifusum		Hypericaceae	DTOL		
Hypericum	linariifolium		Hypericaceae	DTOL		
Hypericum	maculatum		Hypericaceae	DTOL		
Hypericum	montanum		Hypericaceae	DTOL		
Hypericum	perforatum		Hypericaceae	DTOL	DTOL	
Hypericum	pulchrum		Hypericaceae	DTOL	DTOL	DTOL
Hypericum	tetrapterum		Hypericaceae	DTOL		
Hypericum	undulatum		Hypericaceae	DTOL		
Elatine	hexandra		Elatinaceae	DTOL		
Elatine	hydropiper		Elatinaceae	DTOL		
Viola	arvensis		Violaceae	DTOL		
Viola	canina		Violaceae	DTOL		
Viola	hirta		Violaceae	DTOL		
Viola	kitaibeliana		Violaceae	DTOL		
Viola	lactea		Violaceae	DTOL		
Viola	lutea		Violaceae	DTOL		
Viola	odorata		Violaceae	DTOL	DTOL	DTOL
Viola	palustris		Violaceae	DTOL		
Viola	reichenbachiana		Violaceae	DTOL		
Viola	riviniana		Violaceae	DTOL	DTOL	
Viola	rupestris		Violaceae	DTOL		
Viola	stagnina		Violaceae	DTOL		
Viola	tricolor		Violaceae	DTOL		
Populus	tremula		Salicaceae	DTOL		
Salix	alba		Salicaceae	DTOL	DTOL	
Salix	arbuscula		Salicaceae	DTOL		
Salix	aurita		Salicaceae	DTOL		
Salix	caprea		Salicaceae	DTOL		
Salix	cinerea		Salicaceae	DTOL		
Salix	euxina		Salicaceae	DTOL		
Salix	herbacea		Salicaceae	DTOL	DTOL	
Salix	lanata		Salicaceae	DTOL	DTOL	DTOL
Salix	lapponum		Salicaceae	DTOL		
Salix	myrsinifolia		Salicaceae	DTOL		
Salix	myrsinites		Salicaceae	DTOL		
Salix	pentandra		Salicaceae	DTOL		
Salix	phylicifolia		Salicaceae	DTOL		
Salix	purpurea		Salicaceae	DTOL		
Salix	repens		Salicaceae	DTOL		
Salix	reticulata		Salicaceae	DTOL		
Salix	triandra		Salicaceae	DTOL		
Salix	viminalis		Salicaceae	DTOL		
Euphorbia	amygdaloides		Euphorbiaceae	DTOL		
Euphorbia	exigua		Euphorbiaceae	DTOL		
Euphorbia	helioscopia		Euphorbiaceae	DTOL		
Euphorbia	lathyris		Euphorbiaceae	DTOL	DTOL	
Euphorbia	paralias		Euphorbiaceae	DTOL		
Euphorbia	peplis		Euphorbiaceae	DTOL		
Euphorbia	peplus		Euphorbiaceae	DTOL	DTOL	DTOL
Euphorbia	platyphyllos		Euphorbiaceae	DTOL		
Euphorbia	portlandica		Euphorbiaceae	DTOL		
Euphorbia	stricta		Euphorbiaceae	DTOL		
Mercurialis	annua		Euphorbiaceae	DTOL	DTOL	DTOL
Mercurialis	perennis		Euphorbiaceae	DTOL		
Linum	bienne		Linaceae	DTOL	DTOL	
Linum	catharticum		Linaceae	DTOL	DTOL	DTOL
Linum	perenne		Linaceae	DTOL		
Linum	radiola	586403	Linaceae	DTOL		
Erodium	aethiopicum	337378	Geraniaceae	DTOL		
Erodium	cicutarium		Geraniaceae	DTOL		
Erodium	maritimum		Geraniaceae	DTOL	DTOL	DTOL
Erodium	moschatum		Geraniaceae	DTOL		
Geranium	columbinum		Geraniaceae	DTOL	DTOL	DTOL
Geranium	dissectum		Geraniaceae	DTOL		
Geranium	lucidum		Geraniaceae	DTOL		
Geranium	molle		Geraniaceae	DTOL		
Geranium	pratense		Geraniaceae	DTOL		
Geranium	purpureum		Geraniaceae	DTOL		
Geranium	pusillum		Geraniaceae	DTOL		
Geranium	robertianum		Geraniaceae	DTOL	DTOL	
Geranium	rotundifolium		Geraniaceae	DTOL		
Geranium	sanguineum		Geraniaceae	DTOL		
Geranium	sylvaticum		Geraniaceae	DTOL		
Lythrum	hyssopifolia		Lythraceae	DTOL		
Lythrum	portula		Lythraceae	DTOL	DTOL	DTOL
Lythrum	salicaria		Lythraceae	DTOL	DTOL	
Chamaenerion	angustifolium		Onagraceae	DTOL	DTOL	DTOL
Circaea	alpina		Onagraceae	DTOL		
Circaea	lutetiana		Onagraceae	DTOL	DTOL	DTOL
Epilobium	alsinifolium		Onagraceae	DTOL		
Epilobium	anagallidifolium		Onagraceae	DTOL		
Epilobium	hirsutum		Onagraceae	DTOL		
Epilobium	lanceolatum		Onagraceae	DTOL		
Epilobium	montanum		Onagraceae	DTOL		
Epilobium	obscurum		Onagraceae	DTOL		
Epilobium	palustre		Onagraceae	DTOL		
Epilobium	parviflorum		Onagraceae	DTOL		
Epilobium	roseum		Onagraceae	DTOL		
Epilobium	tetragonum		Onagraceae	DTOL		
Fuchsia	magellanica		Onagraceae	DTOL		
Ludwigia	grandiflora		Onagraceae	DTOL		
Ludwigia	palustris		Onagraceae	DTOL		
Acer	campestre		Sapindaceae	DTOL	DTOL	DTOL
Acer	pseudoplatanus		Sapindaceae	DTOL		
Aesculus	hippocastanum		Sapindaceae	DTOL	DTOL	
Ailanthus	altissima		Simaroubaceae	DTOL	DTOL	DTOL
Althaea	officinalis		Malvaceae	DTOL		
Malva	arborea		Malvaceae	DTOL		
Malva	moschata		Malvaceae	DTOL	DTOL	DTOL
Malva	neglecta		Malvaceae	DTOL		
Malva	sylvestris		Malvaceae	DTOL		
Tilia	cordata		Malvaceae	DTOL	DTOL	
Tilia	platyphyllos		Malvaceae	DTOL	DTOL	
Daphne	laureola		Thymelaeaceae	DTOL	DTOL	DTOL
Daphne	mezereum		Thymelaeaceae	DTOL	DTOL	DTOL
Helianthemum	apenninum		Cistaceae	DTOL	DTOL	
Helianthemum	nummularium		Cistaceae	DTOL	DTOL	DTOL
Helianthemum	oelandicum		Cistaceae	DTOL		
Tuberaria	guttata		Cistaceae	DTOL	DTOL	
Reseda	lutea		Resedaceae	DTOL	DTOL	
Reseda	luteola		Resedaceae	DTOL	DTOL	DTOL
Alliaria	petiolata		Brassicaceae	DTOL		
Arabidopsis	petraea		Brassicaceae	DTOL		
Arabidopsis	thaliana		Brassicaceae	DTOL	DTOL	
Arabis	alpina		Brassicaceae	DTOL		
Arabis	hirsuta		Brassicaceae	DTOL		
Arabis	scabra		Brassicaceae	DTOL		
Armoracia	rusticana		Brassicaceae	DTOL		
Barbarea	vulgaris		Brassicaceae	DTOL		
Brassica	nigra		Brassicaceae	DTOL		
Brassica	oleracea		Brassicaceae	DTOL	DTOL	DTOL
Brassica	rapa		Brassicaceae	DTOL		
Cakile	maritima		Brassicaceae	DTOL	DTOL	DTOL
Camelina	sativa		Brassicaceae	DTOL		
Capsella	bursa-pastoris		Brassicaceae	DTOL		
Cardamine	amara		Brassicaceae	DTOL		
Cardamine	bulbifera		Brassicaceae	DTOL		
Cardamine	flexuosa		Brassicaceae	DTOL		
Cardamine	hirsuta		Brassicaceae	DTOL		
Cardamine	impatiens		Brassicaceae	DTOL		
Cardamine	pratensis		Brassicaceae	DTOL		
Cardamine	raphanifolia		Brassicaceae	DTOL		
Cochlearia	anglica		Brassicaceae	DTOL		
Cochlearia	danica		Brassicaceae	DTOL		
Cochlearia	micacea		Brassicaceae	DTOL		
Cochlearia	officinalis		Brassicaceae	DTOL		
Cochlearia	pyrenaica		Brassicaceae	DTOL		
Coincya	wrightii		Brassicaceae	DTOL	DTOL	
Crambe	maritima		Brassicaceae	DTOL		
Descurainia	sophia		Brassicaceae	DTOL		
Diplotaxis	tenuifolia		Brassicaceae	DTOL		
Draba	aizoides		Brassicaceae	DTOL		
Draba	incana		Brassicaceae	DTOL		
Draba	norvegica		Brassicaceae	DTOL		
Drabella	muralis		Brassicaceae	DTOL		
Erophila	glabrescens	161951	Brassicaceae	DTOL		
Erophila	majuscula	161951	Brassicaceae	DTOL		
Erophila	verna	161951	Brassicaceae	DTOL		
Erysimum	cheiranthoides		Brassicaceae	DTOL		
Erysimum	cheiri		Brassicaceae	DTOL		
Hornungia	petraea		Brassicaceae	DTOL		
Iberis	amara		Brassicaceae	DTOL		
Isatis	tinctoria		Brassicaceae	DTOL		
Lepidium	campestre		Brassicaceae	DTOL		
Lepidium	coronopus		Brassicaceae	DTOL		
Lepidium	heterophyllum		Brassicaceae	DTOL		
Lepidium	latifolium		Brassicaceae	DTOL		
Lepidium	ruderale		Brassicaceae	DTOL		
Matthiola	sinuata		Brassicaceae	DTOL		
Microthlaspi	perfoliatum		Brassicaceae	DTOL		
Nasturtium	microphyllum		Brassicaceae	DTOL		
