Genus	species	taxid	family	long_list	other_priority	family_representative
Rhizamoeba	saxonica		Flabellulidae	DTOL	DTOL	DTOL
Rosculus	ithacus	1808993	Guttulinopsidae	DTOL	DTOL	DTOL
Amoeba	proteus		Amoebidae	DTOL	DTOL	DTOL
Nolandella	abertawensis	315533	Hartmannellidae	DTOL	DTOL	DTOL
Allovahlkampfia	minuta		Vahlkampfiidae	DTOL	DTOL	DTOL
Amastigomonas	media	529820	Apusomonadidae	DTOL	DTOL	DTOL
Apusomonas	proboscidea		Apusomonadidae	DTOL	DTOL	DTOL
Amastigomonas	oxoniensis	529821	Apusomonadidae	DTOL	DTOL	DTOL
Nutomonas	kenti		Nutomonadidae	DTOL	DTOL	DTOL
Paracercomonas	minima		Cercomonadidae	DTOL	DTOL	DTOL
Cercomonas	longicauda		Cercomonadidae	DTOL	DTOL	DTOL
Paracercomonas	ambulans		Cercomonadidae	DTOL	DTOL	DTOL
Allantion	tachyploon		Allapsidae	DTOL	DTOL	DTOL
Ovulinata	parva		Pseudodifflugiidae	DTOL	DTOL	DTOL
Allas	oxoniensis		Thaumatomonadida	DTOL	DTOL	DTOL
Thaumatomonas	zhukovi		Thaumatomastigidae	DTOL	DTOL	DTOL
Rhogostoma	micra		Rhogostomidae	DTOL	DTOL	DTOL
Rhogostoma	chuessleri	981202	Rhogostomidae	DTOL	DTOL	DTOL
Chaetophora	lobata		Chaetophoraceae	DTOL	DTOL	DTOL
Draparnaldia	mutabilis	1683230	Chaetophoraceae	DTOL	DTOL	DTOL
Draparnaldia	glomerata		Chaetophoraceae	DTOL	DTOL	DTOL
Chaetopeltis	orbicularis		Chaetopeltidaceae	DTOL	DTOL	DTOL
Carteria	incisa		Carteriaceae	DTOL	DTOL	DTOL
Chlorochytrium	lemnae		Chlorochytriaceae	DTOL	DTOL	DTOL
Cylindrocapsa	involuta		Cylindrocapsaceae	DTOL	DTOL	DTOL
Pleurastrum	terricola		Pleurastraceae	DTOL	DTOL	DTOL
Lobochlamys	segnis		Chlamydomonadaceae	DTOL	DTOL	DTOL
Microglena	redcarensis		Chlamydomonadaceae	DTOL	DTOL	DTOL
Polytomella	magna		Chlamydomonadaceae	DTOL	DTOL	DTOL
Chlorococcum	hypnosporum		Chlorococcaceae	DTOL	DTOL	DTOL
Balticola	droebakensis		Haematococcaceae	DTOL	DTOL	DTOL
Gungnir	kasakii		Haematococcaceae	DTOL	DTOL	DTOL
Phacotus	lenticularis		Phacotaceae	DTOL	DTOL	DTOL
Pteromonas	angulosa		Phacotaceae	DTOL	DTOL	DTOL
Pascherina	tetras		Spondylimoraceae	DTOL	DTOL	DTOL
Pandorina	morum		Volvocaceae	DTOL	DTOL	DTOL
Oedogonium	cardiacum		Oedogoniaceae	DTOL	DTOL	DTOL
Dictyochloris	fragrans		Dictyochloridaceae	DTOL	DTOL	DTOL
Dictyococcus	varians		Dictyococcaceae	DTOL	DTOL	DTOL
Pseudopediastrum	boryanum		Hydrodictyaceae	DTOL	DTOL	DTOL
Microspora	amoena		Microsporaceae	DTOL	DTOL	DTOL
Microspora	stagnorum		Microsporaceae	DTOL	DTOL	DTOL
Coenococcus	planctonicus		Radiococcaceae	DTOL	DTOL	DTOL
Coelastrum	microporum		Scenedesmaceae	DTOL	DTOL	DTOL
Coelastrum	proboscideum		Scenedesmaceae	DTOL	DTOL	DTOL
Scotiellopsis	oocystiformis	75804	Scenedesmaceae	DTOL	DTOL	DTOL
Messastrum	gracile		Selenastraceae	DTOL	DTOL	DTOL
Kirchneriella	lunaris		Selenastraceae	DTOL	DTOL	DTOL
Nephrochlamys	subsolitaria		Selenastraceae	DTOL	DTOL	DTOL
Ankyra	judayi		Sphaeropleaceae	DTOL	DTOL	DTOL
Asterococcus	limneticus		Palmellopsidaceae	DTOL	DTOL	DTOL
Paulschulzia	tenera		Tetrasporaceae	DTOL	DTOL	DTOL
Sphaerocystis	schroeteri		Palmellaceae	DTOL	DTOL	DTOL
Klebsormidium	fluitans		Klebsormidiaceae	DTOL	DTOL	DTOL
Mamiella	gilva		Mamiellaceae	DTOL	DTOL	DTOL
Mantoniella	squamata		Mamiellaceae	DTOL	DTOL	DTOL
Nephroselmis	rotunda		Nephroselmidaceae	DTOL	DTOL	DTOL
Neoheteromita	globosa		Sandonidae	DTOL	DTOL	DTOL
Marsupiomonas	pelliculata		Marsupiomonadaceae	DTOL	DTOL	DTOL
Pycnococcus	provasolii		Pycnococcaceae	DTOL	DTOL	DTOL
Pyramimonas	disomata		Pyramimonadaceae	DTOL	DTOL	DTOL
Pyramimonas	urceolata		Pyramimonadophyceae	DTOL	DTOL	DTOL
Mallomonas	papillosa		Mallomonadaceae	DTOL	DTOL	DTOL
Chloroidium	ellipsoideum		Chlorellaceae	DTOL	DTOL	DTOL
Chloroidium	saccharophilum		Chlorellaceae	DTOL	DTOL	DTOL
Marvania	coccoides		Chlorellaceae	DTOL	DTOL	DTOL
Trebouxia	crenulata		Trebouxiaceae	DTOL	DTOL	DTOL
Stichococcus	bacillaris		Prasiolaceae	DTOL	DTOL	DTOL
Koliella	spiculiformis		Koliellaceae	DTOL	DTOL	DTOL
Tetrastrum	staurogeniiforme		Oocystaceae	DTOL	DTOL	DTOL
Codium	adhaerens		Codiaceae	DTOL	DTOL	DTOL
Trentepohlia	aurea		Trentepohliaceae	DTOL	DTOL	DTOL
Hormidiopsis	crenulata		Ulotrichaceae	DTOL	DTOL	DTOL
Chlorocystis	salina		Ultrichaceae	DTOL	DTOL	DTOL
Cryptomonas	marssonii		Cryptomonadaceae	DTOL	DTOL	DTOL
Rhinomonas	reticulata		Pyrenomonadacae	DTOL	DTOL	DTOL
Rhodomonas	baltica		Pyrenomonadacae	DTOL	DTOL	DTOL
Cryptoglena	pigra		Euglenaceae	DTOL	DTOL	DTOL
Monomorphina	aenigmaticus	304863	Euglenaceae	DTOL	DTOL	DTOL
Trachelomonas	volvocina		Euglenaceae	DTOL	DTOL	DTOL
Scytomonas	saepesedens		Peranemataceae	DTOL	DTOL	DTOL
Phacus	pyrum	96784	Phacaceae	DTOL	DTOL	DTOL
Phacus	triqueter		Phacaceae	DTOL	DTOL	DTOL
Astasia	pertyi		Astasiaceae	DTOL	DTOL	DTOL
Distigma	proteus		Astasiaceae	DTOL	DTOL	DTOL
Petalomonas	cantuscygni		Sphenomonadidae	DTOL	DTOL	DTOL
Cyanophora	paradoxa		Cyanophoraceae	DTOL	DTOL	DTOL
Chrysotila	lamellosa		Isochrysidaceae	DTOL	DTOL	DTOL
Ruttnera	maritima		Isochrysidaceae	DTOL	DTOL	DTOL
Prymnesium	parvum		Prymnesiaceae	DTOL	DTOL	DTOL
Coccolithus	braarudii		Coccolithaceae	DTOL	DTOL	DTOL
Pleurochrysis	carterae	13221	Pleurochrysidaceae	DTOL	DTOL	DTOL
Diacronema	lutheri		Pavlovaceae	DTOL	DTOL	DTOL
Rebecca	salina		Pavlovaceae	DTOL	DTOL	DTOL
Euglypha	rotunda		Euglyphidae	DTOL	DTOL	DTOL
Rhodella	maculata	2801	Rhodellaceae	DTOL	DTOL	DTOL
Rhodella	violacea		Rhodellaceae	DTOL	DTOL	DTOL
Ciliophrys	infusionum		Pedinellaceaea	DTOL	DTOL	DTOL
Pseudocharaciopsis	ovalis		Pseudocharaciopsidaceae	DTOL	DTOL	DTOL
Developayella	elegans		Developea	DTOL	DTOL	DTOL
Apodachlya	minima		Leptomitaceae	DTOL	DTOL	DTOL
Apodachlyella	completa		Apodachlyellaceae	DTOL	DTOL	DTOL
Elongisporangium	undulatum	127444	Peronosporaceae	DTOL	DTOL	DTOL
Phytophthora	erythroseptica		Peronosporaceae	DTOL	DTOL	DTOL
Globisporangium	iwayamae		Pythiaceae	DTOL	DTOL	DTOL
Globisporangium	polymastum		Pythiaceae	DTOL	DTOL	DTOL
Globisporangium	rostratum		Pythiaceae	DTOL	DTOL	DTOL
Achlya	radiosa		Saprolegniaceae	DTOL	DTOL	DTOL
Newbya	androgyna	120400	Saprolegniaceae	DTOL	DTOL	DTOL
Newbya	pascuicola		Saprolegniaceae	DTOL	DTOL	DTOL
Nitzschia	epithemoides		Bacillariaceae	DTOL	DTOL	DTOL
Entomoneis	alata		Entomoneidaceae	DTOL	DTOL	DTOL
Stauroneis	stimulans	555749	Stauroneidaceae	DTOL	DTOL	DTOL
Hibberdia	magna		Hibberdiaceae	DTOL	DTOL	DTOL
Chromulina	ochromonoides		Chromulinaceae	DTOL	DTOL	DTOL
Ochromonas	tuberculata		Chromulinaceae	DTOL	DTOL	DTOL
Spumella	elongata		Chromulinaceae	DTOL	DTOL	DTOL
Paraphysomonas	ovalis		Paraphysomonadaceae	DTOL	DTOL	DTOL
Paraphysomonas	acuminata		Paraphysomonadaceae	DTOL	DTOL	DTOL
Bacteriastrum	furcatum		Chaetocerotaceae	DTOL	DTOL	DTOL
Chaetoceros	curvisetus		Chaetocerotaceae	DTOL	DTOL	DTOL
Chaetoceros	debilis		Chaetocerotaceae	DTOL	DTOL	DTOL
Coscinodiscus	radiatus		Coscinodiscacaeae	DTOL	DTOL	DTOL
Coscinodiscus	granii		Coscinodiscacaeae	DTOL	DTOL	DTOL
Aulacoseira	granulata		Aulacoseiraceae	DTOL	DTOL	DTOL
Aulacoseira	ambigua		Aulacoseiraceae	DTOL	DTOL	DTOL
Paralia	sulcata		Paraliaceae	DTOL	DTOL	DTOL
Cyclotella	pseudostelligera		Stephanodiscaceae	DTOL	DTOL	DTOL
Stephanodiscus	hantzschii		Stephanodiscaceae	DTOL	DTOL	DTOL
Thalassiosira	rotula		Thalassiosiraceae	DTOL	DTOL	DTOL
Asterionellopsis	glacialis		Fragilariaceae	DTOL	DTOL	DTOL
Fragilaria	crotonensis		Fragilariaceae	DTOL	DTOL	DTOL
Fragilaria	striatula	33645	Fragilariaceae	DTOL	DTOL	DTOL
Thalassionema	nitzschiodes	33649	Thalassionemataceae	DTOL	DTOL	DTOL
Cymatosira	belgica		Cymatosiraceae	DTOL	DTOL	DTOL
Odentella	mobiliensis	655800	Eupodiscaceae	DTOL	DTOL	DTOL
Odentella	sinensis	1514140	Eupodiscaceae	DTOL	DTOL	DTOL
Trieres	mobiliensis		Tricertatiaceae	DTOL	DTOL	DTOL
Trieres	chinensis		Tricertatiaceae	DTOL	DTOL	DTOL
Nematochrysis	sessilis		Phaeothamniaceae	DTOL	DTOL	DTOL
Heterosigma	akashiwo		Chattonellaceae	DTOL	DTOL	DTOL
Mallomonas	cratis		Mallomonadaceae	DTOL	DTOL	DTOL
Synura	petersenii		Mallomonadaceae	DTOL	DTOL	DTOL
Poterioochromonas	malhamensis		Ochromonadaceae	DTOL	DTOL	DTOL
Botrydiopsis	arhiza		Botrydiopsidaceae	DTOL	DTOL	DTOL
Ophiocytium	majus		Ophiocytiaceae	DTOL	DTOL	DTOL
Bumilleria	sicula		Tribonemataceae	DTOL	DTOL	DTOL
Coleochaete	scutata		Coleochaetaceae	DTOL	DTOL	DTOL
