Subfamily,Tribe,Species,Sample_local," Countries",Haploid_n,Diploid_2n,Karyotype,Notes,Genome_size_pg,Classic_cytogenetic_data,Molecular_cytogenetic_data,References ,Family
Apinae,Bombini,Bombus bimaculatus,Ontario,Canada,18,,,,,,,Owen 1983Owen et al. 1995 ,Apidae
Apinae,Bombini,Bombus borealis,Ontario,Canada,16,32,,,,,,Owen et al. 1995 ,Apidae
Apinae,Bombini,Bombus californicus,Alberta,Canada,19,,,,,,,Owen et al. 1995 ,Apidae
Apinae,Bombini,Bombus citrinus,Ontario,Canada,26,,,as Psithyrus citrinus,,,,Owen et al. 1995 ,Apidae
Apinae,Bombini,Bombus consobrinus,"Fuji, Shizuoka",Japan,19,38,presence of polimorphic chromosomes with different C-banding patterns,as Bombus consobrinus wittenburgi,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Bombini,Bombus cryptarum,Alberta,Canada,18,,,As Bombus (Bombus) moderatus,,,,Owen et al. 1995 ,Apidae
Apinae,Bombini,Bombus deuteronymus,"Fuji, Shizuoka",Japan,23,46,presence of polimorphic chromosomes with different C-banding patterns,as Bombus deuteronymus maruhanabachi,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Bombini,Bombus diversus,"Cape Ochiishi, Hokkaido; Lake Yamanaka, Yamanashi",Japan,18,,k= 2pseudo-acrocentric + 8acrocentric + 8metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Bombini,Bombus ephippiatus,Locality not specified,North America,18,,,,,,,Owen 1983 ,Apidae
Apinae,Bombini,Bombus fervidus,Ontario,Canada,18,36,,,,,,Owen et al. 1995 ,Apidae
Apinae,Bombini,Bombus griseocollis,Ontario,Canada,18,,,,,,,Owen 1983Owen et al. 1995 ,Apidae
Apinae,Bombini,Bombus hypocrita,"Fuji, Shizuoka",Japan,18,,k= 5pseudo-acrocentric + 2acrocentric + 11metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Bombini,Bombus honshuensis,"Lake Yamanaka, Yamanashi",Japan,17,34,k= 3pseudo-acrocentric + 3acrocentric + 11metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Bombini,Bombus huntii,Alberta,Canada,18,,,,,,,Owen et al. 1995 ,Apidae
Apinae,Bombini,Bombus ignitus,"Tsu, Mie; Tochigi Pref",Japan,18,,k= 4pseudo-acrocentric + 3acrocentric + 11metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Bombini,Bombus impatiens,"Guelph, Ontario",Canada,,,,,0.47,,,Ardila-Garcia et al. 2010 ,Apidae
Apinae,Bombini,Bombus impatiens,Locality not specified,,,,,,0.52,,,Hanrahan and Johnston 2011 ,Apidae
Apinae,Bombini,Bombus impatiens,Ontario,Canada,18,,,,,,,Owen 1983Owen et al. 1995 ,Apidae
Apinae,Bombini,Bombus melanopygus,Locality not specified,North America,18,,,,,,,Owen 1983 ,Apidae
Apinae,Bombini,Bombus mixtus,Locality not specified,North America,18,,,,,,,Owen 1983 ,Apidae
Apinae,Bombini,Bombus morio,Locality not specified,,20,,,,,,,Kerr and Silveira 1972 ,Apidae
Apinae,Bombini,Bombus nevadensis,Alberta,Canada,17-18,,,,,,,Owen 1983 ,Apidae
Apinae,Bombini,Bombus occidentalis,Locality not specified,,,,,,0.46,,,Hanrahan and Johnston 2011 ,Apidae
Apinae,Bombini,Bombus occidentalis,Alberta,Canada,18,,,,,,,Owen et al. 1995 ,Apidae
Apinae,Bombini,Bombus pauloensis,Locality not specified,,20,40,,as Bombus (Fervidobombus) atratus,,,,Kerr and Silveira 1972Garfalo and Kerr 1975 ,Apidae
Apinae,Bombini,Bombus pennsylvanicus,Ontario,Canada,,36,,,,,,Owen et al. 1995 ,Apidae
Apinae,Bombini,Bombus perplexus,Ontario,Canada,12,,,,,,,Owen 1983Owen et al. 1995 ,Apidae
Apinae,Bombini,Bombus pseudobaicalensis,"Cape Ochiishi, Hokkaido; Kawakami, Hokkaido",Japan,17,34,k= 3pseudo-acrocentric + 2acrocentric + 12metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Bombini,Bombus rufocinctus,Ontario,Canada,18,,,,,,,Owen 1983Owen et al. 1995 ,Apidae
Apinae,Bombini,Bombus schrencki,"Cape Ochiishi, Hokkaido",Japan,17,34,k= 17metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Bombini,Bombus sitkensis,Locality not specified,North America,18,,,,,,,Owen 1983 ,Apidae
Apinae,Bombini,Bombus ternarius,Locality not specified,North America,18,,,,,,,Owen 1983 ,Apidae
Apinae,Bombini,Bombus terrestris,Tokyo,Japan,18,36,,,,,,Ayabe et al. 2004 ,Apidae
Apinae,Bombini,Bombus terrestris,Basel or Winterthur or Zrich,Switzerland,18,,,,0.42 - 0.64,,,Gadau et al. 2001Wilfert et al. 2006Gregory et al. 2007Stolle et al. 2011 ,Apidae
Apinae,Bombini,Bombus terricola,Ontario,Canada,18,,,,,,,Owen 1983Owen et al. 1995 ,Apidae
Apinae,Bombini,Bombus ussurensis,"Fuji, Shizuoka",Japan,18,,k= 3pseudo-acrocentric + 2acrocentric + 13metacentric,,,C-banding,,Hoshiba and Imai 1993 ,Apidae
Apinae,Bombini,Bombus vagans,Ontario,Canada,18,,,,,,,Owen 1983Owen et al. 1995 ,Apidae
Apinae,Bombini,Bombus vosnesenskii,Locality not specified,North America,18,,,,,,,Owen 1983 ,Apidae
Apinae,Emphorini,Melitoma segmentaria,"Viosa, Minas Gerais",Brazil,15,30,2k= 28pseudo-acrocentric + 2metacentric,,,"C-banding, Ag-NOR",DAPI/CMA3,Cristiano et al. 2014 ,Apidae
Apinae,Eucerini,Melissodes desponsa,"Guelph, Ontario",Canada,,,,,0.52,,,Ardila-Garcia et al. 2010 ,Apidae
Apinae,Eucerini,Melissodes illata,"Guelph, Ontario",Canada,,,,,0.37,,,Ardila-Garcia et al. 2010 ,Apidae
Apinae,Euglossini,Eufriesea violacea,"Viosa, Minas Gerais",Brazil,15,30,2k= 30submetacentric,,,"C-banding, G-banding",,Gomes et al. 1998 ,Apidae
Apinae,Euglossini,Euglossa cordata,"Cataguases, Minas Gerais",Brazil,21,42,2k= 42submetacentric,as Euglossa carolina,,C-banding,DAPI/CMA3,Fernandes et al. 2013a ,Apidae
Apinae,Euglossini,Euglossa cyanaspis,Panama City,Panama,21,,k= 21submetacentric,,,,,Eltz et al. 1997 ,Apidae
Apinae,Euglossini,Euglossa hyacinthina,Province Chiriqui,Panama,20,40,k= 20submetacentric,,,,,Eltz et al. 1997 ,Apidae
Apinae,Euglossini,Euglossasp.,"Viosa, Minas Gerais",Brazil,21,,,,,Ag-NOR,,Maffei et al. 2001 ,Apidae
Apinae,Euglossini,Euglossa townsendi,"Viosa, Minas Gerais",Brazil,21,42,2k= 42submetacentric,,,"C-banding, G-banding",DAPI/CMA3,Fernandes et al. 2013a ,Apidae
Apinae,Exomalopsini,Exomalopsis auropilosa,"Ribeiro Preto, So Paulo",Brazil,9,,,as Exomalopsis (Exomalopsis) aureopilosa,,,,Kerr 1972 ,Apidae
Apinae,Isepeolini,Isepeolus viperinus,"Curitiba, Paran",Brazil,16,,,,,,,Kerr 1972 ,Apidae
Apinae,Meliponini,Austroplebeia australis,Sidney,Australia,,36,,,,,FISH (repetitive probe),Pereira et al. 2020 ,Apidae
Apinae,Meliponini,Camargoia nordestina,"Brejo da Conceio, Piau",Brazil,,34,2k= 22acrocentric + 12pseudo-acrocentric,,,C-banding,,Rocha et al. 2003a ,Apidae
Apinae,Meliponini,Celetrigona longicornis,"Nova Xavantina, Mato Grosso",Brazil,,,,,0.46-0.49,,,Tavares et al. 2012 ,Apidae
Apinae,Meliponini,Cephalotrigona capitata,"Piranga, Minas Gerais",Brazil,,34,2k= 18acrocentric + 16pseudo-acrocentric,,,C-banding,DAPI/CMA3,Rocha et al. 2003a ,Apidae
Apinae,Meliponini,Cephalotrigona femorata,"Urbano Santos, Maranho",Brazil,,34,2k= 34pseudo-acrocentric,,0.55,C-banding,DAPI/CMA3,Tavares et al. 2012Miranda et al. 2013 ,Apidae
Apinae,Meliponini,Cleptotrigona cubiceps,Zango and Luanda,Angola,18,,,as Lestrimelitta cubiceps,,,,Kerr and Araujo 1957 ,Apidae
Apinae,Meliponini,Dactylurina staudingeri,Ilonga,Tanznia,17,,,,,,,Kerr 1972 ,Apidae
Apinae,Meliponini,Duckeola ghiliani,"Manaus, Amazonas",Brazil,15,,,as Frieseomelitta (Duckeola) ghiliani,,,,Kerr 1972 ,Apidae
Apinae,Meliponini,Friesella schrottkyi,"Pedregulho, So Paulo",Brazil,,,,,0.42-0.44,,,Tavares et al. 2012 ,Apidae
Apinae,Meliponini,Frieseomelitta dispar,"Ilhus, Bahia; Jequi, Bahia",Brazil,15,30,2k= 6metacentric + 4acrocentric + 20pseudo-acrocentric,,,C-banding,DAPI/CMA3; FISH (microsatellite probes),Carvalho and Costa 2011Santos et al. 2018 ,Apidae
Apinae,Meliponini,Frieseomelitta doederleini,"Santana do Serid, Rio Grande do Norte",Brazil,,30,2k= 4metacentric + 4acrocentric + 22pseudo-acrocentric,,,C-banding,,Rocha et al. 2003a ,Apidae
Apinae,Meliponini,Frieseomelitta doederleini,"Nova Ibi, Bahia",Brazil,,30,2k = 4metacentric + 4acrocentric + 22pseudo-acrocentric,,,C-banding,DAPI/CMA3; FISH (microsatellite probes),Santos et al. 2018 ,Apidae
Apinae,Meliponini,Frieseomelitta francoi,"Cairu, Bahia; Santa Ins, Bahia",Brazil,15,30,2k= 6metacentric + 4acrocentric + 20pseudo-acrocentric,,,C-banding,DAPI/CMA3; FISH (microsatellite probes),Carvalho and Costa 2011Santos et al. 2018 ,Apidae
Apinae,Meliponini,Frieseomelitta languida,"Divinpolis, Minas Gerais",Brazil,,30,2k= 4metacentric + 4acrocentric + 22pseudo-acrocentric,,,C-banding,,Rocha et al. 2003aRocha et al. 2003a ,Apidae
Apinae,Meliponini,Frieseomelitta meadewaldoi,"Nova Ibi, Bahia",Brazil,,30,2k = 8metacentric + 4acrocentric + 18pseudo-acrocentric,,,C-banding,DAPI/CMA3; FISH (microsatellite probes),Santos et al. 2018Santos et al. 2018 ,Apidae
Apinae,Meliponini,Frieseomelitta sp. n.,"Jequi, Bahia",Brazil,,30,2k = 4metacentric + 4acrocentric + 22pseudo-acrocentric,,0.44,C-banding,DAPI/CMA3; FISH (microsatellite probes),Tavares et al. 2012Santos et al. 2018 ,Apidae
Apinae,Meliponini,Frieseomelitta varia,"Divinpolis, Minas Gerais; Lontra, Minas Gerais; Viosa, Minas Gerais",Brazil,,30,2k= 4metacentric + 4acrocentric + 22pseudo-acrocentric,,,C-banding,"DAPI/CMA3; FISH (microsatellite probes, repetitive probe)",Rocha et al. 2003aSantos et al. 2018Pereira et al. 2020 ,Apidae
Apinae,Meliponini,Frieseomelitta varia,"Ribeiro Preto, So Paulo; Bocaiva, Minas Gerais",Brazil,,,,,0.46-0.48,,,Tavares et al. 2012 ,Apidae
Apinae,Meliponini,Geotrigona mombuca,"Ribeiro Preto, So Paulo",Brazil,15,,k= 2metacentric + 6acrocentric + 7pseudo-acrocentric,,,C-banding,,Rocha et al. 2003a ,Apidae
Apinae,Meliponini,Hypotrigona gribodoi,Luanda; Massinga,Angola; Moambique,14 or 15,,,as Hypotrigona brausi,,,,Kerr 1972Kerr and Silveira 1972 ,Apidae
Apinae,Meliponini,Lestrimelitta limao,"Divinpolis, Minas Gerais",Brazil,,28,2k= 6metacentric + 6acrocentric + 16pseudo-acrocentric,,,C-banding,,Rocha et al. 2003a ,Apidae
Apinae,Meliponini,Lestrimelittasp.,"Domingos Martins, Esprito Santo",Brazil,,28,,,0.463,,,Tavares et al. 2010a ,Apidae
Apinae,Meliponini,Leurotrigona muelleri,"Senador Mouro, Minas Gerais; Cajuru, So Paulo; Itacaj, Tocantins",Brazil,8,16,2k= 14metacentric + 2acrocentric,,,C-banding,,Pompolo and Campos 1995 ,Apidae
Apinae,Meliponini,Leurotrigona muelleri,"Ribeiro Preto, So Paulo",Brazil,,,,,0.31-0.32,,,Tavares et al. 2012 ,Apidae
Apinae,Meliponini,Leurotrigona pusilla,"Manaus, Amazonas",Brazil,,30,2k= 10metacentric + 14submetacentric + 6acrocentric,,,C-banding,,Pompolo and Campos 1995 ,Apidae
Apinae,Meliponini,Melipona asilvai,"Pedra de Maria da Cruz, Minas Gerais; Santana do Serid, Rio Grande do Norte",Brazil,9,18,2k= 6metacentric + 10submetacentric + 2acrocentric,,,"C-banging, Ag-NOR",DAPI/CMA3; FISH (microsatellite probes),Rocha and Pompolo 1998Rocha et al. 2002Rocha et al. 2007Travenzoli et al. 2019a ,Apidae
Apinae,Meliponini,Melipona asilvai,"So Joo do Sabugi, Paraba",Brazil,,,,,0.26-0.29,,,Tavares et al. 2010bTavares et al. 2012 ,Apidae
Apinae,Meliponini,Melipona bicolor,"Cunha, So Paulo; Viosa, Minas Gerais",Brazil,9,18,2k= 6metacentric + 8submetacentric + 4acrocentric,,0.25-0.28,C-banding,"DAPI/CMA3; FISH (C0t-1 probe, microsatellite probes, ribossomal probe)",Rocha and Pompolo 1998Rocha et al. 2002Tavares et al. 2010bTavares et al. 2012Andrade-Souza et al. 2018Travenzoli et al. 2019aCunha et al. 2020 ,Apidae
Apinae,Meliponini,Melipona capixaba,"Venda Nova do Imigrante, Esprito Santo",Brazil,9,18,high heterochromatin content species,,,C-banding,DAPI/CMA3,Rocha and Pompolo 1998Rocha et al. 2002 ,Apidae
Apinae,Meliponini,Melipona capixaba,"Domingos Martins, Esprito Santo",Brazil,,18,high heterochromatin content species,,1.38,,"FISH (microsatellite probes, ribossomal probe)",Tavares et al. 2010bTravenzoli et al. 2019a ,Apidae
Apinae,Meliponini,Melipona captiosa,"Rio Branco, Acre",Brazil,9,18,high heterochromatin content species,,,C-banding,,Rocha and Pompolo 1998 ,Apidae
Apinae,Meliponini,Melipona crinita,"Rio Branco, Acre; Xapuri, Acre",Brazil,9,18,high heterochromatin content species,,0.73,C-banding,DAPI/CMA3; FISH (ribossomal probe),Rocha et al. 2002Tavares et al. 2010bAndrade-Souza et al. 2018 ,Apidae
Apinae,Meliponini,Melipona eburnea,"Xapuri, Acre",Brazil,,,,,1.11,,,Tavares et al. 2010b ,Apidae
Apinae,Meliponini,Melipona fasciculata,"So Luis, Maranho; Urbano Santos, Maranho; Belm, Par; Altamira, Par",Brazil,9,18,high heterochromatin content species,as Melipona compressipes in Rochaetal2002,0.82,C-banding,"DAPI/CMA3; FISH (C0t-1 probe, microsatellite probes, ribossomal probe)",Rocha et al. 2002Lopes et al. 2011Tavares et al. 2012Andrade-Souza et al. 2018Travenzoli et al. 2019aCunha et al. 2020 ,Apidae
Apinae,Meliponini,Melipona fasciculata,"Piripiri, Piau",Brazil,,,,as Melipona compressipes,0.78,,,Tavares et al. 2010b ,Apidae
Apinae,Meliponini,Melipona favosa,Locality not specified,Suriname,9,18,2k= 12metacentric + 4submetacentric + 2acrocentric,Suriname (referred as Surinum),,C-banding,,Hoshiba 1988Hoshiba and Imai 1993 ,Apidae
Apinae,Meliponini,Melipona flavolineata,"Urbano Santos, Maranho; Belm, Par; Capixaba, Acre; Brasilia, Acre; Xapuri, Acre",Brazil,9,18,high heterochromatin content species,,0.98,C-banding,"DAPI/CMA3; FISH (C0t-1 probe, microsatellite probes, ribossomal probe)",Lopes et al. 2011Tavares et al. 2012Andrade-Souza et al. 2018Travenzoli et al. 2019aCunha et al. 2020 ,Apidae
Apinae,Meliponini,Melipona fuliginosa,"Urbano Santos, Maranho",Brazil,9,18,high heterochromatin content species,,,C-banding,DAPI/CMA3; FISH (microsatellite probes),Lopes et al. 2011Travenzoli et al. 2019a ,Apidae
Apinae,Meliponini,Melipona fulva,"Presidente Figueiredo, Amazonas",Brazil,,18,high heterochromatin content species,,,,FISH (C0t-1 probe),Cunha et al. 2020 ,Apidae
Apinae,Meliponini,Melipona fuscopilosa,"Rio Branco, Acre; Xapuri, Acre",Brazil,9,18,high heterochromatin content species,,1.1,C-banding,DAPI/CMA3; FISH (ribossomal probe),Rocha and Pompolo 1998Rocha et al. 2002Tavares et al. 2010bAndrade-Souza et al. 2018 ,Apidae
Apinae,Meliponini,Melipona grandis,"Xapuri, Acre",Brazil,,18,high heterochromatin content species,,0.95,,DAPI/CMA3; FISH (ribossomal probe),Tavares et al. 2010bAndrade-Souza et al. 2018 ,Apidae
Apinae,Meliponini,Melipona interrupta,"Manaus, Amazonas",Brazil,9,,,as Melipona compressipes manaosensis,,,,Kerr 1972 ,Apidae
Apinae,Meliponini,Melipona interrupta,"Iranduba, Amazona; Itacoatiara, Amazonas",Brazil,,18,high heterochromatin content species,,,C-banding,"DAPI/CMA3; FISH (C0t-1 probe, microsatellite probes, ribossomal probe)",Travenzoli et al. 2019bCunha et al. 2020 ,Apidae
Apinae,Meliponini,Melipona lateralis,"Presidente Figueiredo, Amazonas",Brazil,11,22,high heterochromatin content species,,,,FISH (C0t-1 probe),Cunha et al. 2020 ,Apidae
Apinae,Meliponini,Melipona nebulosa,"Xapuri, Acre",Brazil,,18,high heterochromatin content species,,,,DAPI/CMA3; FISH (ribossomal probe),Andrade-Souza et al. 2018 ,Apidae
Apinae,Meliponini,Melipona mandacaia,"Irec, Bahia; Uau, Bahia",Brazil,9,18,2k= 2metacentric + 14submetacentric + 2acrocentric; 2k= 4metacentric + 12submetacentric + 2acrocentric,,0.33-0.35,C-banding,DAPI/CMA3,Rocha et al. 2003bTavares et al. 2010bTavares et al. 2012 ,Apidae
Apinae,Meliponini,Melipona marginata,"Caet, Minas Gerais; Viosa, Minas Gerais",Brazil,9,18,,,,"C-banding, Ag-NOR",DAPI/CMA3,Rocha and Pompolo 1998Maffei et al. 2001Rocha et al. 2002 ,Apidae
Apinae,Meliponini,Melipona marginata,"Cunha, So Paulo",Brazil,,,,,0.28,,,Tavares et al. 2010b ,Apidae
Apinae,Meliponini,Melipona mondury,"Diogo Vasconcelos, Minas Gerais; Itamarandiba, Minas Gerais; Rio Vermelho, Minas Gerias; Viosa, Minas Gerais; Rio Bonito, Rio de Janeiro",Brazil,9,18,high heterochromatin content species,,0.94-0.95,C-banding,"DAPI/CMA3; FISH (C0t-1 probe, microsatellite probes, ribossomal probe, repetitive probe)",Lopes et al. 2008Lopes et al. 2009Tavares et al. 2012Andrade-Souza et al. 2018Travenzoli et al. 2019aPereira et al. 2020Cunha et al. 2020 ,Apidae
Apinae,Meliponini,Melipona paraensis,"Altamira, Par",Brazil,9,18,high heterochromatin content species,,,C-banding,"DAPI/CMA3; FISH (C0t-1 probe, microsatellite probes, ribossomal probe)",Cunha et al. 2018Travenzoli et al. 2019aCunha et al. 2020 ,Apidae
Apinae,Meliponini,Melipona puncticollis,"Altamira, Par",Brazil,9,18,2k= 4metacentric + 12submetacentric + 2acrocentric,,,C-banding,"DAPI/CMA3; FISH (C0t-1 probe, microsatellite probes, ribossomal probe)",Cunha et al. 2018Travenzoli et al. 2019aCunha et al. 2020 ,Apidae
Apinae,Meliponini,Melipona quadrifasciata,"Pocinhos do Rio Verde, Minas Gerais; Santana de Parnaiba, So Paulo",Brazil,9,18,,as Melipona quadrifasciata anthidioides,,G-banding,,Kerr 1972Tambasco et al. 1979 ,Apidae
Apinae,Meliponini,Melipona quadrifasciata,"Caet, Minas Gerais; Viosa, Minas Gerais; Brejo Grande, Sergipe",Brazil,9,18,2k= 4metacentric + 12submetacentric + 2acrocentric,,0.25-0.27,C-banding,"DAPI/CMA3; FISH (C0t-1 probe, microsatellite probes, ribossomal probe)",Rocha and Pompolo 1998Rocha et al. 2002Tavares et al. 2010bSilva et al. 2012Tavares et al. 2012Andrade-Souza et al. 2018Travenzoli et al. 2019aCunha et al. 2020 ,Apidae
Apinae,Meliponini,Melipona quinquefasciata,"Cear; Cristalina, Gois; Luizlndia, Gois; Braslia, Distrito Federal; Bicas, Minas Gerais; Januria, Minas Gerais; Caet, Minas Gerais",Brazil,9,18,2k= 10metacentric + 6submetacentric + 2acrocentric,up to 4 B chromosomes have been described,0.67-0.70,C-banding,"DAPI/CMA3; FISH (C0t-1 probe, microsatellite probes, ribossomal probe)",Kerr 1972Rocha et al. 2007Tavares et al. 2010bTavares et al. 2012Silva et al. 2018Travenzoli et al. 2019aCunha et al. 2020 ,Apidae
Apinae,Meliponini,Melipona rufiventris,"Guimarnia, Minas Gerais",Brazil,9,18,high heterochromatin content species,1 B chromosome has been described,0.93,C-banding,"DAPI/CMA3; FISH (C0t-1 probe, microsatellite probes, chromosome painting)",Lopes et al. 2008Lopes et al. 2009Lopes et al. 2014Travenzoli et al. 2019aCunha et al. 2020 ,Apidae
Apinae,Meliponini,Melipona scutellaris,"Ilhus, Bahia; Lenis, Bahia; Rio Claro, So Paulo",Brazil,9,18,high heterochromatin content species,,,C-banding,"DAPI/CMA3; FISH (C0t-1 probe, ribossomal probe, U2 snDNA probe, microsatellite probes)",Rocha and Pompolo 1998Rocha et al. 2002Andrade-Souza et al. 2018Piccoli et al. 2018Travenzoli et al. 2019a ,Apidae
Apinae,Meliponini,Melipona scutellaris,"Piles, Paraba",Brazil,,,,,1.08,,,Tavares et al. 2010b ,Apidae
Apinae,Meliponini,Melipona seminigra,"Rio Branco, Acre",Brazil,,22,high heterochromatin content species,as Melipona seminigra abunensis,,,DAPI/CMA3; FISH (ribossomal probe),Andrade-Souza et al. 2018 ,Apidae
Apinae,Meliponini,Melipona seminigra,"Nova Xavantina, Mato Grosso",Brazil,,,,,0.85,,,Tavares et al. 2010b ,Apidae
Apinae,Meliponini,Melipona seminigra,"Iranduba, Amazonas; Manaus, Amazonas",Brazil,11,22,high heterochromatin content species,as Melipona seminigra merrillae,,C-banding,FISH (C0t-1 probe),Francini et al. 2011Cunha et al. 2018Cunha et al. 2020 ,Apidae
Apinae,Meliponini,Melipona seminigra,"Altamira, Par; Santarm, Par",Brazil,11,22,high heterochromatin content species,as Melipona seminigra pernigra,,C-banding,"DAPI/CMA3; FISH (microsatellite probes, ribossomal probe)",Cunha et al. 2018Andrade-Souza et al. 2018Travenzoli et al. 2019a ,Apidae
Apinae,Meliponini,Melipona subnitida,"Mossoro, Rio Grande do Norte; Santana do Serid, Rio Grande do Norte",Brazil,9,18,2k= 4metacentric + 10submetacentric + 4acrocentric,,0.27,C-banding,"DAPI/CMA3; FISH (microsatellite probes, ribossomal probe)",Kerr 1972Rocha et al. 2002Tavares et al. 2010bTravenzoli et al. 2019a ,Apidae
Apinae,Meliponini,Meliponula becarii,Massinga,Moambique,17,,,as Meliplebeia becarii,,,,Kerr 1972 ,Apidae
Apinae,Meliponini,Meliponula bocandei,Dande and Luanda,Angola,18,,,as Trigona (Meliponula) bocandei,,,,Kerr and Araujo 1957 ,Apidae
Apinae,Meliponini,Meliponula ferruginea,Zango and Luanda,Angola,18,s,s,as Trigona erithra togoensis,,,,Kerr and Araujo 1957 ,Apidae
Apinae,Meliponini,Mourella caerulea,"Cangu, Rio Grande do Sul",Brazil,17,34,k= 11acrocentric + 6pseudo-acrocentric,,,C-banding,,Rocha et al. 2003a ,Apidae
Apinae,Meliponini,Nannotrigona testaceicornis,"Viosa, Minas Gerais; Januria, Minas Gerais",Brazil,17,34,presence of polimorphic chromosomes with different C-banding patterns,,0.49-0.53,C-banding,DAPI/CMA3; FISH (repetitive probe),Hoshiba and Imai 1993Rocha et al. 2003aTavares et al. 2012Pereira et al. 2020 ,Apidae
Apinae,Meliponini,Nannotrigonasp.,"Porto Seguro, Bahia",Brazil,,34,2k= 20acrocentric + 14pseudo-acrocentric,,,C-banding,DAPI/CMA3,Rocha et al. 2003a ,Apidae
Apinae,Meliponini,Nannotrigonasp.,"Xapuri, Acre",Brazil,,,,,0.45,,,Tavares et al. 2012 ,Apidae
Apinae,Meliponini,Oxytrigona flaveola,"Tangar da Serra, Mato Grosso",Brazil,,34,2k= 8metacentric + 8submetacentric + 16subtelocentric + 2acrocentric,as Oxytrigona cf. flaveola,,,DAPI/CMA3,Krinski et al. 2010 ,Apidae
Apinae,Meliponini,Oxytrigona tataira,"Presidente Venceslau, So Paulo",Brazil,17,,,,,,,Kerr 1972 ,Apidae
Apinae,Meliponini,Parapartamona brevipilosa,"Baeza and Cosanga, Napo",Ecuador,,32,all metacentric or submetacentric,,,,,Bravo and Arcos 1991 ,Apidae
