institute	id_number	project	higher_group	family	genus	species	standard	buffer	mean1	mean2	cv1	cv2	ratio	ave_sample	ave_standard	gs_pg_2c_replicate	gs_pg_2c	gs_pg_1c	x1c_gbp	cv_sample	cv_standard	sd_r_sample	stdv_gs	measured_by	date	d_to_l_specimen_id	previous_estimate_2c_prime	comments_on_d_to_l_sample	x30	x32	primary
Offsite	MC9032	DTOL	Angiosperm	Solanaceae	Solanum	dulcamara	<Petro	GPB3%PVPBmet	324.08	593.98	2.7	2.16	1.833	331.84	603.8	NA	2.47	1.24	1.21	2.62	2.08	0.013	NA	Sahr Mian	9/1/2020	KDTOL10035	1.6 (1983) 2.20 (2013)* 2.30 (1984) 2.30 (2012)	NA	NA	NA	1
Offsite	MC9033	DTOL	Angiosperm	Fabaceae	Vicia	cracca	>Pisum	GPB3%PVPBmet	353.07	685.22	2.39	2.67	3.002	692.65	357.46	NA	17.61	8.81	8.61	2.38	2.12	0.016	NA	Sahr Mian	13/8/2020	KDTOL10036	5.84 (2013)* 10.60 (1971)* 14.40 (1983)	NA	NA	NA	1
Offsite	MC9034	DTOL	Angiosperm	Lamiaceae	Stachys	palustris	<Petro	GPB3%PVPBmet	320.94	411.00	2.68	2.12	1.852	328.09	419.44	NA	3.52	1.76	1.72	2.6	2.02	0.018	NA	Sahr Mian	13/8/2020	KDTOL10037	no previous estimate	NA	NA	NA	1
Offsite	MC9035	DTOL	Angiosperm	Cannabaceae	Humulus	lupulus	<Pisum	GPB3%PVPBmet	267.07	419.74	2.61	2.24	1.572	278.2	431.32	NA	5.86	2.93	2.87	2.74	2.29	0.019	NA	Sahr Mian	9/1/2020	KDTOL10038	5.8 (2005)	Sanger - low DNA yield	NA	NA	1
Offsite	MC9036	DTOL	Angiosperm	Polygonaceae	Rumex	hydrolapathum	>Pisum	GPB3%PVPBmet	212.72	373.88	2.69	2.81	1.758	393.84	286.29	NA	12.5	6.25	6.11	2.84	2.53	0.018	NA	Sahr Mian	9/1/2020	KDTOL10039	no previous estimate	NA	NA	NA	1
Offsite	MC9037	DTOL	Angiosperm	Rosaceae	Filipendula	ulmaria	<Solanum	OXPRO	237.63	602.63	3.88	2.09	1.539	247.82	619.01	NA	0.8	0.4	0.39	3.88	2.46	0.013	NA	Sahr Mian	14/8/2020	KDTOL10040	no previous estimate	NA	NA	NA	1
Offsite	MC9038	DTOL	Angiosperm	Betulaceae	Alnus	glutinosa	<Solanum	OXPRO	355.11	629.76	3.16	2	1.539	364.68	639.61	NA	1.14	0.57	0.56	2.22	3.12	0.013	NA	Sahr Mian	14/8/2020	KDTOL10041	1.01 (2016)* 1.10 (1984)* 2.01 (2010)	NA	NA	NA	1
RBGE	ZAG1888	DTOL	Angiosperm	Ranunculaceae	Trollius	europaeus	>Petro	GPB3%PVPBmet	287.25	638.09	2.45	2.37	2.221	655.34	295.9	NA	9.97	4.98	4.87	1.98	1.94	0.006	NA	Sahr Mian	8/11/2020	NA	8.83 (2005)*	NA	NA	NA	1
RBGE	ZAG1892	DTOL	Angiosperm	Ericaceae	Calluna	vulgaris	<Solanum	GPB3%PVPBmet	239.35	382.18	4.26	2.84	1.597	244.96	387.98	NA	1.26	0.63	0.62	4.38	2.99	0.012	NA	Sahr Mian	8/11/2020	NA	no previous estimate	NA	NA	NA	1
RBGE	ZAG1880	DTOL	Angiosperm	Cistaceae	Helianthemum	nummularium	<Pisum	GPB3%PVPBmet	420.43	587.11	2.25	1.75	1.396	426.5	597.46	NA	6.49	3.24	NA	2.17	1.79	0.005	NA	Sahr Mian	8/11/2020	NA	4.5 (1989)* 1.78, 6.30 (2013)	NA	NA	NA	1
RBGE	ZAG1881	DTOL	Angiosperm	Saxifragaceae	Saxifraga	oppositifolia	<Petro	GPB3%PVPBmet	318.09	458.92	3.72	2.62	1.443	332.56	475.16	NA	3.15	1.57	1.54	4.3	2.95	0.017	NA	Sahr Mian	8/11/2020	NA	2.93 (2013)*	tough sample to work with limited material available	NA	NA	1
RBGE	ZAG1873	DTOL	Angiosperm	Elaeagnaceae	Hippophae	rhamnoides	<Petro	GPB3%PVPBmet	295.16	449.69	3.81	2.03	1.531	307.64	463.53	NA	2.99	1.49	1.46	3.87	2.25	0.022	NA	Sahr Mian	8/11/2020	NA	no previous estimate	NA	NA	NA	1
RBGE	ZAG1874	DTOL	Angiosperm	Caryophyllaceae	Dianthus	deltoides	<Solanum	GPB3%PVPBmet	215.52	447.26	2.33	3.15	2.075	222.07	457.95	NA	0.97	0.48	0.47	2.34	3.11	0.013	NA	Sahr Mian	8/11/2020	NA	no previous estimate	G2 sample peak overlap with standard	NA	NA	1
RBGE	ZAG1879	DTOL	Angiosperm	Oxalidaceae	Oxalis	acetosella	<Pisum	GPB3%PVPBmet	349.94	559.55	2.81	1.92	1.599	355.11	565.03	NA	5.71	2.86	2.79	2.79	1.74	0.009	NA	Sahr Mian	8/11/2020	NA	5.31 (2013)* 5.7 (2005) 6.2 (2012) 2.4 (1979)	NA	NA	NA	1
RBGE	ZAG1883	DTOL	Angiosperm	Poaceae	Danthonia	decumbens	<Pisum	GPB3%PVPBmet	279.96	559.98	2.7	1.65	2.001	287.02	568.04	NA	4.59	2.3	2.25	2.68	1.6	0.021	NA	Sahr Mian	8/11/2020	NA	3.95 (2014)* 5.90 (1989)	NA	NA	NA	1
RBGE	ZAG1877	DTOL	Angiosperm	Iridaceae	Iris	pseudacorus	>Pisum	GPB3%PVPBmet	395.93	531.99	1.88	2.51	1.344	535.5	400.67	NA	12.15	6.07	5.94	2.33	2.01	0.010	NA	Sahr Mian	8/12/2020	NA	11.33 (2010)* 11.04 (2013) 12.80 (1988) 11.20 (2005)	NA	NA	NA	1
RBGE	ZAG1882	DTOL	Angiosperm	Plumbaginaceae	Armeria	maritima	>Petro	GPB3%PVPBmet	197.47	410.85	2.79	2.01	2.221	416.77	202.83	NA	9.25	4.62	4.52	2.53	2.81	0.006	NA	Sahr Mian	8/12/2020	NA	8.55 (1993)* 8.20 (1996) 9.10 (1996)	Few nuclei in leaves, ran whole specimen	NA	NA	1
RBGE	ZAG1884	DTOL	Angiosperm	Fabaceae	Lotus	corniculatus	<Petro	GPB3%PVPBmet	391.69	652.65	2.59	1.76	1.666	403.27	665.93	NA	2.73	1.36	1.33	2.65	1.79	0.013	NA	Sahr Mian	8/12/2020	NA	1.64 (2013)* 2.37 (2013)* 2.6 (2012)	NA	NA	NA	1
RBGE	ZAG1885	DTOL	Angiosperm	Poaceae	Briza	media	<Pisum	GPB3%PVPBmet	383.63	521.56	1.75	1.74	1.36	390.66	528.96	NA	6.71	3.36	3.28	1.69	1.6	0.006	NA	Sahr Mian	8/12/2020	NA	15.10 10.40 (1983)* , Kew previous estimate 6.7	NA	NA	NA	1
RBGE	ZAG1889	DTOL	Angiosperm	Salicaceae	Salix	lanata	<Solanum	GPB3%PVPBmet	244.03	545.49	3.91	2.26	2.075	251.4	558.42	NA	0.9	0.45	0.44	3.82	2.33	0.013	NA	Sahr Mian	8/12/2020	NA	no previous estimate	recollect in spring	NA	NA	1
RBGE	ZAG1891	DTOL	Angiosperm	Betulaceae	Betula	nana	<Solanum	GPB3%PVPBmet	261.62	484.63	4.6	2.59	2.075	273.88	503.95	NA	1.09	0.54	0.53	4.38	2.67	0.013	NA	Sahr Mian	8/12/2020	NA	0.92 (2012) 1.00 (2016)	recollect in spring	NA	NA	1
RBGE	ZAG1886	DTOL	Gymnosperm	Cupressaceae	Juniperus	communis	<Allium	GPB3%PVPBmet	337.31	522.13	3.21	2.74	2.027	343.35	533.57	NA	22.45	11.23	10.98	3.27	2.11	0.017	NA	Sahr Mian	8/12/2020	NA	19.67 (2010)* 22.90 (2012) , 22.97 previous kew measurement	ran with GPB, LB and Ebihara	NA	NA	1
RBGE	ZAG1875	DTOL	Monilophyte	Dennstaedtiaceae	Pteridium	aquilinum	>Pisum	GPB3%PVPBmet	254.25	472.83	1.91	3.77	1.344	498.88	263.66	NA	17.2	8.6	8.41	3.41	2.36	0.010	NA	Sahr Mian	13/8/2020	NA	14.82 (2013)* 15.26 (2012)	Tried with GPB, Ebihara and oxpro	NA	NA	1
RBGE	ZAG1890	DTOL	Monilophyte	Blechnaceae	Blechnum	spicant	>Pisum	GPB3%PVPBmet	375.87	621.26	2.04	3.49	1.344	645.88	388.48	NA	15.11	7.56	7.39	3.34	2.36	0.010	NA	Sahr Mian	13/8/2020	NA	12.87 (2013)*	Tried with ebihara, GPB and LB	NA	NA	1
RBGE	ZAG1887	DTOL	Lycophyte	Lycopodiaceae	Lycopodium	clavatum	<Pisum	OXPRO	327.38	513.05	3.12	1.71	1.567	339.82	527.65	NA	5.85	2.93	2.86	3.12	1.59	0.021	NA	Sahr Mian	13/8/2020	NA	5.72  (2002)*	Tried with ebihara, GPB and LB	NA	NA	1
RBGE	ZAG1878	DTOL	Angiosperm	Myricaceae	Myrica	gale	<Oryza	OXPRO	353.60	587.26	4.33	3.99	2.442	376.01	617.27	NA	0.61	0.3	0.3	3.82	3.48	0.023	NA	Sahr Mian	13/8/2020	NA	0.84 (2001)* 3.4 (2012)	Tried with ebihara, GPB and LB	prev estimate 0.84 (messy sample)	NA	1
RBGE	ZAG1876	DTOL	Gymnosperm	Pinaceae	Pinus	sylvestris	>Allium	OXPRO	464.84	620.27	2.86	2.19	5.395	620.21	465.21	NA	46.51	23.26	22.75	2.21	2.64	0.019	NA	Sahr Mian	13/8/2020	NA	45.96 (2008)* 46.40 (2001), 46.08 previous kew estimate	NA	NA	NA	1
Offsite	MC9039	DTOL	Angiosperm	Asteraceae	Pulicaria	dysenterica	<Petro	GPB3%PVPBmet	193.67	401.77	3.05	2.83	2.074	199.94	410.62	NA	2.19	1.1	1.07	3.02	2.73	0.019	NA	Sahr Mian	9/1/2020	KDTOL10042	1.97 (2013)*	Sanger - low DNA yield	NA	NA	1
Offsite	MC9040	DTOL	Angiosperm	Rosaceae	Potentilla	anserina	<Petro	GPB3%PVPBmet	211.52	860.27	2.6	2.03	4.067	215.99	869.88	NA	1.12	0.56	0.55	2.56	1.57	0.041	NA	Sahr Mian	9/1/2020	KDTOL10043	no previous estimate	Sanger - low DNA yield	NA	NA	1
Offsite	MC9041	DTOL	Angiosperm	Brassicaceae	Arabidopsis	thaliana	<Solanum	GPB3%PVPBmet	133.49	765.30	4.56	2.21	5.733	141.43	788.15	NA	0.36	0.18	0.18	4.32	1.85	0.152	NA	Sahr Mian	24/08/2020	KDTOL10045	0.32 (2002)*	Endopolyploidy - multiple peaks	NA	NA	1
Offsite	MC9042	DTOL	Angiosperm	Asteraceae	Chamaemelum	nobile	>Petro	GPB3%PVPBmet	225.24	496.68	2.34	2.39	2.205	507.81	231.83	NA	9.86	4.93	4.82	2.38	2.35	0.014	NA	Sahr Mian	24/08/2020	KDTOL10046	10.70 (1984)*	NA	NA	NA	1
Offsite	MC9043	DTOL	Angiosperm	Plantaginaceae	Chaenorhinum	minus	<Solanum	OXPRO	201.50	443.90	3.37	2.43	2.203	215.91	474.11	NA	0.91	0.46	0.45	3.41	2.66	0.018	NA	Sahr Mian	9/1/2020	KDTOL10047	no previous estimate	Difficult sample, ran multiple individuals, all fresh, tried all buffers, prev estimate 0.57	NA	NA	1
Offsite	MC9045	DTOL	Angiosperm	Dioscoreaceae	Dioscorea	communis	<Petro	Ebihara	299.09	582.07	5.03	3.23	1.946	309.16	527.32	NA	2.64	1.32	1.29	4.67	3.17	0.420	NA	Sahr Mian	24/08/2020	KDTOL10049	1.66 (2014)*	Really messy sample, few nuclei. Ran sample to 500 in each run, G2 peak overalap with standard. Female measured	NA	NA	1
Offsite	MC9046	DTOL	Monilophyte	Equisetaceae	Equisetum	telmateia	<Allium	GPB3%PVPBmet	326.98	403.93	3.78	3.05	1.235	351.85	426.41	NA	28.79	14.39	14.08	3.79	2.86	0.021	NA	Sahr Mian	24/8/2020	KDTOL10050	no previous estimate	NA	NA	NA	1
Offsite	MC9047	DTOL	Angiosperm	Polygonaceae	Reynoutria	japonica	>Petro	GPB3%PVPBmet	285.73	642.83	2.96	3.2	2.25	659.52	298.89	NA	9.93	4.96	4.86	3.12	3.12	0.047	NA	Sahr Mian	24/08/2020	KDTOL10051	1.55 (2013)*	potential hexaploid?	NA	NA	1
Offsite	MC9048	DTOL	Angiosperm	Brassicaceae	Cakile	maritima	<Petro	GPB3%PVPBmet	234.72	626.30	2.98	2	2.668	247.85	643.29	NA	1.73	0.87	0.85	2.99	1.75	0.071	NA	Sahr Mian	24/08/2020	KDTOL10052	1.36 (2009)*	Sanger - low DNA yield	NA	NA	1
Offsite	MC9049	DTOL	Angiosperm	Caryophyllaceae	Honckenya	peploides	>Petro	GPB3%PVPBmet	284.24	532.21	2.13	2.56	1.872	538.11	288.34	NA	8.4	4.2	4.11	2.28	2.04	0.006	NA	Sahr Mian	24/08/2020	KDTOL10053	8.66 (2009)*	Sanger - low DNA yield	NA	NA	1
Offsite	M9050	DTOL	Angiosperm	Apiaceae	Crithmum	maritimum	<Pisum	GPB3%PVPBmet	324.97	583.21	2.97	2.32	1.795	329.28	586.25	NA	5.11	2.55	2.5	2.9	2.16	0.016	NA	Sahr Mian	24/08/2020	KDTOL10054	4.83 (2008)* 4.59 (2010)	Sanger - low DNA yield	NA	NA	1
Offsite	MC9051	DTOL	Angiosperm	Euphorbiaceae	Mercurialis	annua	<Petro	OXPRO	189.80	622.50	3.66	2.74	3.28	192.62	613.08	NA	1.41	0.71	0.69	3.97	2.68	0.093	NA	Sahr Mian	28/08/2020	KDTOL10055	1.33, 2.60 (2006)*	All buffers tried, messy sample, FEMALE PLANT MEASURED	NA	NA	1
Offsite	MC9053	DTOL	Angiosperm	Adoxaceae	Sambucus	nigra	<Allium	GPB3%PVPBmet	326.84	417.58	2.19	2.81	1.278	334.23	425.79	NA	27.39	13.69	13.39	2.41	2.85	0.004	NA	Sahr Mian	28/08/2020	KDTOL10057	26.36 (2013)* 30.5 (1983)	NA	NA	NA	1
Offsite	MC9054	DTOL	Angiosperm	Apiaceae	Daucus	carota	<Solanum	GPB3%PVPBmet	247.71	442.85	3.14	2.68	2.203	255.07	451.83	NA	1.13	0.56	0.55	2.86	2.59	0.018	NA	Sahr Mian	28/08/2020	KDTOL10058	0.94 (2016)* 1.19 (1993)	Sanger - low DNA yield	NA	NA	1
Offsite	MC9055	DTOL	Angiosperm	Rosaceae	Geum	urbanum	<Petro	GPB3%PVPBmet	283.62	395.49	3.2	2.53	1.394	301.3	412.69	NA	3.29	1.64	1.61	3.06	2.62	0.022	NA	Sahr Mian	28/08/2020	KDTOL10059	3.01 (2012)* 3.23 (2013)	Sanger - low DNA yield	NA	NA	1
Offsite	MC9056	DTOL	Angiosperm	Polygonaceae	Rumex	sanguineus	<Petro	OXPRO	198.72	518.06	3.97	2.72	2.607	214.05	545.71	NA	1.77	0.88	0.86	3.38	2.62	0.053	NA	Sahr Mian	28/08/2020	KDTOL10060	no previous estimate	All buffers tried	Sanger - low DNA yield	NA	1
Offsite	MC9057	DTOL	Angiosperm	Urticaceae	Parietaria	judaica	<Solanum	GPB3%PVPBmet	307.74	404.02	3.6	2.66	1.313	329.55	429.54	NA	1.53	0.77	0.75	3.07	2.55	0.012	NA	Sahr Mian	28/08/2020	KDTOL10061	no previous estimate	NA	NA	NA	1
Offsite	MC9058	DTOL	Angiosperm	Fabaceae	Onobrychis	viciifolia	<Petro	GPB3%PVPBmet	298.18	462.13	3.17	2.09	1.55	310.11	478.98	NA	2.91	1.46	1.42	3	1.9	0.008	NA	Sahr Mian	27/08/2020	KDTOL10062	2.5 (2012)* 2.63 (2013)	Sanger - low DNA yield	NA	NA	1
Offsite	MC9061	DTOL	Angiosperm	Asteraceae	Bellis	perennis	>Solanum	GPB3%PVPBmet	311.85	558.46	2.93	2.39	1.791	571.18	321	NA	3.56	1.78	1.74	2.64	2.9	0.011	NA	Sahr Mian	28/08/2020	KDTOL10065	3.15 (2013)*  3.9 (1984)	NA	NA	NA	1
Offsite	MC9062	DTOL	Angiosperm	Plantaginaceae	Plantago	lanceolata	<Petro	GPB3%PVPBmet	319.19	494.99	2.14	2.08	1.551	330	508.2	NA	2.92	1.46	1.43	2.1	2	0.011	NA	Sahr Mian	28/08/2020	KDTOL10066	2.9 (2012)*	Sanger - low DNA yield	NA	NA	1
