family	genus	species	merged_genus_species	number_chromosomes	min_k	reference	ncbi_taxon_code	name	preferred_name_at_ncbi	taxid
Geometridae	Colostygia	olivata	Colostygia olivata	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Colostygia olivata	NA	934930
Geometridae	Colostygia	pectinataria	Colostygia pectinataria	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Colostygia pectinataria	NA	934931
Geometridae	Dysstroma	citrata	Dysstroma citrata	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Dysstroma citrata	NA	572746
Geometridae	Dysstroma	latefasciata	Dysstroma latefasciata	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Dysstroma latefasciata	NA	2250315
Geometridae	Dysstroma	truncata	Dysstroma truncata	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Dysstroma truncata	NA	685363
Geometridae	Epirrhoe	alternata	Epirrhoe alternata	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Epirrhoe alternata	NA	190347
Geometridae	Epirrhoe	galiata	Epirrhoe galiata	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Epirrhoe galiata	NA	934835
Geometridae	Euphyia	unangulata	Euphyia unangulata	28	28	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Euphyia unangulata	NA	216870
Geometridae	Hydrelia	flammeolaria	Hydrelia flammeolaria	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Hydrelia flammeolaria	NA	326955
Geometridae	Hydriomena	furcata	Hydriomena furcata	28	28	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Hydriomena furcata	NA	104460
Geometridae	Hydriomena	ruberata	Hydriomena ruberata	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Hydriomena ruberata	NA	934870
Geometridae	Lambdina	fiscellaria	Lambdina fiscellaria	38	38	Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.	1	Lambdina fiscellaria	NA	84293
Geometridae	Lampropteryx	minna	Lampropteryx minna	17	17	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Lampropteryx minna	NA	989162
Geometridae	Lampropteryx	suffumata	Lampropteryx suffumata	32	32	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Lampropteryx suffumata	NA	934945
Geometridae	Lycia	hirtaria	Lycia hirtaria	14	14	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Lycia hirtaria	NA	326963
Geometridae	Nepytia	canosaria	Nepytia canosaria	61	61	Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.	1	Nepytia canosaria	NA	689141
Geometridae	Opisthograptis	luteolata	Opisthograptis luteolata	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Opisthograptis luteolata	NA	934882
Geometridae	Ourapteryx	sambucaria	Ourapteryx sambucaria	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Ourapteryx sambucaria	NA	934883
Geometridae	Pelurga	comitata	Pelurga comitata	32	32	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Pelurga comitata	NA	997283
Geometridae	Perizoma	hydrata	Perizoma hydrata	25	25	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Perizoma hydrata	NA	1101031
Geometridae	Plagodis	alcoolaria	Plagodis alcoolaria	31	31	Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.	1	Plagodis alcoolaria	NA	690198
Geometridae	Selenia	bilunaria	Selenia bilunaria	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Selenia bilunaria	NA	1178154
Geometridae	Selenia	tetralunaria	Selenia tetralunaria	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Selenia tetralunaria	NA	934895
Geometridae	Thera	cognata	Thera cognata	20	20	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Thera cognata	NA	987014
Geometridae	Thera	firmata	Thera firmata	19	19	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Thera firmata	NA	326957
Geometridae	Thera	juniperata	Thera juniperata	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Thera juniperata	NA	689108
Geometridae	Thera	obeliscata	Thera obeliscata	13	13	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Thera obeliscata	NA	934896
Geometridae	Thera	variata	Thera variata	13	13	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Thera variata	NA	934897
Geometridae	Xanthorhoe	fluctuata	Xanthorhoe fluctuata	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Xanthorhoe fluctuata	NA	934902
Geometridae	Xanthorhoe	montanata	Xanthorhoe montanata	28-30	28	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Xanthorhoe montanata	NA	934903
Geometridae	Xanthorhoe	quadrifasciata	Xanthorhoe quadrifasciata	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Xanthorhoe quadrifasciata	NA	873510
Geometridae	Xanthorhoe	spadicearia	Xanthorhoe spadicearia	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Xanthorhoe spadicearia	NA	934904
Hesperidae	Achlyodes	pallida	Achlyodes pallida	15	15	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Achlyodes pallida	NA	354750
Hesperidae	Aegiale	hesperiaris	Aegiale hesperiaris	24	24	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Aegiale hesperiaris	NA	2716873
Hesperidae	Amblyscirtes	aenus	Amblyscirtes aenus	28-29	28	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	3	Amblyscirtes aenus	NA	NA
Hesperidae	Amblyscirtes	celia	Amblyscirtes celia	29	29	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Amblyscirtes celia	NA	2680092
Hesperidae	Amblyscirtes	phylace	Amblyscirtes phylace	29	29	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	3	Amblyscirtes phylace	NA	NA
Hesperidae	Amblyscirtes	texanae	Amblyscirtes texanae	29	29	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	3	Amblyscirtes texanae	NA	NA
Hesperidae	Amblyscirtes	vialis	Amblyscirtes vialis	29	29	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Amblyscirtes vialis	NA	1666443
Hesperidae	Antigonus	erosus	Antigonus erosus	31	31	Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37.	1	Antigonus erosus	NA	354771
Hesperidae	Antigonus	liborius	Antigonus liborius	31	31	Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37.	1	Antigonus liborius	NA	2049062
Hesperidae	Arotis	derasa	Arotis derasa	28	28	Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37.	3	Arotis derasa	NA	NA
Hesperidae	Asbolis	capucinus	Asbolis capucinus	48	48	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Asbolis capucinus	NA	2025669
Hesperidae	Astraptes	naxos	Astraptes naxos	31	31	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Astraptes naxos	NA	2201499
Hesperidae	Astraptes	phalaecus	Astraptes phalaecus	25	25	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Astraptes phalaecus	NA	354795
Hesperidae	Carcharodus	alceae	Carcharodus alceae	31	31	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Carcharodus alceae	NA	509358
Hesperidae	Chioides	albofasciatus	Chioides albofasciatus	31	31	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Chioides albofasciatus	NA	2201523
Hesperidae	Chioides	catillus	Chioides catillus	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Chioides catillus	NA	354849
Hesperidae	Choaspes	benjaminii	Choaspes benjaminii	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Choaspes benjaminii	NA	218724
Hesperidae	Coeliades	ramanatek	Coeliades ramanatek	31	31	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Coeliades ramanatek	NA	676894
Hesperidae	Copaeodes	minima	Copaeodes minima	29	29	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	3	Copaeodes minima	NA	NA
Hesperidae	Daimio	tethys	Daimio tethys	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Daimio tethys	NA	76233
Hesperidae	Ebrietas	anacreon	Ebrietas anacreon	31	31	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Ebrietas anacreon	NA	354918
Hesperidae	Ebrietas	osyris	Ebrietas osyris	31	31	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Ebrietas osyris	NA	705138
Hesperidae	Ebusus	ebusus	Ebusus ebusus	29	29	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Ebusus ebusus	NA	722374
Hesperidae	Elbella	lamprus	Elbella lamprus	40	40	Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37.	1	Elbella lamprus	NA	2049104
Hesperidae	Epargyreus	barisses	Epargyreus barisses	31	31	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	3	Epargyreus barisses	NA	NA
Hesperidae	Epargyreus	clarus	Epargyreus clarus	31	31	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Epargyreus clarus	NA	520877
Hesperidae	Erynnis	baptisiae	Erynnis baptisiae	31	31	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	3	Erynnis baptisiae	NA	NA
Hesperidae	Erynnis	funeralis	Erynnis funeralis	31	31	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Erynnis funeralis	NA	520879
Hesperidae	Erynnis	horatius	Erynnis horatius	31	31	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Erynnis horatius	NA	509305
Hesperidae	Erynnis	icelus	Erynnis icelus	30	30	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Erynnis icelus	NA	520880
Hesperidae	Erynnis	juvenalis	Erynnis juvenalis	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Erynnis juvenalis	NA	1720676
Hesperidae	Erynnis	marloyi	Erynnis marloyi	31	31	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	3	Erynnis marloyi	NA	NA
Hesperidae	Erynnis	montanus	Erynnis montanus	31	31	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Erynnis montanus	NA	76213
Hesperidae	Erynnis	persius	Erynnis persius	31	31	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Erynnis persius	NA	520883
Hesperidae	Erynnis	tages	Erynnis tages	31	31	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Erynnis tages	NA	520884
Hesperidae	Gegenes	nostrodamus	Gegenes nostrodamus	15	15	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Gegenes nostrodamus	NA	1107782
Hesperidae	Gegenes	pumilio	Gegenes pumilio	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Gegenes pumilio	NA	1476599
Hesperidae	Gesta	gesta	Gesta gesta	32	32	Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37.	1	Gesta gesta	NA	354944
Hesperidae	Grais	stigmaticus	Grais stigmaticus	31	31	Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37.	1	Grais stigmaticus	NA	354951
Hesperidae	Heliopetes	arsalte	Heliopetes arsalte	30	30	Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37.	1	Heliopetes arsalte	NA	705167
Hesperidae	Heliopetes	laviana	Heliopetes laviana	29	29	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Heliopetes laviana	NA	705168
Hesperidae	Heliopetes	macaira	Heliopetes macaira	29	29	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Heliopetes macaira	NA	2201557
Hesperidae	Heliopetes	omrina	Heliopetes omrina	30	30	Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37.	1	Heliopetes omrina	NA	2049127
Hesperidae	Heliopyrgus	americanus	Heliopyrgus americanus	30	30	Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37.	1	Heliopyrgus americanus	NA	2049128
Hesperidae	Hesperia	comma	Hesperia comma	28	28	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Hesperia comma	NA	291688
Hesperidae	Hesperia	florinda	Hesperia florinda	28	28	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Hesperia florinda	NA	218735
Hesperidae	Hesperopsis	alpheus	Hesperopsis alpheus	34	34	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Hesperopsis alpheus	NA	1706389
Hesperidae	Hylephila	phyleus	Hylephila phyleus	29	29	Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37.	1	Hylephila phyleus	NA	40095
Hesperidae	Hylephila	signata	Hylephila signata	29	29	Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37.	3	Hylephila signata	NA	NA
Hesperidae	Lerema	accius	Lerema accius	29	29	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Lerema accius	NA	691651
Hesperidae	Lychnuchus	celsus	Lychnuchus celsus	30	30	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	3	Lychnuchus celsus	NA	NA
Hesperidae	Mimoniades	montana	Mimoniades montana	27	27	Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37.	1	Mimoniades montana	NA	1908732
Hesperidae	Mimoniades	nurscia	Mimoniades nurscia	28	28	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Mimoniades nurscia	NA	2585881
Hesperidae	Mimoniades	versicolor	Mimoniades versicolor	28	28	Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37.	1	Mimoniades versicolor	NA	2585887
Hesperidae	Muschampia	nomas	Muschampia nomas	30	30	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Muschampia nomas	NA	2705513
Hesperidae	Muschampia	proteides	Muschampia proteides	30	30	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Muschampia proteides	NA	2705517
Hesperidae	Nastra	lherminier	Nastra lherminier	30	30	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Nastra lherminier	NA	2680722
Hesperidae	Ochlodes	ochracea	Ochlodes ochracea	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Ochlodes ochracea	NA	218745
Hesperidae	Ochlodes	sylvanoides	Ochlodes sylvanoides	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Ochlodes sylvanoides	NA	328867
Hesperidae	Ochlodes	venata	Ochlodes venata	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Ochlodes venata	NA	797160
Hesperidae	Oechydrus	chersis	Oechydrus chersis	31	31	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Oechydrus chersis	NA	2201581
Hesperidae	Paches	loxus	Paches loxus	31	31	Saura, A., Von Schuoltz, B., Saura, A., Brown, K. (2013) Chromosome evolution in Neotropical butterflies. Hereditas, 150: 26-37.	1	Paches loxus	NA	355038
Hesperidae	Panoquina	hecebolus	Panoquina hecebolus	29	29	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Panoquina hecebolus	NA	509313
Hesperidae	Panoquina	ocola	Panoquina ocola	29	29	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Panoquina ocola	NA	509314
Hesperidae	Panoquina	panoquin	Panoquina panoquin	29	29	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Panoquina panoquin	NA	2680776
Hesperidae	Panoquina	panoquinoides	Panoquina panoquinoides	29	29	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	3	Panoquina panoquinoides	NA	NA
Hesperidae	Pardaleodes	incerta	Pardaleodes incerta	17	17	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	3	Pardaleodes incerta	NA	NA
Hesperidae	Parnara	guttata	Parnara guttata	16	16	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Parnara guttata	NA	218706
Hesperidae	Pelopidas	conjuncta	Pelopidas conjuncta	16	16	Maeki, K. & Ae, S.A. (1968). A chromosomal study of seventeen species of butterflies from Hong Kong (Lepidopetera, Rhopalocera). Kontyu 36: 65–74.	1	Pelopidas conjuncta	NA	1368089
Hesperidae	Pelopidas	jansonis	Pelopidas jansonis	16	16	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Pelopidas jansonis	NA	218749
Hesperidae	Pelopidas	thrax	Pelopidas thrax	16	16	Lukhtanov, V. (2014). Chromosome number evolution in skippers (Lepidoptera, Hesperiidae). Comp Cytogenet 8: 275–291.	1	Pelopidas thrax	NA	509316
Hesperidae	Pholisora	catullus	Pholisora catullus	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	1	Pholisora catullus	NA	509453
