PHYLUM	ORDER	GENUS	SPECIES	METHOD	1C in pg	1C in Mbp	x	FGSDID	SPECIMEN ID
Ascomycota	Helotiales	Claussenomyces sp.		Fl-PC	0.023	22.80	1-2	2375	MARSON 4387
Ascomycota	Helotiales	Claussenomyces sp.		Fl-PC	0.024	23.56	1-2	2377	MARSON 4407
Ascomycota	Helotiales	Claussenomyces sp.		Fl-PC	0.025	24.51	1-2	2376	MARSON 4405
Ascomycota	Helotiales	Claussenomyces sp.		Fl-PC	0.026	25.27	1	2380	REG (Weber 536)
Ascomycota	Helotiales	Claussenomyces sp.		Fl-PC	0.033	32.68	2	2384	BARAL 4179 (Weber 673)
Ascomycota	Helotiales	Coleosperma sp.		Fl-PC	0.065	63.46	4?	2165	BARAL 4234 (Weber 701)
Ascomycota	Helotiales	Crumenulopsis sp.		Fl-PC	0.052	51.30	3	2412	BARAL 4221 (Weber 702)
Ascomycota	Helotiales	Crumenulopsis sp.		Fl-PC	0.055	53.77	3	2413	BARAL 4140 (Weber 648)
Ascomycota	Helotiales	Diplonaevia sp.		Fl-PC	0.095	92.91	6	2170	BARAL 3822 (Weber 349)
Ascomycota	Helotiales	Eupropolella sp.		Fl-PC	0.036	34.96	2	2071	BARAL 4212 (Weber 692)
Ascomycota	Helotiales	Hymenoscyphus sp.		Fl-PC	0.047	46.36	3	2490	REG (Weber 603)
Ascomycota	Helotiales	Hymenoscyphus sp.		Fl-PC	0.048	47.31	3	2493	REG (Weber 360)
Ascomycota	Helotiales	Incrupilella sp.		Fl-PC	0.074	72.58	4	2228	REG (Weber 471)
Ascomycota	Helotiales	Lachnum sp.		Fl-PC	0.055	53.77	3	2253	BARAL 4206 (Weber 690)
Ascomycota	Helotiales	Lachnum sp.		Fl-PC	0.090	87.97	5-6?	2256	REG (Weber 301)
Ascomycota	Helotiales	Lasiobelonium sp.		Fl-PC	0.035	34.20	2	2264	BARAL 4094 (Weber 632)
Ascomycota	Helotiales	Moellerodiscus sp.		Fl-PC	0.049	48.07	3	2567	REG (Weber 13)
Ascomycota	Helotiales	Moellerodiscus sp.		Fl-PC	0.052	51.30	3	2568	REG (Weber 18)
Ascomycota	Helotiales	Mollisia sp.		Fl-PC	0.036	34.96	2	2120	BARAL 3794 (Weber 357)
Ascomycota	Helotiales	Mollisia sp.		Fl-PC	0.039	38.38	2	2121	BARAL 4059 (Weber 515)
Ascomycota	Helotiales	Mollisia sp.		Fl-PC	0.040	39.14	2	2078	REG (Weber 343)
Ascomycota	Helotiales	Mollisia sp.		Fl-PC	0.048	47.31	3	2122	BARAL 3760 (Weber 329)
Ascomycota	Helotiales	Mollisia sp.		Fl-PC	0.049	48.07	3	2089	REG (Weber 583)
Ascomycota	Helotiales	Mollisia sp.		Fl-PC	0.067	65.93	4	2100	REG (Weber 491), BARAL 3982
Ascomycota	Helotiales	Mollisia sp.		Fl-PC	0.072	70.11	4	2108	BARAL 4039 (Weber 575)
Ascomycota	Helotiales	Mollisia sp.		Fl-PC	0.082	79.80	4	2112	REG (Weber 361)
Ascomycota	Helotiales	Mollisia sp.		Fl-PC	0.083	80.75	4	2113	REG (Weber 309)
Ascomycota	Helotiales	Mollisia sp.		Fl-PC	0.099	96.90	6	2117	REG (Weber 285)
Ascomycota	Helotiales	Mollisia sp.		Fl-PC	0.109	106.78	6	2119	BARAL 3828 (Weber 401)
Ascomycota	Helotiales	Olla sp.		Fl-PC	0.043	41.61	2	2323	BARAL 3973 (Weber 483)
Ascomycota	Helotiales	Ombrophila sp.		Fl-PC	0.057	55.48	3	2401	REG (Weber 391)
Ascomycota	Helotiales	Ombrophila sp.		Fl-PC	0.067	65.17	4	2403	REG (Weber 224)
Ascomycota	Helotiales	Pezoloma sp.		Fl-PC	0.048	47.31	3	2404	REG (Weber 346)
Ascomycota	Helotiales	Pezoloma sp.		Fl-PC	0.052	50.54	3	2405	BARAL 3762 (Weber 328)
Ascomycota	Helotiales	Pirottaea sp.		Fl-PC	0.099	96.90	6	2143	BARAL 4081 (Weber 634)
Ascomycota	Helotiales	Psilocistella sp.		Fl-PC	0.077	74.86	4	2295	BARAL 3921 (Weber 455)
Ascomycota	Helotiales	Pyrenopeziza sp.		Fl-PC	0.039	38.38	2	2144	BARAL 4044 (Weber 556)
Ascomycota	Helotiales	Pyrenopeziza sp.		Fl-PC	0.052	51.30	3	2146	REG (Weber 376)
Ascomycota	Helotiales	Pyrenopeziza sp.		Fl-PC	0.094	92.15	6	2152	BARAL 4037 (Weber 552)
Ascomycota	Helotiales	Pyrenopeziza sp.		Fl-PC	0.129	126.35	8	2159	REG (Weber 564)
Ascomycota	Helotiales	Rutstroemia sp.		Fl-PC	0.056	54.53	3	2573	REG (Weber 679)
Ascomycota	Helotiales	Tympanis sp.		Fl-PC	0.026	25.27	1-2	2407	REG (Weber 217)
Ascomycota	Helotiales	Unguiculella sp.		Fl-PC	0.054	53.01	3	2332	BARAL 3978 (Weber 477)
Ascomycota	Helotiales	Vibrissea sp.		Fl-PC	0.037	36.67	2	2135	REG (Weber 619)
Ascomycota	Incertae sedis	Myriogonium sp.		Fl-PC	0.015	14.63	1	2390	BARAL 4153 (Weber 650)
Ascomycota	Incertae sedis	Myriogonium sp.		Fl-PC	0.017	17.10	1	2391	MARSON 4404
Ascomycota	Pezizales	Fimaria sp.		Fl-PC	0.049	48.07	3	2664	REG (Weber 192)
Ascomycota	Pezizales	Fimaria sp.		Fl-PC	0.052	51.30	3	2665	REG (Weber 186)
Ascomycota	Pezizales	Neottiella		DAPI-IC	0.035	34.20		6014	TAAM192257
Ascomycota	Pezizales	Neottiella		DAPI-IC	0.037	36.10		5806	TAAM 62474
Ascomycota	Pezizales	Octospora		DAPI-IC	0.019	19.00		5808	TAAM 118199
Ascomycota	Pleosporales	Stagonospora		CS	0.037	36.08		5386	SRC1lsM3a v1.0
Basidiomycota	Agaricales	Crepidotus		CS	0.072	70.26		5700	BD-2015
Basidiomycota	Agaricales	Termitomyces		CS	0.069	67.30		5701	J132
Basidiomycota	Agaricales	Termitomyces		CS	0.094	91.82		5688	JCM 13351
Basidiomycota	Atractiellales		sp.	CS	0.000	0.00		5945	
Basidiomycota	Pucciniales	Puccinia			0.069	67.00		4787	
Basidiomycota	Pucciniales	Puccinia			0.157	154.00		4788	
Chytridiomycota	Neocallimastigales	Piromyces sp.		CS	0.031	30.00		4008	Piromyces sp. E2
Chytridiomycota	Neocallimastigales	Piromyces sp.		CS	0.073	71.02		5335	E2 v1.0
Ascomycota	Helotiales	Arachnopeziza	aranea cf.	Fl-PC	0.033	32.68	2	2215	BARAL 4205
Ascomycota	Helotiales	Belonopsis	asteroma	Fl-PC	0.069	67.64	4	2102	REG
Ascomycota	Helotiales	Belonopsis	guestphalicum cf.	Fl-PC	0.077	74.86	4	2125	BARAL 3825
Ascomycota	Helotiales	Belonopsis	lacustris cf.	Fl-PC	0.063	61.94	4?	2123	BARAL 4212
Ascomycota	Helotiales	Bisporella	scolochloae	Fl-PC	0.034	33.44	2	2452	REG
Ascomycota	Helotiales	Bryoscyphus	marchantiae cf.	Fl-PC	0.098	96.14	6	2534	BARAL 3811
Ascomycota	Helotiales	Cadophora	sp	CS	0.072	70.46		5260	DSE1049 v1.0
Ascomycota	Helotiales	Calycellina	lutea	Fl-PC	0.075	73.34	4	2339	BARAL 4188
Ascomycota	Helotiales	Calycina	discreta	Fl-PC	0.038	37.43	2	2347	BARAL 3581
Ascomycota	Helotiales	Calycina	parilis	Fl-PC	0.037	36.67	2	2344	REG
Ascomycota	Helotiales	Capitotricha	fagiseda	Fl-PC	0.037	36.67	2	2206	REG
Ascomycota	Helotiales	Ciboria	coryli	Fl-PC	0.076	74.10	4	2561	BARAL 3991
Ascomycota	Helotiales	Ciboria	dumbirensis	Fl-PC	0.054	53.01	3	2372	REG
Ascomycota	Helotiales	Cistella	acuum agg.	Fl-PC	0.038	37.43	2	2278	BARAL 4198 (Weber 528)
Ascomycota	Helotiales	Cistella	acuum agg.	Fl-PC	0.038	37.43	2	2277	REG (Weber 373)
Ascomycota	Helotiales	Cistella	hymeniophila	Fl-PC	0.037	35.91	2	2225	M (Weber 554M)
Ascomycota	Helotiales	Cistella	hymeniophila	Fl-PC	0.038	37.43	2	2226	REG (Weber 567)
Ascomycota	Helotiales	Cistella	hymeniophila	Fl-PC	0.053	52.06	3	2227	CBS 602.77
Ascomycota	Helotiales	Claussenomyces	hydnicola cf.	Fl-PC	0.034	33.44	2	2385	MARSON 4367
Ascomycota	Helotiales	Claussenomyces	luteoviridis cf.	Fl-PC	0.027	26.03	1-2	2381	REG
Ascomycota	Helotiales	Coleosperma	lacustre cf.	Fl-PC	0.078	76.57	4	2166	BARAL 4211
Ascomycota	Helotiales	Conchatium	fraxinophilum	Fl-PC	0.071	69.16	4	2476	REG
Ascomycota	Helotiales	Coronellaria	benkertii	Fl-PC	0.057	55.48	3	2164	BARAL 4138
Ascomycota	Helotiales	Dasyscyphella	angustipila	Fl-PC	0.071	69.16	4	2259	REG
Ascomycota	Helotiales	Dasyscyphus	aconiti	Fl-PC	0.033	32.68	2	2275	REG
Ascomycota	Helotiales	Dasyscyphus	mughonicola	Fl-PC	0.055	53.77	3	2258	BARAL 4207
Ascomycota	Helotiales	Dermea	prunastri ss. Holm	Fl-PC	0.052	51.30	3	2067	BARAL 3724
Ascomycota	Helotiales	Dermea	pseudotsugae	Fl-PC	0.031	30.21	2	2065	BARAL 4102
Ascomycota	Helotiales	Diplonaevia	emergens	Fl-PC	0.048	47.31	3	2169	REG
Ascomycota	Helotiales	Diplonaevia	glacialis	Fl-PC	0.035	34.20	2	2168	BARAL 4137
Ascomycota	Helotiales	Drepanopeziza	verrucispora	Fl-PC	0.037	36.67	2	2175	BARAL 4438
Ascomycota	Helotiales	Durandiella	gallica	Fl-PC	0.023	22.04	1-2	2386	REG (Weber 139)
Ascomycota	Helotiales	Durandiella	gallica	Fl-PC	0.024	23.56	1-2	2387	BARAL 4148 (Weber 563)
Ascomycota	Helotiales	Durella	macrospora cf.	Fl-PC	0.045	44.08	2-3	2439	REG (Weber 264)
Ascomycota	Helotiales	Grovesiella	abieticola cf.	Fl-PC	0.075	73.34	4	2428	BARAL 4054
Ascomycota	Helotiales	Helotium	phiala cf.	Fl-PC	0.032	30.97	2	2453	REG (Weber 110)
Ascomycota	Helotiales	Helotium	phiala cf.	Fl-PC	0.037	35.91	2	2455	REG (Weber 114)
Ascomycota	Helotiales	Helotium	phiala cf.	Fl-PC	0.037	35.91	2	2454	REG (Weber 246)
Ascomycota	Helotiales	Hyalacrotes	hamulata	Fl-PC	0.045	44.08	2-3	2329	BARAL 4196
Ascomycota	Helotiales	Hymenoscyphus	calyculus cf.	Fl-PC	0.050	48.83	3	2500	REG (Weber 661)
Ascomycota	Helotiales	Hymenoscyphus	carpinicola	Fl-PC	0.054	53.01	3	2506	REG (Weber 103)
Ascomycota	Helotiales	Hymenoscyphus	carpinicola	Fl-PC	0.055	53.77	3	2507	REG (Weber 243)
Ascomycota	Helotiales	Hymenoscyphus	consobrinus	Fl-PC	0.047	46.36	3	2489	REG
Ascomycota	Helotiales	Hymenoscyphus	equisetinus	Fl-PC	0.036	34.96	2	2395	REG
Ascomycota	Helotiales	Hymenoscyphus	herbarum cf.	Fl-PC	0.036	34.96	2	2343	BARAL 3582 REG (Weber 15)
Ascomycota	Helotiales	Hymenoscyphus	imberbis cf.	Fl-PC	0.032	31.73	2	2484	REG (Weber 625)
Ascomycota	Helotiales	Hymenoscyphus	salmanovicensis	Fl-PC	0.035	34.20	2	2072	REG
Ascomycota	Helotiales	Hymenoscyphus	sazavae cf.	Fl-PC	0.064	62.70	4	2529	REG (Weber 112)
Ascomycota	Helotiales	Hymenoscyphus	sazavae cf.	Fl-PC	0.077	74.86	4	2530	REG (Weber 240)
Ascomycota	Helotiales	Hymenoscyphus	sazavae cf.	Fl-PC	0.081	79.04	4	2532	REG (Weber 127)
Ascomycota	Helotiales	Hymenoscyphus	sazavae cf.	Fl-PC	0.083	81.51	4	2531	REG (Weber 120)
Ascomycota	Helotiales	Hysteropezizella	fuscella agg.	Fl-PC	0.019	18.81	1	2172	BARAL 4120
Ascomycota	Helotiales	Incrupila	viridipilosa	Fl-PC	0.017	17.10	1	2220	BARAL 4013
Ascomycota	Helotiales	Incrupilella	flexipila	Fl-PC	0.017	17.10	1	2222	BARAL 4045 (Weber 568)
Ascomycota	Helotiales	Incrupilella	flexipila	Fl-PC	0.017	17.10	1	2221	BARAL 3972 (Weber 481)
Ascomycota	Helotiales	Lachnum	elatius cf.	Fl-PC	0.036	34.96	2	2243	REG
Ascomycota	Helotiales	Lachnum	microsporum	Fl-PC	0.036	34.96	2	2244	REG
Ascomycota	Helotiales	Lachnum	palearum	Fl-PC	0.033	32.68	2	2229	BARAL 3734 (Weber 12)
Ascomycota	Helotiales	Lachnum	pudicellum	Fl-PC	0.036	34.96	2	2242	REG
Ascomycota	Helotiales	Lachnum	tenue	Fl-PC	0.036	34.96	2	2241	REG
Ascomycota	Helotiales	Lachnum	tenuipilosum cf.	Fl-PC	0.047	46.36	3?	2250	no herbarium specimen
Ascomycota	Helotiales	Lasiobelonium	mollissimum	Fl-PC	0.035	34.20	2.0	2268	BARAL 4078 (Weber 621)
Ascomycota	Helotiales	Lasiobelonium	mollissimum cf.	Fl-PC	0.032	31.73	2	2270	REG (Weber 550)
Ascomycota	Helotiales	Lasiobelonium	mollissimum cf.	Fl-PC	0.032	31.73	2	2269	BARAL 3522 (Weber 2)
Ascomycota	Helotiales	Lasiobelonium	mollissimum cf.	Fl-PC	0.033	32.68	2	2271	BARAL 3520 (Weber 4)
Ascomycota	Helotiales	Lasiobelonium	nazarovae cf.	Fl-PC	0.033	32.68	2	2263	BARAL 4111
Ascomycota	Helotiales	Lasiobelonium	nidulum cf.	Fl-PC	0.038	37.43	2	2273	BARAL 4058 (Weber 510)
Ascomycota	Helotiales	Microscypha	monticola	Fl-PC	0.048	47.31	3	2145	BARAL 4142
Ascomycota	Helotiales	Mollisia	aquosa cf.	Fl-PC	0.072	70.11	4	2147	BARAL 3984
Ascomycota	Helotiales	Mollisia	cinerea cf.	Fl-PC	0.047	45.60	3	2084	REG (Weber 187)
Ascomycota	Helotiales	Mollisia	cinerea cf.	Fl-PC	0.048	47.31	3	2087	REG (Weber 342)
Ascomycota	Helotiales	Mollisia	cinerea cf.	Fl-PC	0.048	47.31	3	2086	REG (Weber 319)
Ascomycota	Helotiales	Mollisia	cinerea cf.	Fl-PC	0.048	47.31	3	2085	REG (Weber 141)
Ascomycota	Helotiales	Mollisia	cinerea cf.	Fl-PC	0.051	49.78	3	2088	REG (Weber 140)
Ascomycota	Helotiales	Mollisia	coerulans cf.	Fl-PC	0.047	46.36	3	2082	REG
Ascomycota	Helotiales	Mollisia	escharodes	Fl-PC	0.134	131.10	8	2161	REG
Ascomycota	Helotiales	Mollisia	lychnidis cf.	Fl-PC	0.130	127.11	8	2160	REG
Ascomycota	Helotiales	Mollisia	palustris cf.	Fl-PC	0.040	39.14	2?	2077	BARAL 4125 (Weber 643)
Ascomycota	Helotiales	Mollisina	echinulifera	Fl-PC	0.036	34.96	2	2358	REG
Ascomycota	Helotiales	Mollisina	sp.	Fl-PC	0.037	35.91	2	2360	BARAL 4182 (Weber 682)
Ascomycota	Helotiales	Muscicola	dubia	Fl-PC	0.058	56.24	3	2466	BARAL 3878
Ascomycota	Helotiales	Nimbomollisia	macrospora	Fl-PC	0.055	53.77	3	2133	BARAL 4212
Ascomycota	Helotiales	Niptera	submelaena	Fl-PC	0.054	53.01	3	2098	REG
Ascomycota	Helotiales	Olla	ulmariae	Fl-PC	0.037	35.91	2	2320	REG
Ascomycota	Helotiales	Ombrophila	lilacina	Fl-PC	0.036	34.96	2	2396	REG
Ascomycota	Helotiales	Ombrophila	longispora cf.	Fl-PC	0.052	51.30	3	2399	BARAL 4214
Ascomycota	Helotiales	Pachydisca	pilatii	Fl-PC	0.098	96.14	6	2533	REG
Ascomycota	Helotiales	Pezizella	pulchella ss. Svrèek	Fl-PC	0.056	54.53	3	2355	BARAL 3928
Ascomycota	Helotiales	Pezoloma	ciliifera	Fl-PC	0.056	54.53	3	2406	BARAL 4175
Ascomycota	Helotiales	Phaeohelotium	italicum ss. Dennis	Fl-PC	0.052	51.30	3	2354	REG
Ascomycota	Helotiales	Phialina	lachnobrachya	Fl-PC	0.049	48.07	3	2336	REG
Ascomycota	Helotiales	Phialina	lachnobrachya	Fl-PC	0.053	52.06	3	2337	BARAL 4204
Ascomycota	Helotiales	Pirottaea	adenostylidis	Fl-PC	0.068	66.88	4	2140	REG
Ascomycota	Helotiales	Pirottaea	saxonica	Fl-PC	0.072	70.87	4	2141	BARAL 4080
Ascomycota	Helotiales	Psilachnum	lanceolato-paraphysatum	Fl-PC	0.034	33.44	2	2287	BARAL 4078
Ascomycota	Helotiales	Pyrenopeziza	plicata cf.	Fl-PC	0.078	76.57	4	2148	REG
Ascomycota	Helotiales	Rhynchosporium	graminicola	CS	0.057	55.64		5739	strain UK7
Ascomycota	Helotiales	Scutomollisia	lanceata	Fl-PC	0.031	30.21	2	2073	BARAL 4118
Ascomycota	Helotiales	Scutomollisia	russea	Fl-PC	0.068	66.88	4	2101	BARAL 3827
Ascomycota	Helotiales	Spathularia	pectinata	Fl-PC	0.102	100.13	6	2191	BARAL 4258
Ascomycota	Helotiales	Stromatinia	paridis cf.	Fl-PC	0.052	50.54	3	2582	BARAL 4069
Ascomycota	Helotiales	Symphyosirinia	clematidis	Fl-PC	0.225	220.02	13-14?	2539	BARAL 3939
Ascomycota	Helotiales	Tapesia	cinerella cf.	Fl-PC	0.048	47.31	3	2094	REG (Weber 294)
Ascomycota	Helotiales	Tapesia	cinerella cf.	Fl-PC	0.053	52.06	3	2093	REG (Weber 365)
Ascomycota	Helotiales	Unguicularia	raripila	Fl-PC	0.037	35.91	2	2316	BARAL 4144
Ascomycota	Helotiales	Unguiculariopsis	rehmii	Fl-PC	0.032	31.73	2	2330	BARAL 4150
Ascomycota	Helotiales	Urceolella	conspicua	Fl-PC	0.068	66.88	3	2319	BARAL 3851
Ascomycota	Helotiales	Urceolella	tetraspora	Fl-PC	0.042	40.66	2-3	2328	REG
Ascomycota	Helotiales	Venturiocistella	pini cf.	Fl-PC	0.054	53.01	3	2427	BARAL 4139
Ascomycota	Hypocreales	Epichloë	baconii	CS	0.058	57.00		4813	
Ascomycota	Hypocreales	Epichloë	festucae	CS	0.031	30.68		4811	E2368
Ascomycota	Hypocreales	Epichloë	festucae	CS	0.035	34.19		5083	E5819; Taxonomy ID: 1051583; GenBank Assembly ID: GCA_000222955.2
Ascomycota	Hypocreales	Epichloë	festucae	CHEF gel electrophoresis	0.036	35.10		3989	isolate E189
Ascomycota	Hypocreales	Epichloë	festucae	CS	0.036	35.10		5074	ID:877507
Ascomycota	Hypocreales	Epichloë	festucae	CS	0.042	41.44		5082	E8; GenBank Assembly ID: GCA_000308955.1
Ascomycota	Hypocreales	Neotyphodium	lolii	CHEF gel electrophoresis	0.031	30.60	1	3992	
Ascomycota	Hysteriales	Rhystidhysteron	rufulum	CS	0.041	40.18		5011	
Ascomycota	Incertae sedis	Hyalinia	dilutella cf.	Fl-PC	0.098	96.14	6	2153	BARAL 4117
Ascomycota	Incertae sedis	Hyalinia	rosella	Fl-PC	0.026	25.27	1?	2540	BARAL 4014
Ascomycota	Incertae sedis	Tromeropsis	microtheca cf.	Fl-PC	0.026	25.27		2009	REG
Ascomycota	Lecanorales	Calicium	adspersum cf.	Fl-PC	0.026	25.27		2007	REG
Ascomycota	Lecanorales	Letharia	californica	Fl-PC	0.080	78.28	5?	2004	REG
Ascomycota	Mycosphaerellales	Mycovellosiella	fulva	PFGE	0.045	44.00		5216	
Ascomycota	Mycosphaerellales	Mycovellosiella	fulva	CS	0.062	61.10		5217	
Ascomycota	Ophiostomatales	Ophiostoma	polyporicola	Fl-PC	0.031	30.21		1992	M 75/86, culture 595M
Ascomycota	Orbiliales	Arthrobotrys	oligospora	CS	0.041	40.07		5234	ATCC 24927 v1.0
Ascomycota	Ostropales	Stictis	radiata cf.	Fl-PC	0.032	31.73		2000	REG
Ascomycota	Pezizales	Geopora	semi-immersa	Fl-PC	0.084	82.27	5	2717	REG (Weber 442)
Ascomycota	Pezizales	Geopora	semi-immersa	Fl-PC	0.087	85.50	5	2718	REG (Weber 426)
Ascomycota	Pezizales	Melastiza	chateri	DAPI-IC	0.025	24.70	1-2	5801	TAAM157958
Ascomycota	Pezizales	Melastiza	chateri	Fl-PC	0.028	27.74	1-2	2708	REG
Ascomycota	Pezizales	Neottiella	hetieri	DAPI-IC	0.043	41.80		5807	TAAM 062740
Ascomycota	Pezizales	Neottiella	hetieri	DAPI-IC	0.426	417.00		5998	TAAM 192251
Ascomycota	Pezizales	Neottiella	hetieri	DAPI-IC	0.801	783.00		6001	TAAM 188351
Ascomycota	Pezizales	Otidea	alutacea cf.	Fl-PC	0.037	36.67	2	2667	REG
Ascomycota	Pezizales	Otidea	cochleata cf.	Fl-PC	0.035	34.20	2	2666	REG
Ascomycota	Pezizales	Pachyella	celtica	Fl-PC	0.092	90.44	6	2649	REG
Ascomycota	Pezizales	Peziza	nivea	Fl-PC	0.076	74.10	4	2260	REG
Ascomycota	Pezizales	Pseudoplectania	vogesiaca	Fl-PC	0.063	61.18	3-4?	2592	REG (Weber 288)
Ascomycota	Pezizales	Pseudoplectania	vogesiaca	Fl-PC	0.063	61.18	3-4?	2591	REG (Weber 71)
Ascomycota	Pezizales	Ptychoverpa	bohemica	Fl-PC	0.049	48.07	3	2610	REG (Weber 226)
Ascomycota	Pezizales	Ptychoverpa	bohemica	Fl-PC	0.052	50.54	3	2611	REG (Weber 17)
Ascomycota	Pezizales	Scutellinia	ceijpii	Fl-PC	0.029	28.50	2	2688	REG (Weber 211)
Ascomycota	Pezizales	Scutellinia	ceijpii	Fl-PC	0.032	30.97	2	2689	REG (Weber 210)
Ascomycota	Pezizales	Scutellinia	ceijpii	Fl-PC	0.032	31.73	2	2690	REG (Weber 66)
Ascomycota	Pezizales	Scutellinia	ceijpii	Fl-PC	0.035	34.20	2	2691	REG (Weber 58)
Ascomycota	Saccharomycetes	Lipomyces	starkeyi NRRL Y-11557	CS	0.022	21.27		5922	
Ascomycota	Sordariales	Lasiosphaeria	spermoides	Fl-PC	0.025	24.51		2032	REG
Ascomycota	Xylariales	Endoxyla	avocetta	CS	0.057	56.23		5265	NRRL 3190 v1.0
Ascomycota	Xylariales	Hypoxylon	sp	CS	0.039	37.70		5281	CI-4A v1.0
Ascomycota	Xylariales	Hypoxylon	sp	CS	0.048	46.59		5282	CO27-5 v1.0
Ascomycota	Xylariales	Hypoxylon	sp	CS	0.048	47.30		5283	EC38 v1.0
Ascomycota	Xylariales	Pestalotiopsis	sp	CS	0.047	46.41		6068	NC0098 v1.0
Basidiomycota	Agaricales	Armillaria sp.	NABS XI	PI-FC	0.074	72.37	2	4103	SP82-14
Basidiomycota	Agaricales	Armillaria sp.	NABS XI	PI-FC	0.078	76.28	2	4104	SP83-07
Basidiomycota	Agaricales	Auriculariopsis	albomellea	CS	0.052	50.89		5969	FP 102339 v1.0
Basidiomycota	Agaricales	Coprinopsis	Coprinopsis strossmayeri	CS	0.034	33.32		5685	
Basidiomycota	Agaricales	Cortinarius	glaucopus A	CS	0.065	63.45		5480	T 2004 276 v2.0
Basidiomycota	Agaricales	Cystoderma	adnatifolium	FC	0.049	47.75	3	2722	TAAM 147343,171701,147356, 147360, 147381; H 92-1155
Basidiomycota	Atheliales	Fibularhizoctonia	sp.	CS	0.097	95.13		5471	CBS 109695 v1.0
Basidiomycota	Boletales	Austrogaster	marthae	DAPI-PC	0.099	96.65	4	4201	REG 3410
Basidiomycota	Boletales	Austropaxillus	contulmensis	DAPI-PC	0.093	91.28	4	4203	REG 539
Basidiomycota	Boletales	Gastroboletus	valdivianus	DAPI-PC	0.107	104.46	3	4303	REG 3467
Basidiomycota	Boletales	Porphyrellus	fumosipes	DAPI-PC	0.109	106.40	3	4376	REG 378
Basidiomycota	Boletales	Rhizoctonia	cucumeris	CS	0.049	47.66		5436	AG-1 IB
Basidiomycota	Boletales	Rhizoctonia	cucumeris	CS	0.050	48.51		5663	AG-1 IB
Basidiomycota	Boletales	Rhizoctonia	cucumeris	Nanopore-Generated Reads	0.055	54.00		5550	
Basidiomycota	Boletales	Suillus	albidipes	DAPI-PC	0.066	64.43	2	4253	REG 627
Basidiomycota	Hymenochaetales	Phellinus	ialni	DAPI-IC	0.050	49.33		5881	CBS 380-72; TFC 2006-1
Basidiomycota	Hymenochaetales	Phellinus	ialni	DAPI-IC	0.050	49.33		5882	TAAM191390; TFC 2005-123
Basidiomycota	Hymenochaetales	Phellinus	ialni	DAPI-IC	0.057	56.00		5880	TAAM 191375; TFC 2005-33
Basidiomycota	Hymenochaetales	Phellinus	ialni	DAPI-IC	0.065	64.00		5883	TAAM 191388; TFC 2005-40
Basidiomycota	Polyporales	Wolfiporia	extensa	CS	0.052	50.48		4967	MD-104 SS10
Basidiomycota	Pucciniales	Uromyces	bidentis	FC	2.545	2489.00	1	5523	
Basidiomycota	Russulales	Russula	Russula	CS	0.050	48.53		5992	BPL707 v1.0
Basidiomycota	Tritirachiales	Tritirachium	sp	CS	0.019	18.89		5514	CBS 265.96 v1.0
Chytridiomycota	Chytridiales	Phlyctochytrium	lagenaria	CS	0.043	42.38		3944	Arg66 v1.0
Glomeromycota	Glomerales	Glomus	intraradice	FC	0.153	150.00		5561	industrial strain produced by AMykor GmbH (Germany)
Glomeromycota	Glomerales	Glomus	intraradice	Fe-IC	0.168	164.05		5563	DAOM197198
