# DToL
# Fungi
# Ester Gaya
# RBG_Kew
# E.Gaya@kew.org / K.Woof@kew.org
# 11/02/2021
# species	family	long_list	other_priority	family_representative
Nitschkia grevillii	Nitschkiaceae	DTOL	DTOL	DTOL
Xerotrema megalosporum	Odontotremataceae	DTOL	DTOL	DTOL
Olpidiaster brassicae	Olpidiaceae	DTOL		
Chrysosporium luteum	Onygenaceae	DTOL		
Malbranchea sulfurea	Onygenaceae	DTOL		
Ophiocordyceps gracilis	Ophiocordycipitaceae	DTOL	DTOL	DTOL
Habrostictis rubra	Orbiliaceae	DTOL		
Oxyporus corticola	Oxyporaceae	DTOL		
Oxyporus latemarginatus	Oxyporaceae	DTOL	DTOL	DTOL
Oxyporus obducens	Oxyporaceae	DTOL	DTOL	DTOL
Parmeliella thriptophylla	Pannariaceae	DTOL		
Plasmopara crustosa	Peronosporaceae	DTOL		
Pertusaria amara	Pertusariaceae	DTOL	DTOL	DTOL
Peziza micropus	Pezizaceae	DTOL		
Peziza succosa	Pezizaceae	DTOL		
Calycina herbarum	Pezizellaceae	DTOL		
Psilachnum chrysostigmum	Pezizellaceae	DTOL	DTOL	DTOL
Ceuthospora lauri	Phacidiaceae	DTOL		
Lichenostigma rugosum	Phaeococcomycetaceae	DTOL	DTOL	DTOL
Eudarluca caricis	Phaeosphaeriaceae	DTOL	DTOL	DTOL
Phaeosphaeria nodorum	Phaeosphaeriaceae	DTOL		
Helicogloea farinacea	Phleogenaceae	DTOL		
Helicogloea vestita	Phleogenaceae	DTOL		
Oudemansiella mucida	Physalacriaceae	DTOL	DTOL	DTOL
Xerula radicata	Physalacriaceae	DTOL		
Sorosphaera veronicae	Plasmodiophoridae	DTOL		
Verticillium nigrescens	Plectosphaerellaceae	DTOL		
Pleospora herbarum	Pleosporaceae	DTOL	DTOL	DTOL
Lewia infectoria	Pleosporaceae	DTOL		
Pleurostomophora richardsiae	Pleurostomataceae	DTOL	DTOL	DTOL
Perenniporia fraxinea	Polyporaceae	DTOL		
Protostelium arachisporum	Protosteliida	DTOL		
Pseudomassaria corni	Pseudomassariaceae	DTOL		
Pseudovalsa lanciformis	Pseudovalsaceae	DTOL	DTOL	DTOL
Pyricularia juncicola	Pyriculariaceae	DTOL	DTOL	DTOL
Tubulifera arachnoidea	Reticulariidae	DTOL		
Rhizopus arrhizus	Rhizopodaceae	DTOL	DTOL	DTOL
Pichia burtonii	Saccharomycetaceae	DTOL		
Schizophyllum amplum	Schizophyllaceae	DTOL		
Schizosaccharomyces malidevorans	Schizosaccharomycetaceae	DTOL		
Zygophiala jamaicensis	Schizothyriaceae	DTOL		
Ciboria batschiana	Sclerotiniaceae	DTOL	DTOL	DTOL
Lasiobelonium nidulus	Solenopeziaceae	DTOL	DTOL	DTOL
Sparassis simplex	Sparassidaceae	DTOL		
Sphinctrina tubaeformis	Sphinctrinaceae	DTOL		
Rhodotorula rubra	Sporidiobolaceae	DTOL	DTOL	DTOL
Rhodotorula minuta	Sporidiobolaceae	DTOL		
Rhodotorula fragaria	Sporidiobolaceae	DTOL		
Sporobolomyces gracilis	Sporidiobolaceae	DTOL		
Sporobolomyces tsugae	Sporidiobolaceae	DTOL		
Discostroma corticola	Sporocadaceae	DTOL	DTOL	DTOL
Sporormiella australis	Sporormiaceae	DTOL	DTOL	DTOL
Sporormiella minima	Sporormiaceae	DTOL		
Stachybotrys oenanthes	Stachybotryaceae	DTOL		
Massjukiella polycarpa	Teloschistaceae	DTOL		
Variospora flavescens	Teloschistaceae	DTOL		
Calvitimela aglaea	Tephromelataceae	DTOL		
Chromatochlamys confusum	Thelenellaceae	DTOL		
Thyridaria macrostomoides	Thyridariaceae	DTOL		
Thyridaria rubronotata	Thyridariaceae	DTOL		
Togninia vibratilis	Togniniaceae	DTOL	DTOL	DTOL
Tremella foliacea	Tremellaceae	DTOL	DTOL	DTOL
Tremella encephala	Tremellaceae	DTOL		
Trichosporon cutaneum	Trichosporonaceae	DTOL	DTOL	DTOL
Trichosporon dulcitum	Trichosporonaceae	DTOL		
Trichosporon gracile	Trichosporonaceae	DTOL		
Trichosporon sporotrichoides	Trichosporonaceae	DTOL		
Troposporella monospora	Tubeufiaceae	DTOL		
Amphiporthe leiphaemia	Valsaceae	DTOL	DTOL	DTOL
Valsa ceratosperma	Valsaceae	DTOL		
