Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Homo sapiens	human		9606	WGSA	GCA_000002115.2	GenBank		Chromosome	23350	2863645671	2004-02-25		PRJNA1431	SAMN02981219
Homo sapiens	human	sex: male	9606	HuRef	GCA_000002125.2	GenBank		Chromosome	108431	2844000504	2007-09-24		PRJNA19621	SAMN02981236
Apis mellifera	honey bee	strain: DH4	7460	Amel_4.5	GCA_000002195.1	GenBank		Chromosome	45688	250270657	2011-01-14		PRJNA10625	SAMN00002455
Strongylocentrotus purpuratus	purple sea urchin	isolate: Spur 01, sex: male	7668	Spur_5.0	GCA_000002235.4	GenBank		Scaffold	2052140	921840143	2019-09-06		PRJNA10736	SAMN00829422
Macaca mulatta	Rhesus monkey	isolate: 17573, sex: female	9544	Mmul_051212	GCA_000002255.2	GenBank		Chromosome	25707	3097568982	2006-02-27		PRJNA12537	SAMN02981228
Rattus norvegicus	Norway rat	strain: BN; Sprague-Dawley	10116	Rn_Celera	GCA_000002265.1	GenBank	From INSDC submitter	Chromosome	34564	2931643592	2006-12-06	27309	PRJNA13999	SAMN03000701
Ornithorhynchus anatinus	platypus	isolate: Glennie, sex: female	9258	ASM227v2	GCA_000002275.2	GenBank		Chromosome	11544	1996809494	2007-02-14		PRJNA12885	SAMN02953646
Canis lupus familiaris	dog	breed: boxer, isolate: Tasha, sex: female	9615	Dog10K_Boxer_Tasha	GCA_000002285.4	GenBank		Chromosome	27487084	2312785471	2020-10-06		PRJNA13179	SAMN02953603
Monodelphis domestica	gray short-tailed opossum		13616	ASM229v1	GCA_000002295.1	GenBank		Chromosome	107990	3600487649	2007-01-25		PRJNA12561	SAMN02953611
Equus caballus	horse	breed: thoroughbred, isolate: Twilight, sex: female	9796	EquCab2.0	GCA_000002305.1	GenBank		Chromosome	112381	2474912402	2007-10-29		PRJNA18661	SAMN02953672
Gallus gallus	chicken	breed: Red Jungle fowl, inbred line UCD001, isolate: RJF #256, sex: female	9031	Gallus_gallus-5.0	GCA_000002315.3	GenBank		Chromosome	2894815	1230241782	2015-12-16		PRJNA13342	SAMN02981218
Gallus gallus	chicken	breed: Red Jungle fowl, inbred line UCD001, isolate: RJF #256, sex: female	9031	GRCg6a	GCA_000002315.5	GenBank		Chromosome	17655422	1065348650	2018-03-27		PRJNA13342	SAMN02981218
Nasonia vitripennis	jewel wasp	strain: AsymCX	7425	Nvit_2.1	GCA_000002325.2	GenBank		Chromosome	18840	295780872	2012-11-28		PRJNA13660	SAMN02902141
Tribolium castaneum	red flour beetle	strain: Georgia GA2	7070	Tcas5.2	GCA_000002335.3	GenBank	From INSDC submitter	Chromosome	73049	165928604	2016-03-10	16592	PRJNA12540	SAMN02953634
Plasmodium vivax	malaria parasite P. vivax	isolate: Salvador I, strain: Salvador I	5855	ASM241v2	GCA_000002415.2	GenBank	From INSDC submitter	Chromosome	1165049	27007701	2009-05-06	5507	PRJNA150	SAMN02953638
Physcomitrium patens		ecotype: Gransden 2004	3218	Phypa V3	GCA_000002425.2	GenBank	From INSDC submitter	Chromosome	465069	471852792	2018-01-24	31309	PRJNA13064	SAMN00120126
Giardia intestinalis		strain: WB C6	5741	UU_WB_2.1	GCA_000002435.2	GenBank	From INSDC submitter	Chromosome	2761001	12078186	2019-11-06	5388	PRJNA1439	SAMN02952905
Trypanosoma brucei brucei TREU927		isolate: 927/4 GUTat10.1, strain: 927/4 GUTat10.1	185431	ASM244v1	GCA_000002445.1	GenBank	From INSDC submitter	Chromosome	1653115	26075494	2005-12-14	10234	PRJNA11756	SAMN02953625
Pyricularia oryzae 70-15		strain: 70-15	242507	MG8	GCA_000002495.2	GenBank	From INSDC submitter	Chromosome	823590	40979121	2011-10-14	13184	PRJNA13840	SAMN02953596
Kluyveromyces lactis		strain: NRRL Y-1140	28985	ASM251v1	GCA_000002515.1	GenBank	From INSDC submitter	Complete Genome	1753957	10689156	2004-07-02	5389	PRJNA13835	SAMEA3138170
Yarrowia lipolytica CLIB122		strain: CLIB122	284591	ASM252v1	GCA_000002525.1	GenBank	From INSDC submitter	Chromosome	2069334	20502981	2004-07-02	7334	PRJNA13837	SAMEA3138171
[Candida] glabrata		strain: CBS 138	5478	ASM254v2	GCA_000002545.2	GenBank	From INSDC submitter	Chromosome	1100349	12318245	2008-08-12	5464	PRJNA13831	SAMEA3138172
Chlamydomonas reinhardtii		strain: CC-503 cw92 mt+	3055	Chlamydomonas_reinhardtii_v5.5	GCA_000002595.3	GenBank	From INSDC submitter	Chromosome	215409	111098438	2018-01-26	17743	PRJNA12260	SAMN02953692
Aspergillus fumigatus Af293		strain: Af293	330879	ASM265v1	GCA_000002655.1	GenBank	From INSDC submitter	Chromosome	2460113	29384958	2005-06-10	9916	PRJNA131	SAMN00115746
Aspergillus clavatus NRRL 1		strain: NRRL 1	344612	ASM271v1	GCA_000002715.1	GenBank	From INSDC submitter	Scaffold	749511	27859441	2006-12-14	9379	PRJNA15664	SAMN02953636
Leishmania major strain Friedlin		strain: Friedlin	347515	ASM272v2	GCA_000002725.2	GenBank	From INSDC submitter	Complete Genome	1091540	32855089	2011-02-14	9687	PRJNA10724	SAMEA3138173
Plasmodium falciparum 3D7		isolate: 3D7	36329	GCA_000002765	GCA_000002765.3	GenBank	From INSDC submitter	Complete Genome	1687656	23292622	2019-10-22	5797	PRJNA13173	SAMN00102897
Populus trichocarpa	black cottonwood	isolate: Nisqually-1	3694	Pop_tri_v3	GCA_000002775.3	GenBank	From INSDC submitter	Chromosome	552806	434132815	2018-01-24	42950	PRJNA10772	SAMN02953657
Trichomonas vaginalis G3		strain: G3; ATCC PRA-98	412133	ASM282v1	GCA_000002825.1	GenBank	From INSDC submitter	Scaffold	4901	176420065	2007-01-11	60817	PRJNA16084	SAMN02953626
Leishmania braziliensis MHOM/BR/75/M2904		strain: MHOM/BR/75/M2904	420245	ASM284v2	GCA_000002845.2	GenBank	From INSDC submitter	Chromosome	63680	32068771	2011-11-07	8468	PRJEA18663	SAMEA2272271
Aspergillus niger			5061	ASM285v2	GCA_000002855.2	GenBank	From INSDC submitter	Scaffold	114002	33975768	2007-04-11	14532	PRJNA19275	SAMEA3283178
Monosiga brevicollis MX1		strain: MX1	431895	V1.0	GCA_000002865.1	GenBank	From INSDC submitter	Scaffold	49874	41633360	2007-12-20	9175	PRJNA19045	SAMN02953695
Leishmania infantum JPCM5		strain: JPCM5	435258	ASM287v2	GCA_000002875.2	GenBank	From INSDC submitter	Chromosome	302093	32122061	2011-11-08	8383	PRJNA12658	SAMEA3138175
Schizosaccharomyces pombe	fission yeast	strain: 972h-	4896	ASM294v2	GCA_000002945.2	GenBank	From INSDC submitter	Chromosome	2923134	12571820	2007-11-09	6962	PRJNA13836	SAMEA3138176
Caenorhabditis elegans	roundworm	strain: Bristol N2	6239	WBcel235	GCA_000002985.3	GenBank	From INSDC submitter	Complete Genome	17493829	100272607	2013-02-07	46890	PRJNA13758	SAMEA3138177
Brugia malayi	agent of lymphatic filariasis	strain: FR3	6279	B_malayi-4.0	GCA_000002995.5	GenBank	From INSDC submitter	Scaffold	10384967	87155713	2019-06-02	11718	PRJNA10729	SAMEA3146321
Sus scrofa	pig	breed: Duroc, isolate: TJ Tabasco, sex: female	9823	Sscrofa11.1	GCA_000003025.6	GenBank		Chromosome	48231277	2501895775	2017-02-07		PRJNA13421	SAMN02953785
Bos taurus	cattle	breed: Hereford, sex: pooled male and female	9913	Bos_taurus_UMD_3.1.1	GCA_000003055.5	GenBank	From INSDC submitter	Chromosome	96955	2670123310	2014-11-25	26410	PRJNA32899	SAMN02898106
Plasmodium yoelii yoelii		isolate: 17XNL	73239	ASM308v2	GCA_000003085.2	GenBank	From INSDC submitter	Contig	7710	23125449	2002-10-03	3040	PRJNA1436	SAMN02952904
Felis catus	domestic cat	breed: mixed	9685	catChrV17e	GCA_000003115.1	GenBank		Chromosome	4577	3160286939	2009-03-16		PRJNA32759	SAMN03000705
Talaromyces stipitatus ATCC 10500		strain: ATCC 10500	441959	JCVI-TSTA1-3.0	GCA_000003125.1	GenBank	From INSDC submitter	Scaffold	897397	35685443	2008-12-22	12574	PRJNA19557	SAMN02953686
Sorghum bicolor	sorghum	cultivar: BTx623	4558	Sorghum_bicolor_NCBIv3	GCA_000003195.3	GenBank	From INSDC submitter	Chromosome	1310030	708735318	2017-04-07	34118	PRJNA13876	SAMN02953738
Bos taurus	cattle	breed: Hereford, sex: pooled male and female	9913	Btau_5.0.1	GCA_000003205.6	GenBank		Chromosome	276285	2724980740	2015-11-19		PRJNA12555	SAMN02898106
Theileria annulata		strain: Ankara isolate clone C9	5874	ASM322v1	GCA_000003225.1	GenBank	From INSDC submitter	Chromosome	1979170	8352220	2005-07-29	3796	PRJNA153	SAMEA3138180
Uncinocarpus reesii 1704		strain: 1704	336963	ASM351v2	GCA_000003515.2	GenBank	From INSDC submitter	Scaffold	80843	22327935	2009-05-21	7856	PRJNA15634	SAMN02953631
Blastomyces dermatitidis ER-3		strain: ER-3	559297	BD_ER3_V1	GCA_000003525.2	GenBank	From INSDC submitter	Scaffold	276930	66568269	2009-02-24	10081	PRJNA29171	SAMN02953741
Saccoglossus kowalevskii		sex: male	10224	Skow_1.1	GCA_000003605.1	GenBank		Scaffold	10074	775840678	2009-09-09		PRJNA12887	SAMN00102747
Oryctolagus cuniculus	rabbit	breed: Thorbecke inbred, sex: female	9986	OryCun2.0	GCA_000003625.1	GenBank		Chromosome	64648	2737473256	2009-10-20		PRJNA12819	SAMN02953624
Vitis vinifera	wine grape	cultivar: PN40024	29760	12X	GCA_000003745.2	GenBank	From INSDC submitter	Chromosome	102674	485326422	2009-12-07	26346	PRJEA18785	SAMEA2272750
Branchiostoma floridae	Florida lancelet	sex: male, strain: S238N-H82	7739	Bfl_VNyyK	GCA_000003815.2	GenBank		Chromosome	50413	513445848	2020-04-29		PRJNA20249	SAMN02953694
Clavispora lusitaniae ATCC 42720		strain: ATCC 42720	306902	ASM383v1	GCA_000003835.1	GenBank	From INSDC submitter	Scaffold	266609	12114892	2009-06-02	6153	PRJNA12753	SAMN02953613
Blastomyces gilchristii SLH14081		strain: SLH14081	559298	BD_SLH14081_V1	GCA_000003855.2	GenBank	From INSDC submitter	Scaffold	126005	75353942	2009-02-24	10148	PRJNA29173	SAMN02953742
Aedes aegypti	yellow fever mosquito	strain: Liverpool	7159	AaegL3	GCA_000004015.3	GenBank	From INSDC submitter	Scaffold	82618	1383957531	2014-04-30	17350	PRJNA12434	SAMN02953616
Notamacropus eugenii	tammar wallaby	sex: female	9315	Meug_1.1	GCA_000004035.1	GenBank		Scaffold	2602	3075184024	2009-11-06		PRJNA12587	
Cucumis sativus	cucumber	cultivar: 9930	3659	Cucumber_9930_V3	GCA_000004075.3	GenBank	From INSDC submitter	Chromosome	8937712	224801081	2019-11-15	24012	PRJNA33619	SAMN02953750
Hydra vulgaris	swiftwater hydra	strain: 105	6087	Hydra_RP_1.0	GCA_000004095.1	GenBank		Scaffold	10113	852155112	2009-10-30		PRJNA12876	SAMN00000081
Schizosaccharomyces cryophilus OY26		strain: OY26	653667	SCY4	GCA_000004155.2	GenBank	From INSDC submitter	Scaffold	290103	11554764	2013-07-31	5494	PRJNA38373	SAMN02953762
Xenopus tropicalis	tropical clawed frog	sex: female, strain: Nigerian	8364	UCB_Xtro_10.0	GCA_000004195.4	GenBank	From INSDC submitter	Chromosome	14634335	1451283599	2019-11-14	25015	PRJNA577946	SAMN13041969
Arabidopsis lyrata subsp. lyrata			81972	v.1.0	GCA_000004255.1	GenBank	From INSDC submitter	Scaffold	227391	206667935	2010-06-02	32534	PRJNA41137	SAMN02981250
Ailuropoda melanoleuca	giant panda	sex: female	9646	AilMel_1.0	GCA_000004335.1	GenBank	From INSDC submitter	Scaffold	39886	2299492210	2009-12-15	22586	PRJNA38683	SAMN00008160
Glycine max	soybean	cultivar: Williams 82	3847	Glycine_max_v2.1	GCA_000004515.4	GenBank	From INSDC submitter	Chromosome	182839	978491270	2018-07-24	56044	PRJNA19861	SAMN00002965
Caenorhabditis briggsae		strain: AF16	6238	CB4	GCA_000004555.3	GenBank	From INSDC submitter	Chromosome	45098	108384165	2014-07-02	22739	PRJNA10731	SAMEA3138181
Oryza sativa Indica Group	long-grained rice	cultivar: 93-11	39946	ASM465v1	GCA_000004655.2	GenBank	From INSDC submitter	Chromosome	23203	426337286	2011-02-25	39285	PRJNA361	SAMN02953581
Callithrix jacchus	white-tufted-ear marmoset		9483	Callithrix jacchus-3.2	GCA_000004665.1	GenBank		Chromosome	29273	2914958544	2010-01-22		PRJNA20401	SAMN02981242
Dictyostelium discoideum AX4		strain: AX4	352472	dicty_2.7	GCA_000004695.1	GenBank	From INSDC submitter	Chromosome	341816	34134454	2009-08-24	13892	PRJNA201	SAMN02953606
Nasonia giraulti		strain: RV2x(U)	7426	Ngir_1.0	GCA_000004775.1	GenBank		Scaffold	1971	283606953	2010-01-15		PRJNA20223	SAMN00003081
Nasonia longicornis		strain: IV7(U)	7427	Nlon_1.0	GCA_000004795.1	GenBank		Scaffold	1876	285726340	2010-01-15		PRJNA20225	SAMN00003080
Heterostelium album PN500		strain: PN500	670386	PolPal_Dec2009	GCA_000004825.1	GenBank	From INSDC submitter	Scaffold	1220979	32970186	2010-01-29	12621	PRJNA40191	SAMN02953767
Homo sapiens	human	sex: male	9606	YH_2.0	GCA_000004845.2	GenBank		Scaffold	20516	2911235363	2013-06-10		PRJNA42199	SAMN00003318
Naegleria gruberi		strain: NEG-M	5762	V1.0	GCA_000004985.1	GenBank	From INSDC submitter	Scaffold	159679	40964085	2010-01-20	16620	PRJNA14010	SAMN02953745
Zea mays	maize	cultivar: B73	4577	B73 RefGen_v4	GCA_000005005.6	GenBank	From INSDC submitter	Chromosome	1279870	2134373047	2017-02-07	39320	PRJNA10769	SAMN04296295
Drosophila ananassae		strain: TSC#14024-0371.13	7217	dana_caf1	GCA_000005115.1	GenBank	From INSDC submitter	Scaffold	95247	230993012	2006-06-30	15807	PRJNA12651	SAMN02953648
Drosophila erecta		strain: TSC#14021-0224.01	7220	dere_caf1	GCA_000005135.1	GenBank	From INSDC submitter	Scaffold	453616	152712140	2006-07-12	14758	PRJNA12661	SAMN02953649
Drosophila grimshawi		strain: TSC#15287-2541.00	7222	dgri_caf1	GCA_000005155.1	GenBank	From INSDC submitter	Scaffold	91192	200467819	2006-06-30	15585	PRJNA12678	SAMN02953650
Drosophila mojavensis		strain: TSC#15081-1352.22	7230	dmoj_caf1	GCA_000005175.1	GenBank	From INSDC submitter	Scaffold	121517	193826310	2006-06-30	14680	PRJNA12682	SAMN02953651
Drosophila persimilis		strain: MSH-3	7234	dper_caf1	GCA_000005195.1	GenBank	From INSDC submitter	Scaffold	20311	188374079	2006-04-18	17573	PRJNA12705	SAMN02953632
Drosophila sechellia		strain: Rob3c	7238	dsec_caf1	GCA_000005215.1	GenBank	From INSDC submitter	Scaffold	42955	166577145	2006-04-18	17273	PRJNA12711	SAMN02953639
Drosophila virilis		strain: TSC#15010-1051.87	7244	dvir_caf1	GCA_000005245.1	GenBank	From INSDC submitter	Scaffold	120091	206026697	2006-07-12	15018	PRJNA12688	SAMN02953641
Oryza sativa Japonica Group	Japanese rice	cultivar: Nipponbare	39947	Build 4.0	GCA_000005425.2	GenBank	From INSDC submitter	Chromosome	7131322	382150945	2009-08-07	30294	PRJNA13141	
Homo sapiens	human	sex: male	9606	BGIAF	GCA_000005465.1	GenBank		Scaffold	887	2676008911	2010-06-21		PRJNA42201	
Brachypodium distachyon	stiff brome	strain: Bd21	15368	Brachypodium_distachyon_v3.0	GCA_000005505.4	GenBank	From INSDC submitter	Chromosome	21988513	271163419	2018-01-24	34310	PRJNA32607	SAMN02981254
Anopheles gambiae str. PEST		strain: PEST	180454	AgamP3	GCA_000005575.1	GenBank	From INSDC submitter	Chromosome	85548	265011681	2006-10-16	13234	PRJNA1438	SAMN02952903
Drosophila willistoni		strain: TSC#14030-0811.24	7260	dwil_caf1	GCA_000005925.1	GenBank	From INSDC submitter	Scaffold	180217	235516348	2006-08-03	14857	PRJNA12664	SAMN02953653
Drosophila yakuba		strain: Tai18E2	7245	dyak_caf1	GCA_000005975.1	GenBank	From INSDC submitter	Chromosome	115562	165693946	2006-06-27	16262	PRJNA12366	SAMN02952910
Postia placenta Mad-698-R		strain: Mad-698-R	561896	Postia placenta V1.0	GCA_000006255.1	GenBank	From INSDC submitter	Scaffold	19255	90891856	2009-01-14	9087	PRJNA19789	SAMN00113321
Aspergillus flavus NRRL3357		strain: NRRL3357	332952	JCVI-afl1-v3.0	GCA_000006275.3	GenBank	From INSDC submitter	Scaffold	103582	36852131	2020-09-28	14313	PRJNA13284	SAMN02953629
Pediculus humanus corporis	human body louse	strain: USDA	121224	JCVI_LOUSE_1.0	GCA_000006295.1	GenBank	From INSDC submitter	Scaffold	34097	110781312	2007-04-23	10993	PRJNA16223	SAMN02953682
Candida tropicalis MYA-3404		strain: MYA-3404	294747	ASM633v3	GCA_000006335.3	GenBank	From INSDC submitter	Scaffold	221103	14579835	2009-06-18	6441	PRJNA13675	SAMN02953608
Plasmodium knowlesi strain H		strain: H	5851	GCA_000006355.2	GCA_000006355.3	GenBank	From INSDC submitter	Chromosome	807908	24359384	2020-02-24	5501	PRJEA28803	SAMEA2272753
Perkinsus marinus ATCC 50983		strain: ATCC 50983	423536	JCVI_PMG_1.0	GCA_000006405.1	GenBank	From INSDC submitter	Scaffold	9619	86605074	2009-06-12	29475	PRJNA12737	SAMN02953677
Cryptosporidium hominis TU502		strain: TU502	353151	ASM642v2	GCA_000006425.2	GenBank		Scaffold	48000	8915516	2013-12-17		PRJNA13200	SAMN02952909
Debaryomyces hansenii CBS767		strain: CBS767	284592	ASM644v2	GCA_000006445.2	GenBank	From INSDC submitter	Chromosome	993818	12152486	2008-09-16	6698	PRJNA13832	SAMEA3138183
Cryptosporidium muris RN66		strain: RN66	441375	JCVI-cmg-v1.0	GCA_000006515.1	GenBank	From INSDC submitter	Scaffold	520347	9245251	2008-07-23	3981	PRJNA19553	SAMN02953683
Toxoplasma gondii ME49		strain: ME49	508771	TGA4	GCA_000006565.2	GenBank	From INSDC submitter	Chromosome	1219553	65633124	2013-08-02	8920	PRJNA28893	SAMN00255192
Aspergillus nidulans FGSC A4		strain: FGSC A4	227321	ASM1142v1	GCA_000011425.1	GenBank	From INSDC submitter	Chromosome	679860	29828291	2009-09-24	10597	PRJEA40559	SAMEA2272224
Zygosaccharomyces rouxii		strain: CBS 732	4956	ASM2636v1	GCA_000026365.1	GenBank	From INSDC submitter	Chromosome	1496342	9764635	2009-06-05	5404	PRJNA12502	SAMEA3138235
Candida dubliniensis CD36		strain: CD36	573826	ASM2694v1	GCA_000026945.1	GenBank	From INSDC submitter	Complete Genome	2267510	14618422	2009-02-16	6094	PRJEA34697	SAMEA2272258
Komagataella phaffii GS115		strain: GS115	644223	ASM2700v1	GCA_000027005.1	GenBank	From INSDC submitter	Chromosome	2394163	9216378	2009-05-25	5040	PRJEA37871	SAMEA2272385
Anolis carolinensis	green anole		28377	AnoCar2.0	GCA_000090745.2	GenBank		Chromosome	79867	1799126364	2011-01-10		PRJNA18787	SAMN02981230
Amphimedon queenslandica			400682	v1.0	GCA_000090795.1	GenBank		Scaffold	11817	166679601	2010-05-28		PRJNA39517	SAMN02743868
Micromonas commoda		strain: RCC299	296587	ASM9098v2	GCA_000090985.2	GenBank	From INSDC submitter	Complete Genome	1394110	20989326	2009-04-10	10125	PRJNA15676	SAMN03081421
Eremothecium gossypii ATCC 10895		strain: ATCC 10895	284811	ASM9102v4	GCA_000091025.4	GenBank	From INSDC submitter	Complete Genome	1519140	9095748	2010-10-18	5331	PRJNA13834	SAMN03081415
Cryptococcus neoformans var. neoformans JEC21		strain: JEC21	214684	ASM9104v1	GCA_000091045.1	GenBank	From INSDC submitter	Chromosome	1076541	19051922	2005-01-07	7004	PRJNA13856	SAMN03081418
Cyanidioschyzon merolae strain 10D		strain: 10D	280699	ASM9120v1	GCA_000091205.1	GenBank	From INSDC submitter	Complete Genome	859119	16546747	2007-07-11	6170	PRJNA10792	
Encephalitozoon cuniculi GB-M1		isolate: GB-M1	284813	ASM9122v2	GCA_000091225.2	GenBank	From INSDC submitter	Chromosome	218329	2497519	2017-03-09	2159	PRJNA13833	SAMEA3138295
Ostreococcus lucimarinus CCE9901		strain: CCE9901	436017	ASM9206v1	GCA_000092065.1	GenBank	From INSDC submitter	Complete Genome	708927	13204888	2007-04-10	7640	PRJNA13044	SAMN03081420
Lachancea thermotolerans CBS 6340		strain: CBS 6340	559295	ASM14280v1	GCA_000142805.1	GenBank	From INSDC submitter	Chromosome	1513537	10392862	2009-06-05	5511	PRJNA12499	SAMEA3138300
Thecamonas trahens ATCC 50062		strain: ATCC 50062	461836	TheTra_May2010	GCA_000142905.1	GenBank	From INSDC submitter	Scaffold	29076	28680627	2010-06-17	10657	PRJNA37929	SAMN02953775
Phytophthora infestans T30-4		strain: T30-4	403677	ASM14294v1	GCA_000142945.1	GenBank	From INSDC submitter	Scaffold	44484	228543505	2009-06-17	19344	PRJNA17665	SAMN02953670
Acyrthosiphon pisum	pea aphid	strain: LSR1	7029	Acyr_2.0	GCA_000142985.2	GenBank		Scaffold	28201	541675471	2010-06-24		PRJNA13657	SAMN00000061
Globisporangium ultimum DAOM BR144		strain: DAOM BR144	431595	pug	GCA_000143045.1	GenBank		Scaffold	123982	44913463	2010-06-25		PRJNA36503	SAMN02981261
Grosmannia clavigera kw1407		strain: kw1407	655863	Sanger-454-IlluminaPA_2.0	GCA_000143105.2	GenBank	From INSDC submitter	Scaffold	1213309	29794006	2011-01-31	8312	PRJNA39837	SAMN02953765
Grosmannia clavigera kw1407		strain: kw1407	655863	Sanger-454-IlluminaDA	GCA_000143125.1	GenBank		Scaffold	164278	29521668	2010-02-04		PRJNA39837	SAMN02953765
Schizophyllum commune H4-8		strain: H4-8	578458	v1.0	GCA_000143185.1	GenBank	From INSDC submitter	Scaffold	362437	38482026	2010-07-02	13190	PRJNA32757	SAMN02194201
Chaetomium globosum CBS 148.51		strain: CBS 148.51	306901	ASM14336v1	GCA_000143365.1	GenBank	From INSDC submitter	Scaffold	50267	34276485	2006-02-17	11232	PRJNA12795	SAMN02953614
Atta cephalotes		sex: male	12957	Attacep1.0	GCA_000143395.2	GenBank		Scaffold	14798	317671980	2010-10-27		PRJNA48091	SAMN02953774
Selaginella moellendorffii			88036	v1.0	GCA_000143415.2	GenBank	From INSDC submitter	Scaffold	119796	212315224	2010-07-06	34782	PRJNA13078	SAMN02981255
Volvox carteri f. nagariensis		strain: Eve	3068	v1.0	GCA_000143455.1	GenBank	From INSDC submitter	Scaffold	43981	137684403	2010-07-08	14437	PRJNA13109	SAMN02953753
Botrytis cinerea B05.10		strain: B05.10	332648	ASM14353v4	GCA_000143535.4	GenBank	From INSDC submitter	Complete Genome	2617329	42630066	2015-02-05	11703	PRJNA15632	SAMN02953628
Laccaria bicolor S238N-H82		strain: S238N-H82	486041	V1.0	GCA_000143565.1	GenBank	From INSDC submitter	Scaffold	71011	64877444	2008-01-11	18264	PRJNA19043	SAMN02769624
Caenorhabditis brenneri		strain: PB2801	135651	C_brenneri-6.0.1b	GCA_000143925.2	GenBank	From INSDC submitter	Scaffold	31887	190369721	2010-11-15	32257	PRJNA20035	SAMN02953693
Gaeumannomyces tritici R3-111a-1		strain: R3-111a-1	644352	Gae_graminis_V2	GCA_000145635.1	GenBank	From INSDC submitter	Scaffold	48943	43618147	2010-08-25	14749	PRJNA37931	SAMN02981249
Saccharomyces cerevisiae S288C		strain: S288C	559292	R64	GCA_000146045.2	GenBank	From INSDC submitter	Complete Genome	924431	12071326	2011-04-18	6400	PRJNA43747	
Encephalitozoon intestinalis ATCC 50506		strain: ATCC 50506	876142	ASM14646v1	GCA_000146465.1	GenBank	From INSDC submitter	Chromosome	196642	2216898	2010-08-16	2011	PRJNA42703	SAMN03081424
Meleagris gallopavo	turkey	breed: Aviagen turkey brand Nicholas breeding stock, isolate: NT-WF06-2002-E0010, sex: female	9103	Turkey_5.1	GCA_000146605.4	GenBank		Chromosome	27076	1115457962	2019-10-21		PRJNA42129	SAMN02981253
Nomascus leucogenys	northern white-cheeked gibbon	isolate: Asia; international studbook 0098, sex: female	61853	Nleu_3.0	GCA_000146795.3	GenBank		Chromosome	35148	2962060179	2012-12-08		PRJNA13975	SAMN02981257
Parastagonospora nodorum SN15		strain: SN15	321614	ASM14691v2	GCA_000146915.2	GenBank	From INSDC submitter	Scaffold	178897	37164226	2007-11-20	16088	PRJNA13754	SAMN02953619
Sclerotinia sclerotiorum 1980 UF-70		strain: 1980	665079	ASM14694v2	GCA_000146945.2	GenBank	From INSDC submitter	Scaffold	122550	38330312	2015-07-16	14715	PRJNA15530	SAMN02953621
Myotis lucifugus	little brown bat	sex: female	59463	Myoluc2.0	GCA_000147115.1	GenBank		Scaffold	64330	2034575300	2010-09-14		PRJNA16951	SAMN02953645
