NCBI_taxon_id	Genus	Species	Subspecies	Family	Bioplatforms_initiative	sequencing_status	translated_status	sample_collected	sample_acquired	in_progress	insdc_open	published	sequencing_status_arg	sequencing_status_agi	sequencing_status_gap	sequencing_status_gbr	sequencing_status_omg	sequencing_status_tsi
1569684	Grevillea	scapigera		Proteaceae	TSI	planned												
8371	Litoria	aurea		Hylidae	TSI	in progress	in_progress	TSI	TSI	TSI								in_progress
495877	Pristis	zijsron		Pristidae	TSI	in progress	in_progress	TSI	TSI	TSI								in_progress
271783	Lenwebbia	sp.		Myrtaceae	TSI	planned												
298684	Eidothea	hardeniana		Proteaceae	TSI	in progress	in_progress	TSI	TSI	TSI								in_progress
495145	Pseudophryne	pengilleyi		Myobatrachidae	TSI	in progress	in_progress	TSI	TSI	TSI								in_progress
720576	Acanthornis	magna	greeniana	Acanthizidae	TSI	planned												
442610	Pseudomys	gracilicaudatus		Muridae	TSI	planned												
72420	Euastacus	armatus		Parastacidae	TSI	in progress	in_progress	TSI	TSI	TSI								in_progress
2509230	Cryptoblepharus	egeriae		Scincidae	TSI	planned												
747221	Lepidodactylus	listeri		Gekkonidae	TSI	planned												
1931069	Pardalotus	quadragintus		Pardalotidae	TSI	planned												
678569	Lathamus	discolor		Psittacidae	TSI	planned												
63143	Dasyurus	geoffroii		Dasyuridae	TSI	planned												
35540	Pezoporus	wallicus	wallicus	Psittacidae	TSI	planned												
889875	Pezoporus	wallicus	flaviventris	Psittacidae	TSI	planned												
83699	Banksia	cuneata		Proteaceae	TSI	planned												
4565	Triticum	aestivum		Poaceae	bioplatforms_australia	complete	in_progress	bioplatforms_australia	bioplatforms_australia	bioplatforms_australia								
29760	vitis	vinifera	subs vinifera cv chardonnay	Vitaceae	bioplatforms_australia	complete	in_progress	bioplatforms_australia	bioplatforms_australia	bioplatforms_australia								
	Cophixalus	australis		Microhylidae	ARG	planned												
