ncbi_taxon_id	species	subspecies	family	sequencing_status	publication_id	long_list	other_priority	family_representative	translated_status	in_progress	insdc_open	published	sample_collected	sample_acquired
42288	Battus philenor	Battus philenor hirsuta	Papilionidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
203818	Bombus sonorus		Apidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
207650	Bombus vosnesenskii		Apidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
1176344	Brachycybe producta		Andrognathidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
577406	Branchinecta sandiegonensis		Branchinectidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
67771	Callipepla californica		Odontophoridae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
168615	Camponotus vicinus		Formicidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
13397	Carcharodon carcharias		Alopiidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
271503	Cebidichthys violaceus		Stichaeidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
190680	Chamaea fasciata		Sylviidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
985688	Charadrius nivosus		Charadriidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
51858	Charina bottae		Boidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
153825	Chrysomela aeneicollis		Chrysomelidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
304258	Clinocottus analis		Cottidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
72247	Colias behrii		Pieridae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
4123	Convolvulus arvensis		Convolvulaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
124745	Corynorhinus townsendii		Vespertilionidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
332624	Crotalus oreganus		Viperidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
114083	Cyanocitta stelleri		Corvidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
158804	Diadophis punctatus		Dipsadidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
121845	Diaphorina citri		Psyllidae			CCGP								
94247	Dipodomys merriami		Heteromyidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
1051066	Doryteuthis opalescens		Loliginidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
71008	Elgaria multicarinata		Anguidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
100190	Embiotoca jacksoni		Embiotocidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
34882	Enhydra lutris		Mustelidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
429211	Eriogonum inflatum		Polygonaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
3467	Eschscholzia californica		Papaveraceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
166745	Eucyclogobius newberryi		Gobiidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
995702	Euwallacea fornicatus		Curculionidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
93767	Fremontodendron californicum		Malvaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
43593	Gambelia wislizenii		Iguanidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
71755	Gila orcutti		Leuciscidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
6455	Haliotis cracherodii		Haliotidae	publication_available	https://doi.org/10.1093/jhered/esac024	CCGP			published	CCGP	CCGP	CCGP	CCGP	CCGP
6454	Haliotis rufescens		Haliotidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
225482	Helminthoglypta tudiculata		Helminthoglyptidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
62018	Hetaerina americana		Calopterygidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
36612	Heteromeles arbutifolia		Rosaceae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
47562	Hyliola regilla		Hylidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
42569	Iris macrosiphon		Iridaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
91212	Juglans californica		Juglandaceae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
371915	Laterallus jamaicensis		Rallidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
349391	Layia glandulosa		Asteraceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
355514	Leuresthes tenuis		Atherinopsidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
28973	Limnanthes douglasii		Limnanthaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
64432	Linanthus parryae		Polemoniaceae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
225169	Lottia scabra		Lottiidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
61384	Lynx rufus		Felidae	publication_available	https://doi.org/10.1093/jhered/esac031	CCGP			published	CCGP	CCGP	CCGP	CCGP	CCGP
329128	Marah fabacea		Cucurbitaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
1651146	Masticophis lateralis		Colubridae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
1100063	Megalorchestia californiana		Talitridae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
211600	Melanerpes formicivorus		Picidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
44397	Melospiza melodia		Passerellidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
29965	Metacarcinus magister		Cancridae			CCGP								
100895	Microtus californicus		Cricetidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
4155	Mimulus laciniatus		Phrymaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
9716	Mirounga angustirostris		Phocidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
159337	Myotis yumanensis		Vespertilionidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
6549	Mytilus californianus		Mytilidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
79376	Nemophila menziesii		Hydrophyllaceae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
160571	Neostapfia colusana		Poaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
117523	Nereocystis luetkeana		Laminariaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
9872	Odocoileus hemionus		Cervidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
100748	Oeneis chryxus	Oeneis chryxus ivallda	Nymphalidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
30962	Oncorhynchus clarkii		Salmonidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
251271	Orcuttia inaequalis		Poaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
6735	Panulirus interruptus		Palinuridae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
319776	Paralychthys caliifornicus		Paralichthyidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
161624	Passerculus sandwichensis		Passerellidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
230066	Penstemon newberryi		Plantaginaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
38669	Perognathus longimembris		Heteromyidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
10042	Peromyscus maniculatus		Cricetidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
372482	Phrynosoma blainvillii		Phrynosomatidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
55486	Phyllospadix torreyi        		Zosteraceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
7611	Pisaster brevispinus		Asteriidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
94850	Pituophis catenifer		Colubridae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
111540	Platanus racemosa		Platanaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
463524	Plestiodon gilberti		Scincidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
615972	Polyergus mexicanus		Formicidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
7064	Popillia japonica		Scarabaeidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
3694	Populus trichocarpa		Salicaceae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
262038	Prenolepis imparis		Formicidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
9696	Puma concolor		Felidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
1266315	Quercus berberidifolia		Fagaceae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
97696	Quercus engelmannii		Fagaceae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
60424	Quercus tomentella		Fagaceae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
67830	Quercus wislizeni		Fagaceae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
156759	Rallus limicola		Rallidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
156759	Reithrodontomys megalotis		Cricetidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
157171	Ramalina menziesii		Ramalinaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
59496	Rubus parviflorus		Rosaceae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
8519	Sceloporus occidentalis		Phrynosomatidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
72073	Sebastes entomelas		Scorpaenidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
72093	Sebastes paucispinis		Sebastidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
371924	Selasphorus sasin		Trochilidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
241346	Semicossyphus pulcher		Labridae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
123631	Setophaga petechia		Parulidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
71773	Siphateles bicolor		Leuciscidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
126318	Sorex ornatus		Soricidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
228670	Spea hammondii		Pelobatidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
201991	Strix occidentalis		Strigidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
133113	Tamalia coweni		Aphididae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
311010	Tetraclita rubescens		Tetraclitidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
156854	Tetragnatha versicolor		Tetragnathidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
35019	Thamnophis sirtalis		Colubridae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
10013	Thomomys bottae		Geomyidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
345375	Tivela stultorum		Veneridae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
300845	Trebouxia decolorans		Trebouxiaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
160569	Tuctoria greenei		Poaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
3438	Umbellularia californica		Lauraceae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
507508	Uroctonus mordax		Chactidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
9643	Ursus americanus		Ursidae	insdc_submitted		CCGP			insdc_open	CCGP	CCGP		CCGP	CCGP
	Aphelocoma californica		Corvidae	in_assembly		CCGP			in_progress	CCGP			CCGP	CCGP
	Apodemia mormo		Riodinidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
	Bromus tectorum		Poaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
	Carduus pycnocephalus		Asteraceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
	Centaurea solstitialis		Asteraceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
	Cynara cardunculus		Asteraceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
	Dicheirus dilatatus		Carabidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
	Euphydryas editha		Nymphalidae			CCGP								
	Opuntia basilaris		Cactaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
	Oreortyx pictus		Odontophoridae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
	Parnassius behrii		Papilionidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
	Phragmites australis		Poaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
	Quercus agrifolia		Fagaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
	Quercus parvula		Fagaceae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
	Rhinichthys osculus		Leuciscidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
	Trigonoscuta pilosa		Curculionidae	data_generation		CCGP			in_progress	CCGP			CCGP	CCGP
