available_samples_ready	common_name	desc	family	family_representative	family_representative_link	genome_notes	genus	infra_epithet	lab_work_status	marked_done	material_status	order_group	prefix	project_code	sample_count	scientific_name	sequencing_material_status_updated_at	sequencing_status	species_id	submitted_gals	taxon_group	taxon_id	taxon_uri	tissue_depleted	tissue_status	sequencing_status_simple	sequencing_status_dtol	sequencing_status_asg	sequencing_status_ergapi	sequencing_status_vgp	sequencing_status_blax	sequencing_status_durb	sequencing_status_rnd	sequencing_status_lawn	sequencing_status_berri	sequencing_status_meier	sequencing_status_misk	sample_collected	sample_acquired	in_progress
No	The spectacle	ACCEPTED	Noctuidae				Abrostola		[{'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-25T21:23:10.748116'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2021-11-25T20:52:14.866704'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2021-02-02T10:48:36.405862'}]			Lepidoptera	ilAbrTrip	['DTOL']	2	Abrostola tripartita		[{'updated_at': '2021-12-19T21:20:46.842461', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2022-10-05T13:59:55.208535', 'name': 'PACBIO', 'status': 'COMPLETE'}]	279	UNIVERSITY OF OXFORD	Arthropoda	938171			Unk	in_progress	in_progress											DTOL	DTOL	DTOL
No	dark spectacle	ACCEPTED	Noctuidae				Abrostola		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-06-08T10:25:30.109421'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2022-09-01T11:41:21.982462'}]			Lepidoptera	ilAbrTril	['DTOL']	2	Abrostola triplasia		[{'updated_at': '2022-10-05T14:02:10.983789', 'name': 'HIC', 'status': 'COMPLETE'}]	2946	UNIVERSITY OF OXFORD	Arthropoda	254365		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	COLONIAL JELLYFISH	ACCEPTED	Abylidae				Abylopsis		[{'status': 'NOVEL', 'updated_at': '2023-07-14T15:36:31.817687'}]			Siphonophorae	jhAbyTetr	['ASG']	4	Abylopsis tetragona			5659	UNIVERSITY OF CALIFORNIA	Cnidaria	316209			Unk	sample_acquired		sample_acquired										ASG	ASG	
Yes		ACCEPTED	Rosaceae				Acaena		[{'status': 'HIC_SUBMITTED', 'updated_at': '2023-10-04T19:00:12.49667'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2023-10-05T03:20:06.747598'}]			Rosales	drAcaOval	['DTOL']	3	Acaena ovalifolia		[{'updated_at': '2023-10-04T19:00:12.56295', 'name': 'HIC', 'status': 'IN_PROGRESS'}, {'updated_at': '2023-10-05T03:20:06.817899', 'name': 'PACBIO', 'status': 'IN_PROGRESS'}]	6840	ROYAL BOTANIC GARDEN EDINBURGH	Streptophyta	281872		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	NA	ACCEPTED	Curculionidae				Acalles		[{'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-12-13T10:17:00.066585'}, {'status': 'TISSUE_SUBSAMPLE', 'updated_at': '2022-05-12T13:39:09.260017'}]			Coleoptera	icAcaMise	['DTOL']	3	Acalles misellus		[{'updated_at': '2022-12-13T10:17:00.151773', 'name': 'PACBIO', 'status': 'IN_PROGRESS'}]	2826	UNIVERSITY OF OXFORD	Arthropoda	346680			Unk	in_progress	in_progress											DTOL	DTOL	DTOL
No		ACCEPTED	Tingidae				Acalypta		[{'status': 'DNA_EXTRACTED', 'updated_at': '2021-06-21T17:00:29.984118'}, {'status': 'TISSUE_SUBSAMPLE', 'updated_at': '2022-05-17T19:11:57.674246'}]		RECOLLECTION_REQUIRED	Hemiptera	ihAcaParv	['DTOL']	1	Acalypta parvula			1415	NATURAL HISTORY MUSEUM	Arthropoda	1400082		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	boot sponge	ACCEPTED	Rossellidae				Acanthascus		[{'status': '10X_SUBMITTED', 'updated_at': '2021-11-24T23:26:00.471329'}, {'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-25T00:08:58.030395'}]			Lyssacinosida	ohAcaDaws	['ASG']	10	Acanthascus dawsoni		[{'updated_at': '2021-11-25T00:08:58.030395', 'name': 'HIC', 'status': 'IN_PROGRESS'}, {'updated_at': '2021-12-19T21:26:11.647365', 'name': '10X', 'status': 'COMPLETE'}]	1440	GEOMAR HELMHOLTZ CENTRE	Porifera	472225		False	Yes	in_progress		in_progress										ASG	ASG	ASG
Yes	Spiny cockle	ACCEPTED	Cardiidae				Acanthocardia		[{'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-25T00:07:53.756309'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-11-01T15:17:38.371144'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2022-10-20T11:15:57.969847'}]			Cardiida	xbAcaAcul	['DTOL']	10	Acanthocardia aculeata		[{'updated_at': '2021-12-19T21:22:38.388094', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2022-11-01T15:17:38.408927', 'name': 'PACBIO', 'status': 'IN_PROGRESS'}]	1611	MARINE BIOLOGICAL ASSOCIATION	Mollusca	1699427		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
No	tuberculate cockle	ACCEPTED	Cardiidae				Acanthocardia		[{'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-12-13T04:20:17.642826'}]		RECOLLECTION_REQUIRED	Cardiida	xbAcaTube	['DTOL']	1	Acanthocardia tuberculata	2023-02-01 14:47:55	[{'updated_at': '2022-12-13T04:20:17.724771', 'name': 'PACBIO', 'status': 'IN_PROGRESS'}]	4098	MARINE BIOLOGICAL ASSOCIATION	Mollusca	385555		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	A chiton	ACCEPTED	Acanthochitonidae	{DTOL}	https://goat.genomehubs.org/preview/search?query=tax_tree%28126420%29&fields=HabReg_2017%2CMarHabReg-2017%2Cwaca_1981%2Cisb_wildlife_act_1976%2CProtection_of_Badgers_Act_1992%2CECHabs92&summaryValues=count&result=taxon		Acanthochitona		[{'status': '10X_SUBMITTED', 'updated_at': '2021-11-24T23:24:20.1849'}, {'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-25T00:09:17.67119'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2021-11-24T23:24:20.1849'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2022-08-15T12:10:10.310358'}]			Chitonida	xpAcaCrin	['DTOL']	17	Acanthochitona crinita		[{'updated_at': '2021-12-19T21:21:09.861772', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2021-11-24T23:24:20.1849', 'name': 'PACBIO', 'status': 'IN_PROGRESS'}, {'updated_at': '2021-12-19T21:23:03.624805', 'name': '10X', 'status': 'COMPLETE'}]	846	MARINE BIOLOGICAL ASSOCIATION,NATURAL HISTORY MUSEUM,SANGER INSTITUTE	Mollusca	126420			Unk	in_progress	in_progress											DTOL	DTOL	DTOL
Yes		ACCEPTED	Onchidorididae	{DTOL}	https://goat.genomehubs.org/preview/search?query=tax_tree%2871285%29&fields=HabReg_2017%2CMarHabReg-2017%2Cwaca_1981%2Cisb_wildlife_act_1976%2CProtection_of_Badgers_Act_1992%2CECHabs92&summaryValues=count&result=taxon		Acanthodoris		[{'status': 'PACBIO_SUBMITTED', 'updated_at': '2023-04-05T18:00:40.430092'}]			Nudibranchia	xgAcaPilo	['DTOL']	2	Acanthodoris pilosa		[{'updated_at': '2023-04-05T18:00:40.5153', 'name': 'PACBIO', 'status': 'IN_PROGRESS'}]	5391	NATURAL HISTORY MUSEUM	Mollusca	71285		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	Hawthorn shieldbug	ACCEPTED	Acanthosomatidae	{DTOL}	https://goat.genomehubs.org/preview/search?query=tax_tree%28483950%29&fields=HabReg_2017%2CMarHabReg-2017%2Cwaca_1981%2Cisb_wildlife_act_1976%2CProtection_of_Badgers_Act_1992%2CECHabs92&summaryValues=count&result=taxon		Acanthosoma		[{'status': '10X_SUBMITTED', 'updated_at': '2021-11-24T23:41:14.310716'}, {'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-25T00:14:58.932606'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2021-11-24T23:41:14.310716'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2023-09-22T11:20:54.165383'}]			Hemiptera	ihAcaHaem	['DTOL']	4	Acanthosoma haemorrhoidale		[{'updated_at': '2021-12-19T21:21:36.779004', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2022-10-05T13:59:54.466499', 'name': 'PACBIO', 'status': 'COMPLETE'}, {'updated_at': '2021-12-19T21:26:27.044848', 'name': '10X', 'status': 'COMPLETE'}]	1476	NATURAL HISTORY MUSEUM,UNIVERSITY OF OXFORD	Arthropoda	483950			Unk	in_progress	in_progress											DTOL	DTOL	DTOL
No	Yellow-barred brindle	ACCEPTED	Geometridae				Acasis		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-06-08T10:25:28.64688'}]		RECOLLECTION_REQUIRED	Lepidoptera	ilAcaVire	['DTOL']	1	Acasis viretata	2022-10-27 19:18:06	[{'updated_at': '2022-06-08T10:25:28.691748', 'name': 'HIC', 'status': 'IN_PROGRESS'}]	2926	UNIVERSITY OF OXFORD	Arthropoda	934820		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	Northern goshawk	ACCEPTED	Accipitridae				Accipiter		[{'status': '10X_SUBMITTED', 'updated_at': '2021-11-24T23:38:52.725804'}, {'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-24T23:39:30.05984'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2021-11-24T23:38:52.725804'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2022-07-11T16:11:55.620351'}]			Accipitriformes	bAccGen	['DTOL']	30	Accipiter gentilis		[{'updated_at': '2021-12-19T21:22:01.342296', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2021-12-19T21:19:29.20182', 'name': 'PACBIO', 'status': 'COMPLETE'}, {'updated_at': '2021-12-19T21:25:15.396894', 'name': '10X', 'status': 'COMPLETE'}]	1397	SANGER INSTITUTE	Chordata	8957			Unk	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	Water veneer	ACCEPTED	Crambidae				Acentria		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-06-08T10:21:44.877365'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-06-08T10:27:22.653961'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2022-07-21T12:25:14.754881'}]			Lepidoptera	ilAceEphe	['DTOL']	5	Acentria ephemerella		[{'updated_at': '2022-06-08T10:29:07.11788', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2022-09-07T12:43:15.584061', 'name': 'PACBIO', 'status': 'COMPLETE'}]	2873	UNIVERSITY OF OXFORD	Arthropoda	1666818			Unk	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	hedge maple	ACCEPTED	Sapindaceae	{DTOL}	https://goat.genomehubs.org/preview/search?query=tax_tree%2866205%29&fields=HabReg_2017%2CMarHabReg-2017%2Cwaca_1981%2Cisb_wildlife_act_1976%2CProtection_of_Badgers_Act_1992%2CECHabs92&summaryValues=count&result=taxon		Acer		[{'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-25T00:06:36.803296'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2021-11-24T23:43:31.422325'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2023-06-23T12:20:23.650004'}]			Sapindales	drAceCamp	['DTOL']	8	Acer campestre		[{'updated_at': '2021-12-19T21:22:04.541877', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2022-10-17T07:40:02.778574', 'name': 'PACBIO', 'status': 'COMPLETE'}]	567	ROYAL BOTANIC GARDENS KEW	Tracheophyta	66205		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	sycamore maple	ACCEPTED	Sapindaceae				Acer		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-10-24T19:00:13.65758'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-11-08T19:00:08.877842'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2023-06-16T11:25:13.52087'}]			Sapindales	drAcePsed	['DTOL']	8	Acer pseudoplatanus		[{'updated_at': '2023-02-08T08:48:30.967183', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2022-11-08T19:00:08.919013', 'name': 'PACBIO', 'status': 'IN_PROGRESS'}]	1842	ROYAL BOTANIC GARDENS KEW	Streptophyta	4026		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	NA	ACCEPTED	Ichneumonidae				Achaius		[{'status': 'PACBIO_SUBMITTED', 'updated_at': '2023-06-21T03:20:17.974881'}]			Hymenoptera	iyAchOrat	['DTOL']	2	Achaius oratorius		[{'updated_at': '2023-10-23T07:59:25.276385', 'name': 'PACBIO', 'status': 'COMPLETE'}]	6429	UNIVERSITY OF OXFORD	Arthropoda	493638			Unk	in_progress	in_progress											DTOL	DTOL	DTOL
No	Spiny Sea spider	ACCEPTED	Ammotheidae	{DTOL}	https://goat.genomehubs.org/preview/search?query=tax_tree%2861895%29&fields=HabReg_2017%2CMarHabReg-2017%2Cwaca_1981%2Cisb_wildlife_act_1976%2CProtection_of_Badgers_Act_1992%2CECHabs92&summaryValues=count&result=taxon		Achelia		[{'status': 'PACBIO_SUBMITTED', 'updated_at': '2023-02-22T04:20:19.689183'}]		RECOLLECTION_REQUIRED	Pantopoda	qyAchEchi	['DTOL']	1	Achelia echinata	2023-02-21 14:30:31	[{'updated_at': '2023-02-22T04:20:19.777252', 'name': 'PACBIO', 'status': 'IN_PROGRESS'}]	4777	MARINE BIOLOGICAL ASSOCIATION	Arthropoda	61895		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
Yes		ACCEPTED	Asteraceae				Achillea		[{'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-10-04T11:07:43.82933'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2023-07-21T12:15:10.735202'}, {'status': 'TISSUE_SUBSAMPLE', 'updated_at': '2022-07-26T14:55:35.608595'}]			Asterales	daAchMill	['DTOL']	4	Achillea millefolium		[{'updated_at': '2023-07-14T08:02:58.184706', 'name': 'PACBIO', 'status': 'COMPLETE'}]	2467	ROYAL BOTANIC GARDENS KEW	Tracheophyta	13329		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
Yes		ACCEPTED	Asteraceae				Achillea		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-06-08T10:24:13.478731'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-10-04T11:07:55.423362'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2023-07-21T12:15:13.08202'}]			Asterales	daAchPtar	['DTOL']	4	Achillea ptarmica		[{'updated_at': '2022-06-08T10:30:14.97883', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2022-10-04T11:07:55.45913', 'name': 'PACBIO', 'status': 'IN_PROGRESS'}]	2982	ROYAL BOTANIC GARDEN EDINBURGH	Tracheophyta	133233		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
Yes	Yellow Horned	ACCEPTED	Drepanidae				Achlya		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-10-04T10:55:12.158228'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-10-04T11:07:15.276851'}]			Lepidoptera	ilAchFlav	['DTOL']	4	Achlya flavicornis		[{'updated_at': '2022-10-19T07:36:03.560621', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2022-10-17T07:40:09.200164', 'name': 'PACBIO', 'status': 'COMPLETE'}]	4157	UNIVERSITY OF OXFORD	Arthropoda	753485		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
No	Star devouring scaleworm	ACCEPTED	Polynoidae				Acholoe		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-06-08T10:24:20.62998'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-11-01T15:17:48.374252'}, {'status': 'RNA_EXTRACTED', 'updated_at': '2023-02-08T13:20:34.18726'}]			Phyllodocida	wpAchSqua	['DTOL']	3	Acholoe squamosa		[{'updated_at': '2022-06-08T10:30:15.271991', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2023-01-30T08:56:00.9089', 'name': 'PACBIO', 'status': 'COMPLETE'}]	3513	MARINE BIOLOGICAL ASSOCIATION	Annelida	2922911		False	Yes	in_progress	in_progress											DTOL	DTOL	DTOL
No	NA	ACCEPTED	Tephritidae				Acidia		[{'status': 'HIC_SUBMITTED', 'updated_at': '2023-01-18T20:00:17.787677'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2023-01-17T04:20:15.805273'}]		RECOLLECTION_REQUIRED	Diptera	idAciCogn	['DTOL']	1	Acidia cognata	2023-02-21 14:16:09	[{'updated_at': '2023-04-19T12:06:46.258474', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2023-01-17T04:20:15.893302', 'name': 'PACBIO', 'status': 'IN_PROGRESS'}]	5174	UNIVERSITY OF OXFORD	Arthropoda	103409		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
No		ACCEPTED	Ichneumonidae				Aclastus		[{'status': 'HIC_SUBMITTED', 'updated_at': '2022-11-07T20:00:09.531306'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2022-11-09T04:20:09.990821'}]		RECOLLECTION_REQUIRED	Hymenoptera	iyAclSolu	['DTOL']	2	Aclastus solutus	2023-02-21 14:37:42	[{'updated_at': '2023-01-26T08:46:19.151725', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2022-11-09T04:20:10.028416', 'name': 'PACBIO', 'status': 'IN_PROGRESS'}]	4583	NATURAL HISTORY MUSEUM	Arthropoda	1667461		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
No	Ginger Button	ACCEPTED	Tortricidae				Acleris		[{'status': 'HIC_SUBMITTED', 'updated_at': '2023-06-19T19:00:11.214777'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2023-06-21T03:20:15.223472'}]			Lepidoptera	ilAclAspe	['DTOL']	1	Acleris aspersana		[{'updated_at': '2023-10-03T08:14:45.328721', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2023-06-21T03:20:15.291218', 'name': 'PACBIO', 'status': 'IN_PROGRESS'}]	6443	UNIVERSITY OF OXFORD	Arthropoda	758704		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
No	Tufted Button	ACCEPTED	Tortricidae				Acleris		[{'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-24T23:22:08.064539'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2021-11-24T23:36:26.487625'}]		RECOLLECTION_REQUIRED	Lepidoptera	ilAclCris	['DTOL']	2	Acleris cristana	2023-09-11 13:08:55	[{'updated_at': '2021-12-19T21:21:19.780723', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2022-12-22T08:52:23.406661', 'name': 'PACBIO', 'status': 'COMPLETE'}]	1181	UNIVERSITY OF OXFORD	Arthropoda	758705		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
No	Notch-wing Button	ACCEPTED	Tortricidae				Acleris		[{'status': '10X_SUBMITTED', 'updated_at': '2021-11-24T23:36:27.571644'}, {'status': 'HIC_SUBMITTED', 'updated_at': '2021-11-24T23:28:11.529047'}, {'status': 'PACBIO_SUBMITTED', 'updated_at': '2021-11-24T23:36:27.571644'}]			Lepidoptera	ilAclEmar	['DTOL']	2	Acleris emargana		[{'updated_at': '2021-12-19T21:22:21.466975', 'name': 'HIC', 'status': 'COMPLETE'}, {'updated_at': '2021-12-19T21:19:19.041564', 'name': 'PACBIO', 'status': 'COMPLETE'}, {'updated_at': '2021-12-19T21:24:37.961322', 'name': '10X', 'status': 'COMPLETE'}]	1155	UNIVERSITY OF OXFORD	Arthropoda	758706		True	No	in_progress	in_progress											DTOL	DTOL	DTOL
