ncbi_taxon_id	species	phylum	class	family	target_list_status	sequencing_status	publication_id	long_list	other_priority	family_representative	translated_status	insdc_open	published	sample_collected	sample_acquired	in_progress
6347	Owenia fusiformis	Annelida	Polychaeta	Owniidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
6565	Crassostrea virginica	Mollusca	Bivalvia	Ostreidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
45954	Dreissena polymorpha	Mollusca	Bivalvia	Dreissenidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
1735272	Gigantopelta aegis	Mollusca	Gastropoda	Peltospiridae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
6596	Mercenaria mercanaria	Mollusca	Bivalvia	Veneridae	family_representative	publication_available	10.1186/s12915-020-00943-9	GIGA		GIGA	published	GIGA	GIGA	GIGA	GIGA	GIGA
2607531	Octopus sinensis	Mollusca	Cephalopoda	Octopodidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
6579	Pecten maximus	Mollusca	Bivalvia	Pectinidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
400727	Pomacea canaliculata	Mollusca	Gastropoda	Ampullariidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
133434	Acanthaster planci	Echinodermata	Asteroidea	Acanthasteridae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
1529436	Anneissia japonica	Echinodermata	Crinoidea	Comatulidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
307972	Apostichopus japonicus	Echinodermata	Holothuroidea	Stichopodidae	family_representative	publication_available	10.1371/journal.pbio.2003790	GIGA		GIGA	published	GIGA	GIGA	GIGA	GIGA	GIGA
7604	Asterias rubens	Echinodermata	Asteroidea	Asteriidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
7654	Lytechinus variegatus	Echinodermata	Echinoidea	Toxopneustidae	family_representative	publication_available	10.1093/gbe/evaa101	GIGA		GIGA	published	GIGA	GIGA	GIGA	GIGA	GIGA
46514	Patiria miniata	Echinodermata	Asteroidea	Asterinidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
7668	Strongylocentrotus purpuratus	Echinodermata	Echinoidea	Strongylocentrotidae	family_representative	publication_available	10.1126/science.1133609	GIGA		GIGA	published	GIGA	GIGA	GIGA	GIGA	GIGA
7574	Lingula anatina	Brachiopoda	Lingulata	Lingulidae	family_representative	publication_available	10.1038/ncomms9301	GIGA		GIGA	published	GIGA	GIGA	GIGA	GIGA	GIGA
10212	Bugula neritina	Bryozoa	Gymnolaemata	Bugulidae	family_representative	publication_available	10.1038/s41597-020-00684-y	GIGA		GIGA	published	GIGA	GIGA	GIGA	GIGA	GIGA
10224	Saccoglossus kowalevskii	Hemichordata	Enteropneusta	Harrimaniidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
88925	Lineus longissimus	Nemertea	Pilidiophora	Lineidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
49087	Euperipatoides rowelli	Onychophora	Udeonychophora	Peripatopsidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
115415	Phoronis australis	Phoronida		Phoronidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
10228	Trichoplax adhaerens	Placozoa		Trichoplacidae	family_representative	publication_available	10.1038/nature07191	GIGA		GIGA	published	GIGA	GIGA	GIGA	GIGA	GIGA
37621	Priapulus caudatus	Priapulida	Priapulimorpha	Priapulidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
399803	Dicyema japonicum	Dicyemida		Dicyemidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
2072580	Hypsibius exemplaris	Tardigrada	Eutardigrada	Hypisibiidae	family_representative	publication_available	10.1371/journal.pbio.2002266	GIGA		GIGA	published	GIGA	GIGA	GIGA	GIGA	GIGA
947166	Ramazzottius varieornatus	Tardigrada	Eutardigrada	Ramazzottiidae	family_representative	publication_available	10.1038/ncomms12808	GIGA		GIGA	published	GIGA	GIGA	GIGA	GIGA	GIGA
442651	Hofstenia miamia	Xenacoelomorpha		Hofsteniidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
104782	Adineta vaga	Rotifera	Eurotataoria	Adinetidae	family_representative	insdc_open		GIGA		GIGA	insdc_open	GIGA		GIGA	GIGA	GIGA
79923	Clonorchis sinensis	Platyhelminthes	Trematoda	Opisthorchiidae	family_representative	publication_available	10.1016/j.ygeno.2021.03.001	GIGA		GIGA	published	GIGA	GIGA	GIGA	GIGA	GIGA
6185	Schistosoma haematobium	Platyhelminthes	Trematoda	Schistosomatidae	family_representative	publication_available	10.1093/gigascience/giz108	GIGA		GIGA	published	GIGA	GIGA	GIGA	GIGA	GIGA
