NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status	synonym	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
64491	Mucor	fragilis	Mucoraceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
64493	Mucor	hiemalis	Mucoraceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
1091291	Mucor	lanceolatus	Mucoraceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
97098	Mucor	plumbeus	Mucoraceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
4841	Mucor	racemosus	Mucoraceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
64523	Podila	humilis	Mortierellaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
58291	Rhizopus	microsporus	Mucoraceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
64495	Rhizopus	oryzae	Mucoraceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
64495	Rhizopus	arrhizus	Mucoraceae	ebpn_other_priority			EBPN		EBPN						
4846	Rhizopus	stolonifer	Rhizopodaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
41833	Umbelopsis	ramanniana	Umbelopsidaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
44442	Umbelopsis	vinacea	Umbelopsidaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
8074	Lophius	piscatorius	Lophiidae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
984904	Diamesa	bohemani	Chironomidae	ebpn_other_priority	in_progress		EBPN		EBPN	EBPN	EBPN	EBPN			
984905	Diamesa	hyperborea	Chironomidae	ebpn_other_priority	in_progress		EBPN		EBPN	EBPN	EBPN	EBPN			
2578515	Diamesa	serratosioi	Chironomidae	ebpn_other_priority	in_progress		EBPN		EBPN	EBPN	EBPN	EBPN			
128184	Sphagnum	balticum	Sphagnaceae	ebpn_other_priority	in_progress		EBPN		EBPN	EBPN	EBPN	EBPN			
128190	Sphagnum	compactum	Sphagnaceae	ebpn_other_priority	in_progress		EBPN		EBPN	EBPN	EBPN	EBPN			
128206	Sphagnum	jensenii	Sphagnaceae	ebpn_other_priority	in_progress		EBPN		EBPN	EBPN	EBPN	EBPN			
128247	Sphagnum	tenellum	Sphagnaceae	ebpn_other_priority	in_progress		EBPN		EBPN	EBPN	EBPN	EBPN			
128251	Sphagnum	troendelagicum	Sphagnaceae	ebpn_other_priority	in_progress		EBPN		EBPN	EBPN	EBPN	EBPN			
167356	Inonotus	obliquus	Hymenochaetaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
1425294	Anelasma	squalicola	Pollicipedidae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
84120	Anoplodium	stichopi	Umagillidae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
648166	Etmopterus	spinax	Etmopteridae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
87148	Fucus	serratus	Fucaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
84115	Meara	stichopi	Nemertodermatidae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
1707561	Parastichopus	tremulus	Stichopodidae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
2665213	Triangulus	munidae	Lernaeodiscidae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
147940	Asplenium	viride	Aspleniaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
125796	Benthosema	glaciale	Myctophidae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
13385	Calluna	vulgaris	Ericaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
127875	Cinclus	cinclus	Cinclidae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
7748	Lampetra	fluviatilis	Petromyzontidae	ebpn_other_priority	in_progress		EBPN		EBPN	EBPN	EBPN	EBPN			
7750	Lampetra	planeri	Petromyzontidae	ebpn_other_priority	in_progress		EBPN		EBPN	EBPN	EBPN	EBPN			
52792	Luscinia	svecica	Turdidae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
3752	Malus	sylvestris	Rosaceae	ebpn_other_priority	in_progress		EBPN		EBPN	EBPN	EBPN	EBPN			
221202	Pilosella	lactucella	Asteraceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
87701	Poa	alpina	Poaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
97307	Prunus	padus	Rosaceae	ebpn_other_priority	in_progress		EBPN		EBPN	EBPN	EBPN	EBPN			
228257	Rangifer	tarandus	Cervidae	ebpn_other_priority	in_progress	Rangifer tarandus platyrynchus	EBPN		EBPN	EBPN	EBPN	EBPN			
57936	Rubus	chamaemorus	Rosaceae	ebpn_other_priority	in_progress		EBPN		EBPN	EBPN	EBPN	EBPN			
102720	Saxifraga	cotyledon	Saxifragaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
2594091	Stygocapitella	zecai	Parergodrilidae	ebpn_other_priority	in_progress		EBPN		EBPN	EBPN	EBPN	EBPN			
669863	Viola	epipsila	Violaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
86329	Rangifer	tarandus	Cervidae	ebpn_other_priority		Rangifer tarandus tarandus	EBPN		EBPN						
549142	Trachusa	byssina	Megachilidae	ebpn_other_priority			EBPN		EBPN						
2926	Alexandrium	tamarense	Pyrocystaceae	ebpn_other_priority			EBPN		EBPN						
82379	Amphiura	chiajei	Amphiuridae	ebpn_other_priority			EBPN		EBPN						
37303	Chara	hispida	Characeae	ebpn_other_priority			EBPN		EBPN						
412156	Chrysochromulina	leadbeateri	Chrysochromulinaceae	ebpn_other_priority			EBPN		EBPN						
132682	Daphnia	cristata	Daphniidae	ebpn_other_priority			EBPN		EBPN						
603589	Ephemerella	aurivillii	Ephemerellidae	ebpn_other_priority			EBPN		EBPN						
52639	Gammarus	lacustris	Gammaridae	ebpn_other_priority			EBPN		EBPN						
397554	Heteromastus	filiformis	Capitellidae	ebpn_other_priority			EBPN		EBPN						
261864	Mysis	relicta	Mysidae	ebpn_other_priority			EBPN		EBPN						
1181720	Nitzschia	frigida	Bacillariaceae	ebpn_other_priority			EBPN		EBPN						
72548	Prymnesium	polylepis	Prymnesiaceae	ebpn_other_priority			EBPN		EBPN						
2824852	Pseudopolydora	nordica	Spionidae	ebpn_other_priority			EBPN		EBPN						
997042	Pseudopolydora	paucibranchiata	Spionidae	ebpn_other_priority			EBPN		EBPN						
41457	Skeletonema	pseudocostatum	Skeletonemataceae	ebpn_other_priority			EBPN		EBPN						
4829	Absidia	glauca	Cunninghamellaceae	ebpn_other_priority			EBPN		EBPN						
9852	Alces	alces	Cervidae	ebpn_other_priority			EBPN		EBPN						
858854	Cortinarius	alpinus	Cortinariaceae	ebpn_other_priority			EBPN		EBPN						
75324	Cortinarius	caperatus	Cortinariaceae	ebpn_other_priority			EBPN		EBPN						
42458	Lichtheimia	corymbifera	Lichtheimiaceae	ebpn_other_priority			EBPN		EBPN						
64522	Linnemannia	gamsii	Mortierellaceae	ebpn_other_priority			EBPN		EBPN						
589210	Mortierella	globalpina	Mortierellaceae	ebpn_other_priority			EBPN		EBPN						
439312	Mucor	flavus	Mucoraceae	ebpn_other_priority			EBPN		EBPN						
230758	Strobilurus	esculentus	Physalacriaceae	ebpn_other_priority			EBPN		EBPN						
41251	Strobilurus	tenacellus	Physalacriaceae	ebpn_other_priority			EBPN		EBPN						
879067	Xestobium	rufovillosum	Ptinidae	ebpn_other_priority			EBPN		EBPN						
454130	Aspergillus	calidoustus	Aspergillaceae	ebpn_other_priority			EBPN		EBPN						
9770	Balaenoptera	physalus	Balaenopteridae	ebpn_other_priority			EBPN		EBPN						
311540	Caligus	curtus	Caligidae	ebpn_other_priority			EBPN		EBPN						
6759	Carcinus	maenas	Carcinidae	ebpn_other_priority			EBPN		EBPN						
311539	Lepeophtheirus	pectoralis	Caligidae	ebpn_other_priority			EBPN		EBPN						
48144	Meganyctiphanes	norvegica	Euphausiidae	ebpn_other_priority			EBPN		EBPN						
2528854	Nectonema	munidae	Nectonematidae	ebpn_other_priority			EBPN		EBPN						
29073	Ursus	maritimus	Ursidae	ebpn_other_priority			EBPN		EBPN						
3516	Alnus	incana	Betulaceae	ebpn_other_priority			EBPN		EBPN						
48032	Carum	carvi	Apiaceae	ebpn_other_priority			EBPN		EBPN						
669661	Cochlearia	groenlandica	Brassicaceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
49954	Gentiana	purpurea	Gentianaceae	ebpn_other_priority			EBPN		EBPN						
20804	Oxytropis	deflexa	Fabaceae	ebpn_other_priority		Oxytropis deflexa norvegica	EBPN		EBPN						
76058	Somateria	mollissima	Anatidae	ebpn_other_priority			EBPN		EBPN						
502521	Viola	rupestris	Violaceae	ebpn_other_priority			EBPN		EBPN						
315322	Amblyraja	hyperborea	Rajidae	ebpn_other_priority			EBPN		EBPN						
7671	Strongylocentrotus	droebachiensis	Strongylocentrotidae	ebpn_other_priority			EBPN		EBPN						
44932	Boreogadus	saida	Gadidae	ebpn_other_priority			EBPN		EBPN						
109591	Cardamine	bellidifolia	Brassicaceae	ebpn_other_priority			EBPN		EBPN						
13447	Conium	maculatum	Apiaceae	ebpn_other_priority			EBPN		EBPN						
1589806	Cortinarius	inexspectatus	Cortinariaceae	ebpn_other_priority			EBPN		EBPN						
2558181	Cortinarius	mariekristinae	Cortinariaceae	ebpn_other_priority			EBPN		EBPN						
418151	Cortinarius	osloensis	Cortinariaceae	ebpn_other_priority			EBPN		EBPN						
304739	Cortinarius	tiliae	Cortinariaceae	ebpn_other_priority			EBPN		EBPN						
889777	Cuphophyllus	canescens	Hygrophoraceae	ebpn_other_priority			EBPN		EBPN						
27804	Cyanea	capillata	Cyaneidae	ebpn_other_priority			EBPN		EBPN						
28701	Fratercula	arctica	Alcidae	ebpn_other_priority			EBPN		EBPN						
8049	Gadus	morhua	Gadidae	ebpn_other_priority			EBPN		EBPN						
232323	Hypsibius	dujardini	Hypsibiidae	ebpn_other_priority			EBPN		EBPN						
56723	Labrus	bergylta	Labridae	ebpn_other_priority			EBPN		EBPN						
77708	Lepidurus	arcticus	Triopsidae	ebpn_other_priority			EBPN		EBPN						
37176	Ovibos	moschatus	Bovidae	ebpn_other_priority			EBPN		EBPN						
6703	Pandalus	borealis	Pandalidae	ebpn_other_priority			EBPN		EBPN						
9720	Phoca	vitulina	Phocidae	ebpn_other_priority			EBPN		EBPN						
1891520	Potentilla	arenosa	Rosaceae	ebpn_other_priority			EBPN		EBPN						
156871	Rana	arvalis	Ranidae	ebpn_other_priority			EBPN		EBPN						
8030	Salmo	salar	Salmonidae	ebpn_other_priority			EBPN		EBPN						
13677	Scomber	scombrus	Scombridae	ebpn_other_priority			EBPN		EBPN						
394699	Sebastes	norvegicus	Sebastidae	ebpn_other_priority			EBPN		EBPN						
8323	Triturus	cristatus	Salamandridae	ebpn_other_priority			EBPN		EBPN						
8524	Zootoca	vivipara	Lacertidae	ebpn_other_priority			EBPN		EBPN						
1187000	Colura	calyptrifolia	Lejeuneaceae	ebpn_other_priority			EBPN		EBPN						
1400299	Erioderma	pedicellatum	Pannariaceae	ebpn_other_priority			EBPN		EBPN						
90606	Micranthes	nivalis	Saxifragaceae	ebpn_other_priority			EBPN		EBPN						
185665	Phaeoceros	carolinianus	Notothyladaceae	ebpn_other_priority			EBPN		EBPN						
669826	Saxifraga	hyperborea	Saxifragaceae	ebpn_other_priority			EBPN		EBPN						
1133313	Scapania	nimbosa	Scapaniaceae	ebpn_other_priority			EBPN		EBPN						
57947	Sibbaldia	procumbens	Rosaceae	ebpn_other_priority			EBPN		EBPN						
143883	Usnea	longissima	Parmeliaceae	ebpn_other_priority			EBPN		EBPN						
13125	Lynx	lynx	Felidae	ebpn_other_priority			EBPN		EBPN						
6715	Astacus	astacus	Astacidae	ebpn_other_priority			EBPN		EBPN						
192631	Elaphostrongylus	rangiferi	Protostrongylidae	ebpn_other_priority			EBPN		EBPN						
40483	Fomitopsis	pinicola	Fomitopsidaceae	ebpn_other_priority			EBPN		EBPN						
2055192	Helvella	alpina	Helvellaceae	ebpn_other_priority			EBPN		EBPN						
78322	Helvella	corium	Helvellaceae	ebpn_other_priority			EBPN		EBPN						
2055215	Helvella	nannfeldtii	Helvellaceae	ebpn_other_priority			EBPN		EBPN						
114204	Narthecium	ossifragum	Nartheciaceae	ebpn_other_priority			EBPN		EBPN						
437603	Neoparamoeba	perurans	Paramoebidae	ebpn_other_priority			EBPN		EBPN						
50383	Trichaptum	laricinum	Polyporaceae	ebpn_other_priority			EBPN		EBPN						
2697470	Synoicum	turgens	Polyclinidae	ebpn_other_priority			EBPN		EBPN						
67435	Fontinalis	antipyretica	Fontinalaceae	ebpn_other_priority			EBPN		EBPN						
478074	Lewinskya	rupestris	Orthotrichaceae	ebpn_other_priority			EBPN		EBPN						
67002	Plenogemma	phyllantha	Orthotrichaceae	ebpn_other_priority			EBPN		EBPN						
215256	Scapania	undulata	Scapaniaceae	ebpn_other_priority			EBPN		EBPN						
860413	Schistidium	maritimum	Grimmiaceae	ebpn_other_priority			EBPN		EBPN						
226488	Schistidium	papillosum	Grimmiaceae	ebpn_other_priority			EBPN		EBPN						
231084	Sphagnum	arcticum	Sphagnaceae	ebpn_other_priority			EBPN		EBPN						
128182	Sphagnum	austinii	Sphagnaceae	ebpn_other_priority			EBPN		EBPN						
2202591	Sphagnum	beothuk	Sphagnaceae	ebpn_other_priority			EBPN		EBPN						
128203	Sphagnum	fuscum	Sphagnaceae	ebpn_other_priority			EBPN		EBPN						
128204	Sphagnum	girgensohnii	Sphagnaceae	ebpn_other_priority			EBPN		EBPN						
231099	Sphagnum	inundatum	Sphagnaceae	ebpn_other_priority			EBPN		EBPN						
231112	Sphagnum	lindbergii	Sphagnaceae	ebpn_other_priority			EBPN		EBPN						
13805	Sphagnum	palustre	Sphagnaceae	ebpn_other_priority			EBPN		EBPN						
231123	Sphagnum	papillosum	Sphagnaceae	ebpn_other_priority			EBPN		EBPN						
128240	Sphagnum	squarrosum	Sphagnaceae	ebpn_other_priority			EBPN		EBPN						
1835021	Ulota	intermedia	Orthotrichaceae	ebpn_other_priority			EBPN		EBPN						
519541	Geodia	barretti	Geodiidae	ebpn_other_priority			EBPN		EBPN						
2044469	Labyrinthulochytrium	arktikum	Thraustochytriaceae	ebpn_other_priority			EBPN		EBPN						
174260	Lophelia	pertusa	Caryophylliidae	ebpn_other_priority			EBPN		EBPN						
41210	Chionoecetes	opilio	Majidae	ebpn_other_priority			EBPN		EBPN						
406025	Saxifraga	adscendens	Saxifragaceae	ebpn_other_priority			EBPN		EBPN						
102733	Saxifraga	osloensis	Saxifragaceae	ebpn_other_priority			EBPN		EBPN						
406026	Saxifraga	tridactylites	Saxifragaceae	ebpn_other_priority			EBPN		EBPN						
134639	Amara	alpina	Carabidae	ebpn_other_priority			EBPN		EBPN						
6837	Calanus	finmarchicus	Calanidae	ebpn_other_priority			EBPN		EBPN						
257370	Caligus	elongatus	Caligidae	ebpn_other_priority			EBPN		EBPN						
201501	Epirrita	autumnata	Geometridae	ebpn_other_priority			EBPN		EBPN						
30960	Mallotus	villosus	Salangidae	ebpn_other_priority			EBPN		EBPN						
6271	Pseudoterranova	decipiens	Anisakidae	ebpn_other_priority			EBPN		EBPN						
	Diamesa	lindrothi	Chironomidae	ebpn_other_priority	in_progress		EBPN		EBPN	EBPN	EBPN	EBPN			
	Enteroxenos	oestergreni	Eulimidae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
	Oenothera	muricata	Onagraceae	ebpn_other_priority	sample_acquired		EBPN		EBPN	EBPN	EBPN				
	Tolypella	normaniana	Characeae	ebpn_other_priority			EBPN		EBPN						
	Antho	dichotoma	Microcionidae	ebpn_other_priority			EBPN		EBPN						
